"fiscal_year","water_district_city","area_size_square_miles","avg_day_demand_mgd","service_population","water_purchased_produced_from_sfpuc_mgd","water_use_ccf","water_use_mgd","water_source_sfpuc_purchases_ccf","water_source_local_source_groundwater_ccf","water_source_local_source_surface_water_ccf","water_source_other_source_recycled_water_ccf","water_source_other_source_other_ccf","water_use_by_customer_class_residential_single_family_ccf","water_use_by_customer_class_residential_multiple_family_ccf","water_use_by_customer_class_residential_single_and_multiple_family_combined_ccf","water_use_by_customer_class_non_residential_commercial_ccf","water_use_by_customer_class_non_residential_industrial_ccf","water_use_by_customer_class_non_residential_commercial_and_industrial_combined_ccf","water_use_by_customer_class_other_ccf","water_use_by_customer_class_dedicated_irrigation_ccf","water_use_by_customer_class_unaccounted_ccf","number_of_customer_accounts_residential_single_family","number_of_customer_accounts_residential_multiple_family","number_of_customer_accounts_residential_single_family_and_multiple_family_combined","number_of_customer_accounts_non_residential_commercial","number_of_customer_accounts_non_residential_industrial","number_of_customer_accounts_non_residential_commercial_and_industrial_combined","number_of_customer_accounts_non_residential_government_other","number_of_customer_accounts_non_residential_total","number_of_customer_accounts_dedicated_irrigation","number_of_customer_accounts_total_all_categories_combined","residential_per_capita_consumption_gpcpd","gross_per_capita_consumption_gpcpd","single_family_average_monthly_use_ccf"
"2012-2013","City of Brisbane/ Guadalupe Valley Municipal Improvement District","3.5","0.59","4282","0.59","287290","0.59","287290","0","0","0","0","85910","18568","104478","74985","0","74985","6998","89170","11659","1586","125","1711","297","0","297","0","297","96","2104","50.00","137.00","4.5"
"2012-2013","City of Burlingame","5.5","4.3","30282","4.00","2099365","4.30","1952965","0","0","146400","0","836134","342838","1178972","225747","270383","496130","152075","125393","146795","6839","738","7577","593","263","856","523","1379","200","9156","79.80","132.00","10.2"
"2012-2013","California Water Service Company- Bear Gulch District","45.3","12.53","58098",,"6116162","12.53","5814767","0","301395","0","0","4999444","99704","5099148","577878","1879","579757","156803","12328","268126","16880","84","16694","1350","1","1351","149","1500","7","18471","179.90","216.00","24.7"
"2012-2013","California Water Service Company - Mid Peninsula District","17","12.39","128037",,"6046107","12.39","6046107","0","0","0","0","4008277","913739","4922016","1250519","23700","1274219","401387","0","-551515","31149","652","31801","3384","94","3478","342","3820","0","35621","78.80","97.00","10.7"
"2012-2013","California Water Service Company - South San Francisco District","11.2","7.42","59037",,"3620826","7.42","3351878","268948","0","0","0","1315473","162566","1478039","1556043","338992","1895035","167479","0","80273","13923","157","14080","1904","60","1964","222","2186","0","16266","50.80","125.00","7.9"
"2012-2013","Coastside County Water District","14","2.04","16900","1.82","996377","2.04","885896","896","109586","0","0","509349","44681","554030","117148","94645","211793","35408","111778","83368","6263","120","6383","1342","35","1377","48","1425","63","7871","67.20","121.00","6.8"
"2012-2013","City of Daly City","7.4","7.2","102820","4.01","3512566","7.20","1955442","1557057","0","67","0","1678848","771530","2450378","365335","1570","366905","133174","179064","383045","18481","2784","21265","676","2","678","367","1045","243","22553","48.80","80.00","8"
"2012-2013","City of East Palo Alto","2.5","2.0699999999999998","25927","2.07","1010939","2.07","1008253","2686","0","0","0","0","653028","653028","134120","19068","153188","19402","0","185321","584","3034","3618","252","4","256","33","289","0","3907","51.60","70.00",
"2012-2013","Estero Municipal Improvement District","4","4.0999999999999996","36567","4.10","2000497","4.10","20200497","0","0","0","0","595045","777159","1372204","216782","24548","241330","51058","518825","-182920","4533","2591","7124","184","65","249","246","495","520","8139","76.90","112.00","10.9"
"2012-2013","Town of Hillsborough","6.25","3.3","10850","3.30","16019532","3.30","1609532","0","0","0","0","1417783","0","1417783","7000","0","7000","13517","15563","155669","4182","0","4182","13","0","13","15","28","58","4168","267.80","300.00","28.3"
"2012-2013","City of Menlo Park","4","3.25","14198","3.25","1584636","3.25","1584636","0","0","0","0","529161","158386","687547","215162","295864","511026","81601","181100","123362","3388","210","3598","161","252","413","48","461","133","4192","99.20","229.00","13"
"2012-2013","Mid-Peninsula Water District","5","2.98","26270","2.98","1453047","2.98","1453047","0","0","0","0","782007","222080","1004087","220285","39604","259889","86613","0","102458","7167","204","7371","475","50","525","97","622","0","7993","78.30","113.00","9.1"
"2012-2013","City of Millbrae","3.2","2.31","21532","2.28","1125147","2.31","1113147","0","0","12000","0","566543","171293","737836","160643","0","160643","54788","88356","83524","5767","266","6033","297","0","297","147","444","83","6560","70.20","106.00","8.2"
"2012-2013","North Coast County Water District","13.6","2.44","39000","2.44","192485","2.44","1192485","0","0","0","0","1011044","215176","1226220","113605","0","113605","9344","45037","-201721","11122","314","11436","314","0","314","112","426","94","11956","64.40","63.00","7.6"
"2012-2013","City of Redwood City","35","10.36","86647","9.73","5057308","10.36","4747255","0","0","310053","0","2252558","825507","3078065","809909","6932","816841","82373","601418","478611","18964","1671","20635","1523","17","1540","96","1636","408","22679","72.80","112.00","9.9"
"2012-2013","City of San Bruno","6.1","3.59","41114","1.94","1752095","3.59","946503","782464","0","0","23128","1220423","0","1220423","359328","0","359328","81418","0","90926","9535","996","10531","617","3","620","124","744","123","11398","60.80","87.00",
"2012-2013","Westborough Water District","1","0.9","13259","0.90","441233","0.90","441233","0","0","0","0","277798","42808","320606","28504","0","28504","0","53498","38625","3724","14","3738","50","0","50","29","79","87","3904","49.60","68.00",
"2011-2012","City of Brisbane/ Guadalupe Valley Municipal Improvement District","4","0.57999999999999996","4282","0.57999999999999996","280650","0.57999999999999996","280650","0","0","0","0","86271","18999","105270","0","72552","72552","4477","81645","16708","1146","116","1562","278","0","278","0","278","89","1929","50","134","5"
"2011-2012","City of Burlingame","5.5","4.42","30282","4.12","2158682","4.42","2012282","0","0","146400","0","816021","351315","1167336","275828","496385","496385","36454","118114","340393","6820","738","7558","586","270","856","504","1360","195","9113","79","136","10"
"2011-2012","California Water Service Company- Bear Gulch District","45.3","12.31","57845",,"6004849","12.31","5755767","0","249082","0","0","4814249","101471","4915720","2171","579629","579629","137649","0","374550","16876","84","16960","1354","1","1355","141","1496","0","18456","174","213","23.8"
"2011-2012","California Water Service Company - Mid Peninsula District","17","14.15","128445",,"6905680","14.15","6905680","0","0","0","0","4013496","945497","4958993","25911","1278832","1278832","332187","0","335668","31141","646","31787","3404","94","3498","358","3856","0","35643","79","110","10.7"
"2010-2011","Town of Hillsborough","6.25","3","10825","3","1461935","3","1461935","0","0","0","0","1383901","0","1383901","3485","0","3485","10019","20038","44493","4190","0","4190","11","0","11","17","28","57","4175","262","277","27.5"
"2011-2012","California Water Service Company - South San Francisco District","11.2","7.55","58815",,"3682415","7.55","3440317","242098","0","0","0","1325660","165472","1491132","338875","1863982","1863982","139056","0","188245","13897","153","14050","1901","60","1961","232","2193","0","16243","52","128","7.9"
"2011-2012","Coastside County Water District","14","1.84","17904","1.71","896631","1.84","832099","0","64532","0","0","491117","42946","534063","101926","219616","219616","37073","61515","44364","6254","121","6375","1325","43","1368","47","1415","62","7852","64","107","6.5"
"2011-2012","City of Daly City","7.4","6.89","102043","3.71","3364817","6.89","1811358","1553455","0","4","0","1691864","749463","2411327","62","388425","388425","112215","83170","339680","18466","2786","21252","679","5","684","363","1047","246","22545","49","68","7.6"
"2011-2012","City of East Palo Alto","2.5","1.86","25215","1.95","907662","1.86","907662","0","0","0","0","0","671437","671437","41620","181956","181956","0","0","54269","389","3191","3580","233","30","263","0","263","10","3853","55","74",
"2011-2012","Estero Municipal Improvement District","4","4.03","36100","4.03","1966984","4.03","1966984","0","0","0","0","594141","772746","1366887","28167","260004","260004","11687","478538","-150132","4540","2691","7231","196","70","266","83","349","496","8076","78","112","10.9"
"2011-2012","Town of Hillsborough","6.25","3.24","10825","3.25","1580857","3.24","1587057","0","0","0","0","1349520","0","1349520","0","5421","5421","10455","20878","194583","4179","0","4179","13","0","13","15","28","57","4264","255","300","26.9"
"2011-2012","City of Menlo Park","4","3.32","14198","3.22","1621745","3.32","1621745","0","0","0","0","521341","163090","684431","316857","562070","562070","86337","105176","183731","3389","157","3546","210","252","462","42","504","136","4186","99","234","12.8"
"2011-2012","Mid-Peninsula Water District","5","2.95","26270","2.95","1437360","2.95","1437360","0","0","0","0","781066","235146","1016212","38706","182696","182696","70228","0","168224","7099","239","7338","477","79","556","81","637","0","7975","79","112","9.1999999999999993"
"2011-2012","City of Millbrae","3.2","2.14","21532","2.12","1046254","2.14","1034254","0","0","1200","0","549640","170434","720074","0","155280","155280","50359","65551","54990","5744","265","6009","299","0","299","145","444","85","6538","69","98","8"
"2011-2012","North Coast County Water District","13.6","2.83","40000","2.83","1380360","2.83","1380360","0","0","0","0","843229","184436","1027665","0","94585","94585","67375","26807","163928","11138","304","11442","320","0","320","114","434","82","11958","53","71","6.3"
"2011-2012","City of Redwood City","35","9.67","86647","9.06","4719085","9.67","4420594","0","0","298491","0","2184935","921660","3106595","3699","1036811","1036811","87977","595713","-108011","18846","1684","20530","1538","21","1559","755","2314","567","23411","73","105","9.6999999999999993"
"2011-2012","City of San Bruno","6.1","3.63","41420","2.09","1770007","3.63","1017925","730179","0","0","21903","1200059","0","1200059","0","331601","331601","73321","0","165026","9485","1090","10575","600","3","603","113","716","119","11410","59","88",
"2011-2012","Westborough Water District","1","0.9","13259","0.9","440796","0.9","440796","0","0","0","0","306708","0","306708","0","52482","52482","0","45387","36219","3700","0","3700","87","0","87","0","87","94","3881","47","68",
"2010-2011","City of Brisbane/ Guadalupe Valley Municipal Improvement District","4","5.7","4282","0.57","275934","0.56999999999999995","275934","0","0","0","0","87333","18389","105722","75936","0","75936","3850","79473","10953","1442","115","1557","278","0","278","0","278","89","1924","51","132","5"
"2010-2011","City of Burlingame","5.5","4.34","30282","4.04","2117999","4.34","1971599","0","0","146400","0","810587","353959","1164546","217167","272588","489755","38213","108991","316494","6820","738","7558","586","270","856","504","1360","195","9113","79","136","9.9"
"2010-2011","California Water Service Company- Bear Gulch District","45.3","11.88","57254",,"5794705","11.88","5232104","0","562601","0","0","4629995","101059","4731054","570200","1742","571942","137649","0","354060","16781","80","16861","1387","1","1388","140","1528","0","18389","169","187","23"
"2010-2011","California Water Service Company - Mid Peninsula District","17","14.26","126850",,"6956546","14.26","6956546","0","0","0","0","3933035","948302","4811337","1217503","25700","1243203","343253","0","488753","31028","630","31658","3382","93","3475","361","3836","0","35494","79","112","10.6"
"2010-2011","California Water Service Company - South San Francisco District","11.2","7.65","58658",,"3731044","7.65","3479438","251606","0","0","0","1346876","173805","1520681","1535491","311890","1847381","153331","0","209651","13840","152","13992","1909","61","1970","231","2201","0","16193","53","130","8.1"
"2010-2011","Coastside County Water District","14","1.83","20216","1.65","894746","1.83","806110","4278","84358","0","0","499744","44664","544408","119777","95114","214891","30916","79953","24578","6227","120","6347","1303","44","1347","42","1389","63","7799","55","90","6.7"
"2010-2011","City of Daly City","7.4","6.34","101920","2.88","3093734","6.34","2467511","622159","0","4064","0","1712469","748713","2461182","372948","74","373022","156218","62006","41306","18451","2788","21239","676","5","681","488","1169","110","22518","50","62","7.7"
"2010-2011","City of East Palo Alto","2.5","1.77","26181","1.77","863282","1.77","863282","0","0","0","0","662347","0","662347","133593","19656","153249","20856","0","27100","412","3077","3489","247","0","247","48","295","11","3795","52","68","15.8"
"2010-2011","Estero Municipal Improvement District","4","4.66","36100","4.66","2274588","4.03","2274588","0","0","0","0","603851","791903","1395754","220022","30017","250039","12590","535361","80844","4535","2589","7124","190","64","254","237","491","513","8128","79","129","11.1"
"2010-2011","City of Menlo Park","4","3.14","14198","3.14","1533788","3.14","1533788","0","0","0","0","516956","162888","679844","211796","306177","517973","67525","163080","105366","3390","183","3573","161","251","412","42","454","121","4148","98","221",
"2010-2011","Mid-Peninsula Water District","5","2.88","26130","2.88","1404933","2.88","1404933","0","0","0","0","685041","167543","852584","180856","26405","207261","70228","0","274860","7099","239","7338","477","79","556","81","637","0","7975","67","110","8"
"2010-2011","City of Millbrae","3.2","2.23","21532","2.21","1087971","2.23","1075971","0","0","12000","0","553027","169212","722239","174237","0","174237","52766","80918","57811","5744","266","6010","301","0","301","146","447","81","6538","69","104","8"
"2010-2011","North Coast County Water District","13.6","3.25","40000","3.25","1585572","3.25","1585572","0","0","0","0","1069997","243308","1313305","117043","0","117043","92445","34797","27982","11123","304","11427","327","0","327","258","585","76","12088","67","81","8"
"2010-2011","City of Redwood City","35","9.6999999999999993","84557","9.15","4734338","9.6999999999999993","4462944","0","0","271394","0","2174459","895401","3069860","813996","884","814880","68262","580333","201003","18756","1685","20441","1554","5","1559","95","1654","551","22646","74","108","9.6999999999999993"
"2010-2011","City of San Bruno","6.1","3.63","41114","1.55","1771040","3.63","754219","995130","0","0","21691","1208430","0","1208430","322180","0","322180","78314","0","162116","9485","1090","10575","600","3","603","113","716","119","11410","60","88","10.6"
"2010-2011","Westborough Water District","1","0.84","13300","0.84","408487","0.84","408487","0","0","0","0","281030","0","281030","68245","0","68245","0","43983","15229","3701","0","3701","87","0","87","0","87","94","3882","43","63","6.3"
"2009-2010","City of Brisbane/ Guadalupe Valley Municipal Improvement District","4","0.56999999999999995","3993","0.36","276601","0.56999999999999995","276601","0","0","0","0","87720","24317","112037","77529","0","77529","0","79279","7756","1425","120","1545","276","0","276","0","276","89","1910","58","142","5.0999999999999996"
"2009-2010","City of Burlingame","5.5","3.94","30493","3.94","1920815","3.94","1920815","0","0","0","0","901203","372058","1273261","218449","289839","508288","39037","121123","-20894","6820","738","738","586","270","856","504","1360","195","9113","86","129","11"
"2009-2010","California Water Service Company- Bear Gulch District","45.3","11.28","55810",,"5762738","11.81","5234496","0","519242","0","0","5040959","106398","5147357","583190","2550","585740","157927","0","-128286","16449","76","76","1378","1","1379","143","1522","0","18097","189","202","25.5"
"2009-2010","California Water Service Company - Mid Peninsula District","17","15.24","120350",,"7062049","14.47","7062049","0","0","0","0","4227834","973851","5201685","1282487","27278","1309765","390390","0","160209","30955","628","628","3365","94","3459","359","3818","0","35401","89","127","11.4"
"2009-2010","California Water Service Company - South San Francisco District","11.2","7.84","56010",,"3689071","7.56","3510453","178618","0","0","0","1426539","172865","1599404","1607686","320363","1928049","175971","0","-14353","13796","152","152","1913","63","1976","235","2211","0","16159","59","140","8.6"
"2009-2010","Coastside County Water District","14","2.02","20216","1.82","986484","2","887675","8408","90401","0","0","553663","39858","593521","125226","127798","253024","35646","86691","17602","6186","111","111","418","36","454","48","502","54","6853","60","113","7.5"
"2009-2010","City of Daly City","7.4","6.7","107773","3.16","3270878","6.7","2447575","819239","0","4064","0","1713027","747605","2460632","412073","0","412073","154113","0","244060","18238","2761","2761","610","0","610","212","822","0","21820","47","45","7.8"
"2009-2010","City of East Palo Alto","2.5","1.73","29690","1.73","842883","1.73","842883","0","0","0","0","661042","0","661042","0","135337","135337","26523","0","19981","3923","0","0","212","0","212","47","259","0","4182","46","58",
"2009-2010","Estero Municipal Improvement District","4","4.9000000000000004","36100","4.9000000000000004","2392839","4.9000000000000004","2392839","0","0","0","0","667576","822499","1490075","192259","37669","229958","41563","556285","74958","4800","2691","2691","196","70","266","83","349","481","8321","85","144","11.6"
"2009-2010","Town of Hillsborough","6.25","3.01","11982","3.01","1470409","3.01","1470409","0","0","0","0","1383823","0","1383823","30661","0","30661","2820","0","53105","4181","0","0","36","0","36","45","81","0","4262","237","251","27.6"
"2009-2010","City of Menlo Park","4","3.19","14139","3.19","1556801","3.19","1556801","0","0","0","0","543758","104032","647790","229159","0","548276","90844","142781","127110","3420","131","131","180","225","405","42","447","106","4101","94","226","13.2"
"2009-2010","Mid-Peninsula Water District","5","2.85","26310","2.85","1390831","2.85","1390831","0","0","0","0","825109","219513","1044622","228189","83","261954","88623","0","-4368","7097","239","239","477","79","556","81","637","0","7973","82","109","9.6999999999999993"
"2009-2010","City of Millbrae","3.32","2.2599999999999998","21387","2.2400000000000002","101551","2.2599999999999998","1094867","0","0","6684","0","563919","167144","731063","166147","0","166457","48922","74097","81012","5711","262","262","298","0","298","153","451","78","6502","70","105","8.1999999999999993"
"2009-2010","North Coast County Water District","13.6","3.02","40401","3.02","1471838","3.02","1471838","0","0","0","0","927434","148252","1075686","93985","0","93985","90391","31804","179972","11278","125","125","312","0","312","631","943","66","12412","55","75","6.9"
"2009-2010","City of Redwood City","35","10.02","85098","9.61","4891124","10.02","4689257","0","0","201867","0","2165738","872044","3037782","827175","83","827258","233756","388035","404293","18643","1808","1808","2068","2","2070","9","2164","551","23166","73","113","9.6999999999999993"
"2009-2010","City of San Bruno","6.1","3.65","41114","1.51","1780704","3.65","714539","1045262","0","0","20903","1236845","0","1236845","306564","0","306564","66388","0","170907","10367","889","889","531","0","531","355","886","0","12142","58","83",
"2009-2010","Westborough Water District","1","0.81","12690","0.81","394878","0.81","394878","0","0","0","0","282907","0","282907","64799","0","64799","0","54211","-7039","3696","0","0","88","0","88","0","88","94","3878","46","64",
"2008-2009","City of Brisbane/ Guadalupe Valley Municipal Improvement District","4","0.62","3597","0.62","302577","0.62","302577","0","0","0","0","67073","20134","110380","83035","0","83035","90264","87595","18952","1420","116","1536","279","0","279","89","368","0","1904","165","117","8"
"2008-2009","City of Burlingame","5.5","4.28","28867","4.28","2086616","4.28","2086616","0","0","0","0","892822","367744","1260566","250930","285783","536713","131316","0","158021","6817","743","7560","665","273","938","610","1548","0","9108","89","148","11"
"2008-2009","California Water Service Company- Bear Gulch District","45.3","13.14","57078",,"6413044","13.14","6148376","0","264668","0","0","5264948","109867","5374815","611644","2232","613876","162084","0","262269","16723","76","16799","1374","1","1375","155","1530","0","18329","193","230","26"
"2008-2009","California Water Service Company - Mid Peninsula District","17","15.62","123260",,"7621387","15.62","7621387","0","0","0","0","4361600","988923","5350523","1379964","30803","1410767","378924","0","481173","30981","625","31606","3365","95","3460","358","3818","0","35424","89","127","12"
"2008-2009","California Water Service Company - South San Francisco District","11.2","8.0500000000000007","56210",,"3927339","8.0500000000000007","3791316","136023","0","0","0","1463165","176058","1639223","1692473","329287","2021760","181452","0","84904","13802","152","13954","1915","64","1979","249","2228","0","16182","60","143","9"
"2008-2009","Coastside County Water District","14","2.16","19221","2","1055296","2.16","977849","11952","49960","0","15535","597477","43091","640568","234630","120893","355523","32190","0","27015","6047","157","6204","482","36","518","43","561","0","6765","68","131","8"
"2008-2009","City of Daly City","7.4","7.28","107099","4.33","3553600","7.28","2279070","0","1268714","5294","522","1817639","795769","2613408","379009","59","379068","254907","0","306217","18641","2861","21502","671","5","676","585","1261","0","22763","50","68","8"
"2008-2009","City of East Palo Alto","2.5","1.92","29690","1.92","938629","1.92","938045","584","0","0","0","655590","0","655590","0","198590","198590","21591","0","62858","3940","0","3940","216","0","216","26","242","0","4182","45","65",
"2008-2009","Estero Municipal Improvement District","4","5.2","36100","5.14","2538289","5.2","2538289","0","0","0","0","671302","832433","1503735","195188","37603","232791","629541","0","172222","4835","2726","7561","197","70","267","792","1059","0","8620","85","153","12"
"2008-2009","Town of Hillsborough","6.25","3.57","10844","3.57","1743929","3.57","1743929","0","0","0","0","1531716","0","1531716","34723","0","34723","3496","0","173994","4153","0","4153","36","0","36","36","72","0","4225","289","330","31"
"2008-2009","City of Menlo Park","4","3.34","14139","3.34","1628275","3.34","1628275","0","0","0","0","623012","98672","721684","258675","343516","602191","280247","0","24153","3439","107","3546","192","256","448","148","596","0","4142","105","236","15"
"2008-2009","Mid-Peninsula Water District","5","3.14","26050","3.14","1533876","3.14","1533876","0","0","0","0","836994","229942","1066936","224902","35539","260441","106428","0","100071","7144","207","7351","512","51","563","106","669","0","8020","84","121","10"
