"project","fiscal_year","affordable_housing_units","project_type","tenure","target_population","developer","notes","count","location_1","location_1_address","location_1_city","location_1_state","location_1_zip"
"Habitat Way Habitat Homes","2005-01-01T00:00:00.000","7","New construction","Own","Families","Pen Habitat",,"1","POINT (-122.46213088299999 37.69055805200003)","305 Habitat Way","Daly City","CA","94014"
"Peninsula Station","2010-01-01T00:00:00.000","68","New construction","Rent","Families","Mid-Pen Housing",,"1","POINT (-122.30134267799997 37.54038942100004)","2901 S El Camino Real","San Mateo","CA","94403"
"Lesley Gardens","2003-01-01T00:00:00.000","64","New construction","Rent","Seniors","Lesley Foundation",,"1","POINT (-122.42839207199995 37.456097509000074)","701 Arnold Way","Half Moon Bay","CA","94019"
"Commercial Avenue Apartments","2007-01-01T00:00:00.000","15","Acquisition","Rent","Families","HIP Housing Developers",,"1","POINT (-122.42803933899995 37.655727038000066)","317 & 321 Commercial Avenue","South San Francisco","CA","94080"
"Coastside Senior Housing","2013-01-01T00:00:00.000","40","New construction","Rent","Seniors","Mercy/Lesley",,"1","POINT (-122.43002264899997 37.456617152000035)","925 Main Street","Half Moon Bay","CA","94019"
"De Long Street Habitat Homes","2005-01-01T00:00:00.000","4","New construction","Own","Families","Pen Habitat",,"1","POINT (-122.46738413599996 37.70768211200004)","539 De Long Street","Daly City","CA","94014"
"Rotary Floritas","2005-01-01T00:00:00.000","50","New construction","Rent","Special needs","Mid-Pen/Rotary Club",,"1","POINT (-122.305518501 37.541814601000056)","99 27th Avenue","San Mateo","CA","94403"
"San Bruno Avenue Habitat Homes","2007-01-01T00:00:00.000","2","New construction","Own","Families","Pen Habitat",,"1","POINT (-122.39816311099997 37.679965125000024)","720 San Bruno Avenue","Brisbane","CA","94005"
"2372 University Avenue Apartments","2010-01-01T00:00:00.000","1","Acquisition/Rehab","Rent","Families","EPA CAN DO",,"1","POINT (-122.14029396299998 37.47017263200007)","2372 University Avenue","East Palo Alto","CA","94303"
"Courtyard at Bay Road","2005-01-01T00:00:00.000","77","New construction","Rent","Families","Community Housing Developers",,"1","POINT (-122.13697884899995 37.471612984000046)","1730 Bay Road","East Palo Alto","CA","94303"
"636 El Camino Real","2012-01-01T00:00:00.000","109","New construction","Rent","Families","Mid-Pen Housing",,"1","POINT (-122.42979209399999 37.64921763700005)","636 El Camino Real","South San Francisco","CA","94080"
"University Avenue Apartments","2007-01-01T00:00:00.000","4","Acquisition","Rent","Families","EPA CAN DO",,"1","POINT (-122.14103142399995 37.469044548000056)","2330 University Avenue","East Palo Alto","CA","94303"
"Lakeside Apartments","2004-01-01T00:00:00.000","10","New construction","Rent","Families","National Church Residences",,"1","POINT (-122.48957161999999 37.627912139000045)","2950 Francisco Blvd","Pacifica","CA","94044"
