"jl_code","initiative_name","fiscal_year","percentage_of_marina"
"PRKMC","Marina Concessions Studies","FY 14-15 Target","95"
"PRKMC","Marina Concessions Studies","FY 15-16 Target","95"
"PRKMC","Marina Concessions Studies","FY 16-17 Target","95"
"PRKMC","Marina Concessions Studies","FY 14-15 Actual","100"
"PRKMC","Marina Concessions Studies","FY 15-16 Actual","95"
"PRKMC","Marina Concessions Studies","FY 16-17 Actual","93"
"PRKMC","Marina Concessions Studies","FY 13-14 Target","95"
"PRKMC","Marina Concessions Studies","FY 13-14 Actual","95"
