"measure_name","fiscal_year","data_type","measure_value","measure_target","benchmark_value"
"STEM: Percent increase in proficiency in math","FY 2015-16","ACTUAL","70","70",
"STEM: Percent increase in proficiency in math","FY 2016-17","ACTUAL","72","74",
"STEM: Percent increase in proficiency in math","FY 2018-19","ACTUAL","76","76",
"STEM: Percent increase in proficiency in math","FY 2017-18","ACTUAL","67","74",
