"jl_code","initiative_name","fiscal_year","adult_english_instruction","number_adults_english_language","english_language_percent"
"HSAB1","BOS initiative - Rosalie Rendu Inc","FY 15-16 Target","55","44","80"
"HSAB1","BOS initiative - Rosalie Rendu Inc","FY 15-16 Actual","55","50","91"
