"jl_code","initiative_name","fiscal_year","percent_completion"
"CAPDC","PSC Regional Ops Ctr (ROC)","FY 13-14 Target","0.91"
"CAPDC","PSC Regional Ops Ctr (ROC)","FY 14-15 Target","2.85"
"CAPDC","PSC Regional Ops Ctr (ROC)","FY 14-15 Actual","2.85"
"CAPDC","PSC Regional Ops Ctr (ROC)","FY 15-16 Target","7.45"
"CAPDC","PSC Regional Ops Ctr (ROC)","FY 15-16 Actual","7.45"
"CAPDC","PSC Regional Ops Ctr (ROC)","FY 16-17 Target","20"
"CAPDC","PSC Regional Ops Ctr (ROC)",,
"CAPDC","PSC Regional Ops Ctr (ROC)",,
"CAPDC","PSC Regional Ops Ctr (ROC)",,
"CAPDC","PSC Regional Ops Ctr (ROC)",,
"CAPDC","PSC Regional Ops Ctr (ROC)","FY 16-17 Actual","20"
"CAPDC","PSC Regional Ops Ctr (ROC)","FY 13-14 Actual","0.91"
