"jl_code","initiative_name","fiscal_year","overall_satisfaction_rating"
"HSAIT","Systems Support - Clarity and FRC Databases","FY 16-17 Target","90"
"HSAIT","Systems Support - Clarity and FRC Databases","FY 17-18 Target","90"
"HSAIT","Systems Support - Clarity and FRC Databases","FY 16-17 Actual","90"
"HSAIT","Systems Support - Clarity and FRC Databases","FY 18-19 Target","90"
"HSAIT","Systems Support - Clarity and FRC Databases","FY 18-19 Actual","99"
"HSAIT","Systems Support - Clarity and FRC Databases","FY 17-18 Actual","82"
