"sex","age","latinx","race_ethnicity","language","city","geocoded_column","count","limited_english_proficiency","people_of_color"
"Male",,,"White","English",,,"1",,
"Male",,,,,,,"1",,
"Female",,,,,,,"1",,
"Male",,,,,,,"1",,
"Female",,,,,,,"1",,
"Male","72",,,"English",,,"1",,
"Male","64",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","35",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","60",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male",,,"White","English",,,"1",,
"Female","38",,"Asian","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female",,,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","56",,"White","English",,,"1",,
"Male","27",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","23","1","Latinx","English","Foster City","POINT (-122.26644500000002 37.561881)","1",,
"Female","59",,"Asian","English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Female","75","1","Latinx","Spanish","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","68",,"White","English","Burlingame","POINT (-122.36626500000001 37.584195)","1",,
"Female",,,"White",,"Belmont","POINT (-122.29195100000001 37.508536)","1",,
"Female","36","1","Latinx","Other","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female",,"1","Latinx",,"San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","55","1","Latinx","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","62","1","White","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","22","1","Latinx","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","56","1","American Indian/Alaska Native","Spanish","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","31",,"Asian","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","87",,"Asian","Other","Foster City","POINT (-122.26644500000002 37.561881)","1",,
"Female","64","1","Latinx","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","27","1","Latinx","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","39",,"Black","English","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Female","70",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","45",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","54",,"White","English",,,"1",,
"Male","62",,"White","English","Colma","POINT (-122.452872 37.68073)","1",,
"Male","68",,"Asian","English","San Bruno","POINT (-122.416148 37.627277)","1",,
