"measure_name","fiscal_year","data_type","measure_value","measure_target","benchmark_value"
"Percent of eligible foster youth enrolled in college and vocational training","FY 2013-14","ACTUAL","68",,
"Percent of eligible foster youth enrolled in college and vocational training","FY 2014-15","ACTUAL","64",,
"Percent of eligible foster youth enrolled in college and vocational training","FY 2015-16","ACTUAL","70","68",
"Percent of eligible foster youth enrolled in college and vocational training","FY 2016-17","ACTUAL","68","68",
"Percent of eligible foster youth enrolled in college and vocational training","FY 2018-19","ACTUAL","77","72",
"Percent of foster youth graduating from high school or in GED","FY 2013-14","ACTUAL","68",,
"Percent of foster youth graduating from high school or in GED","FY 2014-15","ACTUAL","79",,
"Percent of foster youth graduating from high school or in GED","FY 2015-16","ACTUAL","82","75","45"
"Percent of foster youth graduating from high school or in GED","FY 2016-17","ACTUAL","74","75","45"
"Percent of foster youth graduating from high school or in GED","FY 2018-19","ACTUAL","81","85",
"Percent of eligible foster youth enrolled in college and vocational training","FY 2017-18","ACTUAL","68","72",
"Percent of foster youth graduating from high school or in GED","FY 2017-18","ACTUAL","75","85",
