"year","table","county","category_description","value"
"2019","9","Albany","White Only Non-Hisp","1634"
"2019","9","Albany","Black Only Non-Hisp","547"
"2019","9","Albany","Total Hispanic","298"
"2019","9","Albany","Other Non-Hisp","498"
"2019","9","Albany","Black Only Hispanic","65"
"2019","9","Albany","Total","2979"
"2019","9","Albany","White Only Hispanic","122"
"2019","9","Albany","Total Non-Hispanic","2681"
"2019","9","Allegany","Total Non-Hispanic","449"
"2019","9","Allegany","White Only Non-Hisp","434"
"2019","9","Allegany","Total Hispanic","31"
"2019","9","Allegany","White Only Hispanic","2"
"2019","9","Allegany","Black Only Hispanic","0"
"2019","9","Allegany","Black Only Non-Hisp","0"
"2019","9","Allegany","Total","480"
"2019","9","Allegany","Other Non-Hisp","15"
"2019","9","Bronx","White Only Non-Hisp","1306"
"2019","9","Bronx","Total","18963"
"2019","9","Bronx","Total Non-Hispanic","8152"
"2019","9","Bronx","Black Only Hispanic","1671"
"2019","9","Bronx","Total Hispanic","10811"
"2019","9","Bronx","White Only Hispanic","4175"
"2019","9","Bronx","Black Only Non-Hisp","5517"
"2019","9","Bronx","Other Non-Hisp","1276"
"2019","9","Broome","Total Non-Hispanic","1834"
"2019","9","Broome","Black Only Non-Hisp","153"
"2019","9","Broome","Total Hispanic","116"
"2019","9","Broome","White Only Hispanic","39"
"2019","9","Broome","Black Only Hispanic","22"
"2019","9","Broome","Total","1950"
"2019","9","Broome","White Only Non-Hisp","1510"
"2019","9","Broome","Other Non-Hisp","170"
"2019","9","Cattaraugus","Other Non-Hisp","75"
"2019","9","Cattaraugus","Black Only Non-Hisp","8"
"2019","9","Cattaraugus","Total","825"
"2019","9","Cattaraugus","Total Non-Hispanic","728"
"2019","9","Cattaraugus","Total Hispanic","97"
"2019","9","Cattaraugus","White Only Hispanic","9"
"2019","9","Cattaraugus","White Only Non-Hisp","645"
"2019","9","Cattaraugus","Black Only Hispanic","0"
"2019","9","Cayuga","Black Only Hispanic","2"
"2019","9","Cayuga","Other Non-Hisp","32"
"2019","9","Cayuga","White Only Hispanic","13"
"2019","9","Cayuga","Total Hispanic","41"
"2019","9","Cayuga","White Only Non-Hisp","655"
"2019","9","Cayuga","Total Non-Hispanic","711"
"2019","9","Cayuga","Black Only Non-Hisp","24"
"2019","9","Cayuga","Total","752"
"2019","9","Chautauqua","Total","1342"
"2019","9","Chautauqua","Total Hispanic","216"
"2019","9","Chautauqua","Other Non-Hisp","51"
"2019","9","Chautauqua","Black Only Non-Hisp","12"
"2019","9","Chautauqua","Total Non-Hispanic","1126"
"2019","9","Chautauqua","White Only Hispanic","149"
"2019","9","Chautauqua","Black Only Hispanic","3"
"2019","9","Chautauqua","White Only Non-Hisp","1063"
"2019","9","Chemung","Total Non-Hispanic","855"
"2019","9","Chemung","Black Only Hispanic","4"
"2019","9","Chemung","White Only Non-Hisp","745"
"2019","9","Chemung","Black Only Non-Hisp","57"
"2019","9","Chemung","White Only Hispanic","23"
"2019","9","Chemung","Total","894"
"2019","9","Chemung","Other Non-Hisp","53"
"2019","9","Chemung","Total Hispanic","39"
"2019","9","Chenango","Black Only Non-Hisp","2"
"2019","9","Chenango","Black Only Hispanic","1"
"2019","9","Chenango","Other Non-Hisp","10"
"2019","9","Chenango","White Only Non-Hisp","440"
"2019","9","Chenango","Total Hispanic","19"
"2019","9","Chenango","Total","471"
"2019","9","Chenango","Total Non-Hispanic","452"
"2019","9","Chenango","White Only Hispanic","7"
"2019","9","Clinton","White Only Hispanic","14"
"2019","9","Clinton","Other Non-Hisp","15"
"2019","9","Clinton","Total","722"
"2019","9","Clinton","Total Non-Hispanic","702"
