"county","type","facility_name","street_address","city","state","zip","location"
"Bronx","Grocery","Met Food","Woodycrest Avenue","Bronx","NY","10452",
"Queens","Grocery","Key Food #8","73rd Ave","Bayside","NY","11364",
"Queens","Pharmacy Only","Duane Reade #14423","Broadway","Astoria","NY","11106",
"Steuben","Grocery","Hornell Save-A-Lot","Park Drive","Hornell","NY","14843",
"Wyoming","Grocery","Tops Market #277","Prospect St","Attica","NY","14011",
"Westchester","Grocery","Peekskill Mini Mart Corp.","Bank Street","Peekskill","NY","10566",
"Westchester","Grocery","Bryn Mawr Iga","Lockwood Avenue","Yonkers","NY","10701",
"Wyoming","Grocery","Arcade Market Place","W Main St","Arcade","NY","14009",
"Westchester","Grocery","Gian Deli Grocery Corp","W Sidney Avenue","Mount Vernon","NY","10550",
"Yates","Pharmacy Only","Walgreens # 10218","Liberty St","Penn Yan","NY","14527",
"Westchester","Pharmacy Only","Lake Ave Pharmacy","Lake Avenue","Yonkers","NY","10703",
"Wyoming","Grocery","Perry Food Market","N Center St Po Box 7","Perry","NY","14530",
"Westchester","Pharmacy Only","Stanley Pharmacy","S Broadway","Yonkers","NY","10701",
"Yates","Grocery","Tops Market #566","Liberty St","Penn Yan","NY","14527",
"Westchester","Grocery","Zoe Mini Market Inc","Union Avenue","New Rochelle","NY","10801",
"Wyoming","Grocery w/ Pharmacy inside","Tops Market #238","W Main St","Arcade","NY","14009",
"Westchester","Pharmacy Only","Mt Vernon Pharmacy Corp.","Stevens Ave","Mount Vernon","NY","10550",
"Wyoming","Grocery","Save-A-Lot Warsaw","N. Main St.","Warsaw","NY","14569",
"Westchester","Grocery","Ideal Fresh Market","Yonkers Avenue","Yonkers","NY","10704",
"Westchester","Pharmacy Only","Esther Pharmacy","South Broadway","Yonkers","NY","10701",
"Wyoming","Grocery","Tops Market #247","Rte 19","Warsaw","NY","14569",
"Queens","Grocery","Melody Market Inc","Junction Boulevard","East Elmhurst","NY","11369",
"Erie","Grocery","Save-A-Lot Lackawanna","Abbott Road","Lackawanna","NY","14218",
"Kings","Grocery","Ideal Food Basket","Bedford Ave","Brooklyn","NY","11226",
"Bronx","Grocery","Western Beef #29","Webster Avenue","Bronx","NY","10457",
"Monroe","Grocery","Public Meat & Grocery","Hudson Avenue","Rochester","NY","14605",
"New York","Pharmacy Only","Duane Reade #14126","Wall Street","New York","NY","10005",
"Kings","Grocery","Pioneer","Fulton St","Brooklyn","NY","11208",
"Westchester","Grocery","La Michoacana Hermanos Diaz Inc","Union Avenue","New Rochelle","NY","10801",
"Suffolk","Grocery","Fine Fare","Old Country Road","Riverhead","NY","11901",
"New York","Grocery","City Fresh Market","East 106th St","New York","NY","10029",
"Nassau","Grocery","Food Bazaar","Corporate Drive","Westbury","NY","11590",
"Steuben","Grocery","Tops Market #540","West Pulteney St","Corning","NY","14830",
"Kings","Grocery","R & M Grocery Corp.","Neptune Ave","Brooklyn","NY","11235",
