"report_date","age_group","fatality_count","percent"
"2022-08-26T00:00:00.000","60 to 69","10354","18"
"2022-08-26T00:00:00.000","Statewide Total","57584","100"
"2022-08-26T00:00:00.000","40 to 49","1772","3.1"
"2022-08-26T00:00:00.000","90 and Over","9233","16"
"2022-08-26T00:00:00.000","0 to 9","32","0.1"
"2022-08-26T00:00:00.000","80 to 89","15397","26.7"
"2022-08-26T00:00:00.000","30 to 39","744","1.3"
"2022-08-26T00:00:00.000","20 to 29","245","0.4"
"2022-08-26T00:00:00.000","Unknown","9","0"
"2022-08-26T00:00:00.000","10 to 19","34","0.1"
"2022-08-26T00:00:00.000","50 to 59","4905","8.5"
"2022-08-26T00:00:00.000","70 to 79","14859","25.8"
"2022-08-25T00:00:00.000","20 to 29","245","0.4"
"2022-08-25T00:00:00.000","10 to 19","34","0.1"
"2022-08-25T00:00:00.000","90 and Over","9228","16"
"2022-08-25T00:00:00.000","Unknown","9","0"
"2022-08-25T00:00:00.000","80 to 89","15393","26.7"
"2022-08-25T00:00:00.000","60 to 69","10351","18"
"2022-08-25T00:00:00.000","40 to 49","1772","3.1"
"2022-08-25T00:00:00.000","50 to 59","4905","8.5"
"2022-08-25T00:00:00.000","Statewide Total","57565","100"
"2022-08-25T00:00:00.000","0 to 9","32","0.1"
"2022-08-25T00:00:00.000","30 to 39","744","1.3"
"2022-08-25T00:00:00.000","70 to 79","14852","25.8"
"2022-08-24T00:00:00.000","Unknown","9","0"
"2022-08-24T00:00:00.000","70 to 79","14850","25.8"
"2022-08-24T00:00:00.000","30 to 39","743","1.3"
"2022-08-24T00:00:00.000","20 to 29","245","0.4"
"2022-08-24T00:00:00.000","90 and Over","9223","16"
"2022-08-24T00:00:00.000","50 to 59","4904","8.5"
"2022-08-24T00:00:00.000","0 to 9","32","0.1"
"2022-08-24T00:00:00.000","10 to 19","34","0.1"
"2022-08-24T00:00:00.000","80 to 89","15385","26.7"
"2022-08-24T00:00:00.000","60 to 69","10349","18"
"2022-08-24T00:00:00.000","40 to 49","1772","3.1"
"2022-08-24T00:00:00.000","Statewide Total","57546","100"
"2022-08-23T00:00:00.000","20 to 29","245","0.4"
"2022-08-23T00:00:00.000","Statewide Total","57531","100"
"2022-08-23T00:00:00.000","90 and Over","9221","16"
