"county","fips","year","zip","tests","less_than_5_mcg_dl","_5_10_mcg_dl","_10to15","_15","total_eblls","percent","rate_per_1_000","zip_code_location","county_location"
"Albany","1","2020","12007","5",,,"0","0","0","0.0","0","
,  
(42.464479, -73.921582)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12009","84",,,"0","0","0","0.0","0","
,  
(42.697778, -74.025728)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12023","10","10","0","0","0","0","0.0","0","
,  
(42.60636, -74.1438)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12041","2",,,"0","0","0","0.0","0","
,  
(42.560143, -73.980356)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12046","6",,,"0","0","0","0.0","0","
,  
(42.49842, -73.91226)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12047","240","227","10",,,,,,"
,  
(42.774939, -73.715732)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12053","2",,,"0","0","0","0.0","0","
,  
(42.72258, -74.17158)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12054","131",,,"0","0","0","0.0","0","
,  
(42.60522, -73.87008)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12059","7",,,"0","0","0","0.0","0","
,  
(42.617126, -74.058841)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12067","10","10","0","0","0","0","0.0","0","
,  
(42.565899, -73.913257)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12077","58",,,,,,,,"
,  
(42.596487, -73.794423)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12083","14","14","0","0","0","0","0.0","0","
,  
(42.416705, -74.011373)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12084","51","49","0",,,,,,"
,  
(42.699325, -73.89971)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12110","176",,,"0","0","0","0.0","0","
,  
(42.747077, -73.767886)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12120","4",,,"0","0","0","0.0","0","
,  
(42.435003, -74.147921)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12143","37",,,"0","0","0","0.0","0","
,  
(42.47172, -73.820415)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12147","3",,,"0","0","0","0.0","0","
,  
(42.50466, -74.14734)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12158","54","54","0","0","0","0","0.0","0","
,  
(42.551716, -73.817741)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12159","61",,,"0","0","0","0.0","0","
,  
(42.642796, -73.877696)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12183","22",,,"0","0","0","0.0","0","
,  
(42.744346, -73.695668)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12186","52",,,"0","0","0","0.0","0","
,  
(42.62478, -73.9698)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12189","193","178","10",,,,,,"
,  
(42.726113, -73.713355)","
,  
(42.588271, -73.974014)"
"Albany","1","2020","12193","15","14","0",,,,,,"
,  
(42.540237, -74.045892)","
,  
(42.588271, -73.974014)"
