"equipment_id","county","reg_comp","lastupdate","ct_status","last_sampled_days","equipment_street_address","equipment_location_city","equipment_location_zip","equipment_last_legionellla_sample_collection_date","equipment_last_legionella_test_result","equipment_tower_operation_duration","latitude","longitude","georeference_"
"2109","Erie","Compliant","2505","Decommissioned","999","181 Main St","Buffalo","14203",,"lt20",,"42.879646","-78.876251","POINT (-78.876251 42.879646)"
"32","Oneida","Non-compliant","2560","Update Required","999","811 Court Street","Utica","13502",,,,"43.102798","-75.244331","POINT (-75.244331 43.102798)"
"7664","Tompkins","Non-compliant","2493","Update Required","999","222 S Cayuga St","Ithaca","14850",,,,"42.438282","-76.499039","POINT (-76.499039 42.438282)"
"7020","Tompkins","Non-compliant","2526","Update Required","999","143 Building 3 Maple","Ithaca","14850",,,,"42.44117","-76.475296","POINT (-76.475296 42.44117)"
"2767","Tompkins","Non-compliant","26","Not Sampled","98","800 Warren Rd.","Ithaca","14850","2022-05-17T00:00:00.000","lt20","Year-round","42.494801","-76.468399","POINT (-76.468399 42.494801)"
"12419","Rensselaer","Compliant","13","Legionella Sampled","75","500 Federal Street","Troy","12180","2022-06-09T00:00:00.000","lt20","Seasonal","42.73439","-73.687584","POINT (-73.687584 42.73439)"
"5531","Niagara","Compliant","22","Legionella Sampled","25","400 47th Street","Niagara Falls","14304","2022-07-29T00:00:00.000","lt20","Year-round","43.090343","-79.008881","POINT (-79.008881 43.090343)"
"11153","Monroe","Compliant","15","Legionella Sampled","40","600  Red Creek Drive","Rochester","14623","2022-07-14T00:00:00.000","lt20","Seasonal","43.0662","-77.629501","POINT (-77.629501 43.0662)"
"2111","Monroe","Non-compliant","77","Out of Service","999","675 W Main Street","Rochester","14611","2018-08-16T00:00:00.000","lt20","Seasonal","43.151497","-77.630547","POINT (-77.630547 43.151497)"
"1866","Erie","Non-compliant","104","Not Sampled","216","2157 Main St.","Buffalo","14214","2022-01-19T00:00:00.000","lt20","Year-round","42.92905","-78.849953","POINT (-78.849953 42.92905)"
"5596","Ontario","Non-compliant","8","Legionella Sampled","40","209 High Point Drive","Victor, NY","14564","2022-07-14T00:00:00.000","lt20","Seasonal","43.028633","-77.438194","POINT (-77.438194 43.028633)"
"2565","Cayuga","Non-compliant","77","Not Sampled","117","7134 County House Road","Auburn","13021","2022-04-28T00:00:00.000","lt20","Year-round","42.963665","-76.558952","POINT (-76.558952 42.963665)"
"9580","Erie","Non-compliant","25","Not Sampled","117","5000 N America Dr","Buffalo","14224","2022-04-28T00:00:00.000","lt20","Year-round","42.843204","-78.725861","POINT (-78.725861 42.843204)"
"12043","Oneida","Compliant","8","Legionella Sampled","20","180 Genesee st.","New Hartford","13413","2022-08-03T00:00:00.000","lt20","Seasonal","43.076004","-75.303787","POINT (-75.303787 43.076004)"
"14996","Nassau","Compliant","11","Legionella Sampled","28","1 Sunrise Mall","Massapequa","11758","2022-07-26T00:00:00.000","lt20","Seasonal","40.68265247","-73.43455165","POINT (-73.43455165 40.68265247)"
"13305","Westchester","Non-compliant","29","Legionella Sampled","32","70 W Red Oak Ln","West Harrison","10604","2022-07-22T00:00:00.000","lt20","Seasonal","41.015362","-73.719193","POINT (-73.719193 41.015362)"
"14114","Erie","Non-compliant","5","Legionella Sampled","32","325 Essjay Rd","Buffalo","14221","2022-07-22T00:00:00.000","lt20","Year-round","42.97311","-78.735962","POINT (-78.735962 42.97311)"
