"test_date","age_group","positive_cases","total_tests"
"2020-03-02T00:00:00.000","45 to 54","1","1"
"2020-03-03T00:00:00.000","25 to 34","0","2"
"2020-03-03T00:00:00.000","35 to 44","0","1"
"2020-03-03T00:00:00.000","45 to 54","0","1"
"2020-03-03T00:00:00.000","55 to 64","0","2"
"2020-03-03T00:00:00.000","65 to 74","0","2"
"2020-03-03T00:00:00.000","85 +","0","1"
"2020-03-04T00:00:00.000","1 to 4","0","1"
"2020-03-04T00:00:00.000","25 to 34","0","5"
"2020-03-04T00:00:00.000","35 to 44","2","2"
"2020-03-04T00:00:00.000","45 to 54","0","2"
"2020-03-04T00:00:00.000","5 to 19","0","3"
"2020-03-04T00:00:00.000","55 to 64","0","2"
"2020-03-04T00:00:00.000","65 to 74","0","3"
"2020-03-04T00:00:00.000","85 +","0","1"
"2020-03-04T00:00:00.000","< 1","0","1"
"2020-03-05T00:00:00.000","1 to 4","0","7"
"2020-03-05T00:00:00.000","20 to 24","1","4"
"2020-03-05T00:00:00.000","25 to 34","0","10"
"2020-03-05T00:00:00.000","35 to 44","6","13"
"2020-03-05T00:00:00.000","45 to 54","4","13"
"2020-03-05T00:00:00.000","5 to 19","6","17"
"2020-03-05T00:00:00.000","55 to 64","1","12"
"2020-03-05T00:00:00.000","65 to 74","3","8"
"2020-03-05T00:00:00.000","75 to 84","1","5"
"2020-03-05T00:00:00.000","85 +","0","1"
"2020-03-05T00:00:00.000","< 1","0","2"
"2020-03-06T00:00:00.000","20 to 24","1","4"
"2020-03-06T00:00:00.000","25 to 34","1","8"
"2020-03-06T00:00:00.000","35 to 44","2","9"
"2020-03-06T00:00:00.000","45 to 54","1","6"
"2020-03-06T00:00:00.000","5 to 19","1","10"
"2020-03-06T00:00:00.000","55 to 64","1","9"
"2020-03-06T00:00:00.000","65 to 74","2","7"
"2020-03-06T00:00:00.000","75 to 84","0","8"
"2020-03-06T00:00:00.000","85 +","2","5"
"2020-03-07T00:00:00.000","1 to 4","0","3"
"2020-03-07T00:00:00.000","20 to 24","0","9"
"2020-03-07T00:00:00.000","25 to 34","0","14"
"2020-03-07T00:00:00.000","35 to 44","4","29"
"2020-03-07T00:00:00.000","45 to 54","9","36"
"2020-03-07T00:00:00.000","5 to 19","8","52"
"2020-03-07T00:00:00.000","55 to 64","1","19"
"2020-03-07T00:00:00.000","65 to 74","1","19"
"2020-03-07T00:00:00.000","75 to 84","0","11"
"2020-03-07T00:00:00.000","85 +","1","8"
"2020-03-08T00:00:00.000","1 to 4","2","18"
"2020-03-08T00:00:00.000","20 to 24","1","16"
"2020-03-08T00:00:00.000","25 to 34","3","33"
"2020-03-08T00:00:00.000","35 to 44","6","46"
"2020-03-08T00:00:00.000","45 to 54","3","40"
"2020-03-08T00:00:00.000","5 to 19","4","73"
"2020-03-08T00:00:00.000","55 to 64","2","30"
"2020-03-08T00:00:00.000","65 to 74","3","23"
"2020-03-08T00:00:00.000","75 to 84","2","13"
"2020-03-08T00:00:00.000","85 +","2","14"
"2020-03-08T00:00:00.000","< 1","0","1"
"2020-03-09T00:00:00.000","1 to 4","1","29"
"2020-03-09T00:00:00.000","20 to 24","4","14"
"2020-03-09T00:00:00.000","25 to 34","6","44"
"2020-03-09T00:00:00.000","35 to 44","13","50"
"2020-03-09T00:00:00.000","45 to 54","7","44"
"2020-03-09T00:00:00.000","5 to 19","12","88"
"2020-03-09T00:00:00.000","55 to 64","10","63"
"2020-03-09T00:00:00.000","65 to 74","8","32"
"2020-03-09T00:00:00.000","75 to 84","1","19"
"2020-03-09T00:00:00.000","85 +","1","12"
"2020-03-09T00:00:00.000","< 1","0","6"
"2020-03-10T00:00:00.000","1 to 4","0","21"
"2020-03-10T00:00:00.000","20 to 24","2","13"
"2020-03-10T00:00:00.000","25 to 34","4","41"
"2020-03-10T00:00:00.000","35 to 44","5","79"
"2020-03-10T00:00:00.000","45 to 54","9","50"
"2020-03-10T00:00:00.000","5 to 19","3","81"
"2020-03-10T00:00:00.000","55 to 64","8","52"
"2020-03-10T00:00:00.000","65 to 74","8","38"
"2020-03-10T00:00:00.000","75 to 84","4","20"
"2020-03-10T00:00:00.000","85 +","1","23"
"2020-03-10T00:00:00.000","< 1","0","7"
"2020-03-11T00:00:00.000","1 to 4","1","22"
"2020-03-11T00:00:00.000","20 to 24","2","27"
"2020-03-11T00:00:00.000","25 to 34","6","57"
"2020-03-11T00:00:00.000","35 to 44","8","88"
"2020-03-11T00:00:00.000","45 to 54","7","75"
"2020-03-11T00:00:00.000","5 to 19","12","99"
"2020-03-11T00:00:00.000","55 to 64","8","89"
"2020-03-11T00:00:00.000","65 to 74","6","53"
"2020-03-11T00:00:00.000","75 to 84","4","28"
"2020-03-11T00:00:00.000","85 +","2","8"
"2020-03-11T00:00:00.000","< 1","0","7"
"2020-03-12T00:00:00.000","1 to 4","2","18"
"2020-03-12T00:00:00.000","20 to 24","5","46"
"2020-03-12T00:00:00.000","25 to 34","11","99"
"2020-03-12T00:00:00.000","35 to 44","12","111"
"2020-03-12T00:00:00.000","45 to 54","20","116"
"2020-03-12T00:00:00.000","5 to 19","5","61"
"2020-03-12T00:00:00.000","55 to 64","23","116"
"2020-03-12T00:00:00.000","65 to 74","11","67"
"2020-03-12T00:00:00.000","75 to 84","9","71"
"2020-03-12T00:00:00.000","85 +","4","51"
"2020-03-12T00:00:00.000","< 1","0","6"
"2020-03-13T00:00:00.000","1 to 4","0","31"
"2020-03-13T00:00:00.000","20 to 24","3","66"
"2020-03-13T00:00:00.000","25 to 34","32","181"
"2020-03-13T00:00:00.000","35 to 44","30","183"
"2020-03-13T00:00:00.000","45 to 54","30","231"
"2020-03-13T00:00:00.000","5 to 19","9","146"
"2020-03-13T00:00:00.000","55 to 64","26","189"
"2020-03-13T00:00:00.000","65 to 74","21","137"
"2020-03-13T00:00:00.000","75 to 84","10","81"
"2020-03-13T00:00:00.000","85 +","3","39"
"2020-03-13T00:00:00.000","< 1","0","6"
"2020-03-14T00:00:00.000","1 to 4","1","36"
"2020-03-14T00:00:00.000","20 to 24","9","87"
"2020-03-14T00:00:00.000","25 to 34","19","195"
"2020-03-14T00:00:00.000","35 to 44","24","211"
"2020-03-14T00:00:00.000","45 to 54","23","214"
