"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","highly_capable","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_highly_capable","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof","foster_care","non_foster_care"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","84174","40869","184","43121","1068","7045","3621","19673","948","6716","45086","7649","5832","2175","36928","1926","1645","1312","5458","10300","76525","78342","81999","47246","82248","82529","82862","78716","73874","2022-04-22T00:00:00.000","446","83728"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","84801","41183","272","43346","1078","7002","3629","18983","955","6635","46509","6569","5631","2381","35509","1672","1542","1624","5427","10523","78232","79170","82420","49292","83129","83259","83177","79374","74278","2022-04-22T00:00:00.000","461","84340"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","89406","43469","222","45715","1223","7214","4278","19596","981","6793","49321","6158","4640","3610","36790","1786","1362","4544","5183","11606","83248","84766","85796","52616","87620","88044","84862","84223","77800","2022-04-22T00:00:00.000","400","89006"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","83166","40410","31","42725","1028","6814","3610","19370","1007","8227","43106","17023","1760","2478","39319","1473","2981","1030","1357","11286","66143","81406","80688","43847","81693","80185","82136","81809","71880","2022-04-22T00:00:00.000","622","82544"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"2nd Grade","82925","40345","34","42546","1004","6841","3452","19716","969","8077","42861","15546","4075","2408","39507","1622","2877","980","1947","12095","67379","78850","80517","43418","81303","80048","81945","80978","70830","2022-04-22T00:00:00.000","640","82285"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"3rd Grade","83882","40705","27","43150","1068","6791","3734","20079","958","7910","43336","12465","5714","2369","40371","1684","2770","956","2655","13076","71417","78168","81513","43511","82198","81112","82926","81227","70806","2022-04-22T00:00:00.000","584","83298"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"4th Grade","84097","40944","30","43123","1010","6668","3547","20424","970","7988","43482","10851","6693","2383","40866","1807","2538","869","3338","12874","73246","77404","81714","43231","82290","81559","83228","80759","71223","2022-04-22T00:00:00.000","542","83555"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"5th Grade","86942","42320","40","44582","1074","6728","3775","21627","968","8109","44652","9731","7230","2338","42577","1860","2378","875","3765","13031","77211","79712","84604","44365","85082","84564","86067","83177","73911","2022-04-22T00:00:00.000","531","86411"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"6th Grade","88209","42986","66","45157","1145","6991","3742","22001","1010","8150","45163","8660","7682","2473","42797","1948","2264","943","4371","12532","79549","80527","85736","45412","86261","85945","87266","83838","75677","2022-04-22T00:00:00.000","506","87703"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"7th Grade","87785","42470","106","45209","1113","6872","3797","21771","1039","7982","45192","7780","7819","2410","42129","1982","2208","905","4833","11976","80005","79966","85375","45656","85803","85577","86880","82952","75809","2022-04-22T00:00:00.000","531","87254"
