"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","foster_care","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_foster_care","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","81152","39535","0","41616","1951","6579","4591","11485","616","2083","53576","3353","552","984","30889","1435","0","6438","1770","8554","77799","80600","80168","50263","79717","81152","74714","79382","72598","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","82026","39831","0","42194","2030","6513","4235","10542","557","1723","56145","2824","496","1089","28682","1180","0","7069","1691","8802","79202","81530","80937","53344","80846","82026","74957","80335","73224","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","79205","38765","0","40437","1956","6505","4262","8972","514","1249","55508","2040","284","1214","25025","1107","0","7538","1478","7263","77165","78921","77991","54180","78098","79205","71667","77727","71942","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","76423","37321","0","39102","1726","5893","3881","14200","788","3967","45489","12720","600","1090","37002","1517","0","3773","364","9415","63703","75823","75333","39421","74906","76423","72650","76059","67008","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"2nd Grade","75200","36796","0","38404","1656","5877","3998","13562","738","3495","45510","10568","527","1035","36319","1466","0","3398","453","10320","64632","74673","74165","38881","73734","75200","71802","74747","64880","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"3rd Grade","77325","37628","0","39697","1779","5936","4027","13859","768","3481","47147","7896","472","1092","36690","1631","0","3545","610","11524","69429","76853","76233","40635","75694","77325","73780","76715","65801","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"4th Grade","77456","37724","0","39732","1860","5849","4240","13065","796","3190","48183","6234","475","1127","35983","1504","0","3252","913","11842","71222","76981","76329","41473","75952","77456","74204","76543","65614","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"5th Grade","76924","37255","0","39669","1909","5879","4299","12882","562","2681","48479","5242","453","1041","30984","1481","0","3087","849","11199","71682","76471","75883","45940","75443","76924","73837","76075","65725","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"6th Grade","76669","37272","0","39397","1950","5963","4257","12383","610","2500","48827","4328","438","1047","32690","1390","0","3072","1168","9933","72341","76231","75622","43979","75279","76669","73597","75501","66736","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"7th Grade","77113","37566","0","39547","1881","6121","4230","12328","594","2267","49473","4139","476","915","33707","1403","0","3331","1409","9467","72974","76637","76198","43406","75710","77113","73782","75704","67646","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"8th Grade","77051","37331","0","39720","1863","6010","4261","11881","547","2126","50149","3487","536","976","27180","1302","0","3965","1207","9062","73564","76515","76075","49871","75749","77051","73086","75844","67989","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"9th Grade","84512","40886","0","43626","2097","6558","5055","13048","619","2349","54528","3661","589","1050","34046","1536","0","6340","1602","9239","80851","83923","83462","50466","82976","84512","78172","82910","75273","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"AllGrades","1034935","501614","0","533316","24768","80375","56515","167426","8690","35867","657143","80195","6670","13729","432521","18616","0","61313","13762","136129","954740","1028265","1021206","602414","1016319","1034935","973622","1021173","898806","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Half-day Kindergarten","52389","25489","0","26900","1047","3518","1977","8185","557","2926","33874","8110","424","521","21775","582","0","2863","217","5674","44279","51965","51868","30614","51807","52389","49526","52172","46715","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Kindergarten","21346","10322","0","11024","565","1977","1886","6084","249","922","9541","5462","172","310","12453","842","0","1184","23","2166","15884","21174","21036","8893","20504","21346","20162","21323","19180","2020-05-22T00:00:00.000"
"2009-10","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Pre-Kindergarten","20144","7893","0","12251","498","1197","1316","4950","175","908","10714","131","176","238","9096","240","0","2458","8","11669","20013","19968","19906","11048","19904","20144","17686","20136","8475","2020-05-22T00:00:00.000"
"2009-10","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","1st Grade","69","35","0","34","3","1","0","28","0","5","31","13","2","0","64","1","0","5","0","10","56","67","69","5","68","69","64","69","59","2020-05-22T00:00:00.000"
"2009-10","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","2nd Grade","57","27","0","30","2","0","0","15","0","3","35","9","1","2","46","2","0","4","0","13","48","56","55","11","55","57","53","57","44","2020-05-22T00:00:00.000"
"2009-10","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","3rd Grade","57","26","0","31","2","0","2","26","0","3","24","10","0","4","48","4","0","3","0","7","47","57","53","9","53","57","54","57","50","2020-05-22T00:00:00.000"
"2009-10","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","4th Grade","57","30","0","27","1","0","0","19","1","9","27","7","1","2","47","3","0","7","1","17","50","56","55","10","54","57","50","56","40","2020-05-22T00:00:00.000"
"2009-10","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","5th Grade","60","25","0","35","2","1","1","20","0","3","33","9","0","2","48","4","0","6","0","7","51","60","58","12","56","60","54","60","53","2020-05-22T00:00:00.000"
