"schoolyear","column1","esd","county","countydistrictnumber","district","gradetested","ethnicitygender","waasreadingtotaltestedno","waasreadingtotaltested","waasreadingmetstandard","waasreadingpercentmetstandard","waasreadingpercentmetsta","waasreadinglevel1","waasreadingpercentlevel1","waasreadinglevel2","waasreadingpercentlevel2","waasreadinglevel3","waasreadingpercentlevel3","waasreadinglevel4","waasreadingpercentlevel4","waasreadingnoscore","waasreadingpercentnoscore","waasreadingnotmet","waasreadingpercentnotmet","waasreadingwaas","waasreadingpercentwaas","waasmathtotaltestednottested","waasmathtotaltested","waasmathmetstandard","waasmathpercentmetstandard","waasmathpercentmetstanda","waasmathlevel1","waasmathpercentlevel1","waasmathlevel2","waasmathpercentlevel2","waasmathlevel3","waasmathpercentlevel3","waasmathlevel4","waasmathpercentlevel4","waasmathnoscore","waasmathpercentnoscore","waasmathnotmet","waasmathpercentnotmet","waasmathwaas","waasmathpercentwaas","waaswritingtotaltestedno","waaswritingtotaltested","waaswritingmetstandard","waaswritingpercentmetstandard","waaswritingpercentmetsta","waaswritinglevel1","waaswritingpercentlevel1","waaswritinglevel2","waaswritingpercentlevel2","waaswritinglevel3","waaswritingpercentlevel3","waaswritinglevel4","waaswritingpercentlevel4","waaswritingnoscore","waaswritingpercentnoscore","waaswritingnotmet","waaswritingpercentnotmet","waaswritingwaas","waaswritingpercentwaas","waassciencetotaltestedno","waassciencetotaltested","waassciencemetstandard","waassciencepercentmetstandard","waassciencepercentmetsta","waassciencelevel1","waassciencepercentlevel1","waassciencelevel2","waassciencepercentlevel2","waassciencelevel3","waassciencepercentlevel3","waassciencelevel4","waassciencepercentlevel4","waassciencenoscore","waassciencepercentnoscore","waassciencenotmet","waassciencepercentnotmet","waassciencewaas","waassciencepercentwaas"
"2012-13","43","Educational Service District 112","Clark","6119","Battle Ground School District","5","ALL","12","12","11","91.59","91.7","1","8.3","0","0","1","8.3","10","83.29","0","0","1","8.3",,"0","12","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,"12","12","10","83.29","83.3","2","16.6","0","0","0","0","10","83.29","0","0","2","16.6",,"0"
"2012-13","43","Educational Service District 112","Clark","6119","Battle Ground School District","6","ALL","9","0",,,,,,,,,,,,,,,,,"0","9","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","43","Educational Service District 112","Clark","6119","Battle Ground School District","7","ALL","6","0",,,,,,,,,,,,,,,,,"0","6","0",,,,,,,,,,,,,,,,,"0","6","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,
"2012-13","43","Educational Service District 112","Clark","6119","Battle Ground School District","8","ALL","9","0",,,,,,,,,,,,,,,,,"0","9","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,"9","0",,,,,,,,,,,,,,,,,"0"
"2012-13","43","Educational Service District 112","Clark","6119","Battle Ground School District","10","ALL","11","0",,,,,,,,,,,,,,,,,"0","11","0",,,,,,,,,,,,,,,,,"0","11","0",,,,,,,,,,,,,,,,,"0","11","0",,,,,,,,,,,,,,,,,"0"
"2012-13","108","Puget Sound Educational Service District 121","King","17405","Bellevue School District","3","ALL","6","0",,,,,,,,,,,,,,,,,"0","6","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","108","Puget Sound Educational Service District 121","King","17405","Bellevue School District","4","ALL","11","0",,,,,,,,,,,,,,,,,"0","11","11","8","72.7","72.7","0","0","3","27.19","5","45.39","3","27.19","0","0","3","27.19",,"0","11","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,
"2012-13","108","Puget Sound Educational Service District 121","King","17405","Bellevue School District","5","ALL","9","0",,,,,,,,,,,,,,,,,"0","9","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,"9","0",,,,,,,,,,,,,,,,,"0"
"2012-13","108","Puget Sound Educational Service District 121","King","17405","Bellevue School District","6","ALL","8","0",,,,,,,,,,,,,,,,,"0","8","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","108","Puget Sound Educational Service District 121","King","17405","Bellevue School District","7","ALL","19","19","18","94.7","94.7","0","0","1","5.2","4","21","14","73.59","0","0","1","5.2",,"0","19","19","17","89.4","89.5","1","5.2","1","5.2","7","36.79","10","52.6","0","0","2","10.5",,"0","19","19","15","78.9","78.9","0","0","4","21","6","31.5","9","47.29","0","0","4","21",,"0",,"0",,,,,,,,,,,,,,,,,
"2012-13","108","Puget Sound Educational Service District 121","King","17405","Bellevue School District","8","ALL","10","10","8","80","80","0","0","2","20","0","0","8","80","0","0","2","20",,"0","10","10","9","90","90","1","10","0","0","1","10","8","80","0","0","1","10",,"0",,"0",,,,,,,,,,,,,,,,,,"10","0",,,,,,,,,,,,,,,,,"0"
"2012-13","108","Puget Sound Educational Service District 121","King","17405","Bellevue School District","10","ALL","9","0",,,,,,,,,,,,,,,,,"0","9","0",,,,,,,,,,,,,,,,,"0","9","0",,,,,,,,,,,,,,,,,"0","9","0",,,,,,,,,,,,,,,,,"0"
"2012-13","272","Northwest Educational Service District 189","Whatcom","37501","Bellingham School District","3","ALL","8","0",,,,,,,,,,,,,,,,,"0","8","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","147","Educational Service District 113","Lewis","21234","Boistfort School District","8","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","272","Northwest Educational Service District 189","Whatcom","37501","Bellingham School District","4","ALL","5","0",,,,,,,,,,,,,,,,,"0","5","0",,,,,,,,,,,,,,,,,"0","5","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,
"2012-13","272","Northwest Educational Service District 189","Whatcom","37501","Bellingham School District","5","ALL","10","10","9","90","90","0","0","1","10","3","30","6","60","0","0","1","10",,"0","9","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,"10","10","9","90","90","0","0","1","10","1","10","8","80","0","0","1","10",,"0"
"2012-13","272","Northwest Educational Service District 189","Whatcom","37501","Bellingham School District","6","ALL","9","0",,,,,,,,,,,,,,,,,"0","9","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","272","Northwest Educational Service District 189","Whatcom","37501","Bellingham School District","7","ALL","4","0",,,,,,,,,,,,,,,,,"0","4","0",,,,,,,,,,,,,,,,,"0","4","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,
"2012-13","272","Northwest Educational Service District 189","Whatcom","37501","Bellingham School District","8","ALL","4","0",,,,,,,,,,,,,,,,,"0","4","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,"4","0",,,,,,,,,,,,,,,,,"0"
"2012-13","272","Northwest Educational Service District 189","Whatcom","37501","Bellingham School District","10","ALL","9","0",,,,,,,,,,,,,,,,,"0","9","0",,,,,,,,,,,,,,,,,"0","9","0",,,,,,,,,,,,,,,,,"0","9","0",,,,,,,,,,,,,,,,,"0"
"2012-13","12","Educational Service District 101","Adams","1122","Benge School District","3","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","12","Educational Service District 101","Adams","1122","Benge School District","4","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","12","Educational Service District 101","Adams","1122","Benge School District","5","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","12","Educational Service District 101","Adams","1122","Benge School District","6","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","197","Puget Sound Educational Service District 121","Pierce","27403","Bethel School District","3","ALL","13","13","10","76.9","76.9","0","0","3","23","2","15.3","8","61.5","0","0","3","23",,"0","13","13","9","69.2","69.2","0","0","4","30.69","2","15.3","7","53.79","0","0","4","30.69",,"0",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
