"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","studentgrouptype","studentgroup","gradelevel","testadministration","testsubject","suppression","count_of_students_expected","countmetstandard","count_of_students_expected_to_test_including_previously_passed","percentmetstandard","percentlevel1","percentlevel2","percentlevel3","percentlevel4","percentmettestedonly","percent_no_score","dataasof"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","01","ELPA","ELPA","None","17075","2417","17075","14.2%","0.0853879941434","0.7633967789165","0.1415519765739","0.0000000000000","0.1429331756357","0.0096632503660","2022-02-09T00:00:00.000"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","01","WIDA","WIDA","<2%","NULL","NULL","NULL","<2%","NULL","NULL","NULL","NULL","NULL","NULL","2022-02-09T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","01","ELPA","ELPA","None","17194","2628","17194","15.3%","0.0809003140630","0.7568919390485","0.1528440153541","0.0000000000000","0.1542887336347","0.0093637315342","2022-02-09T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","01","WIDA","WIDA","<3%","NULL","NULL","NULL","<3%","NULL","NULL","NULL","NULL","NULL","NULL","2022-02-09T00:00:00.000"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","01","ELPA","ELPA","None","17795","2180","17795","12.3%","0.0943523461646","0.7758921045237","0.1225063220005","0.0000000000000","0.1234008830521","0.0072492273110","2022-02-09T00:00:00.000"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","01","ELPA","ELPA","None","17407","1765","17407","10.1%","0.1051875682196","0.7856034928477","0.1013959901189","0.0000000000000","0.1021944299693","0.0078129488136","2022-02-09T00:00:00.000"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","02","ELPA","ELPA","None","15023","3535","15023","23.5%","0.0549157957798","0.7011915063569","0.2353058643413","0.0000000000000","0.2373438968712","0.0085868335219","2022-02-09T00:00:00.000"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","02","WIDA","WIDA","<2%","NULL","NULL","NULL","<2%","NULL","NULL","NULL","NULL","NULL","NULL","2022-02-09T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","02","ELPA","ELPA","None","15734","4081","15734","25.9%","0.0610143637981","0.6691877462819","0.2593746027710","0.0000000000000","0.2621066152858","0.0104232871488","2022-02-09T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","02","WIDA","WIDA","<4%","NULL","NULL","NULL","<4%","NULL","NULL","NULL","NULL","NULL","NULL","2022-02-09T00:00:00.000"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","02","ELPA","ELPA","None","16499","3878","16499","23.5%","0.0630947330141","0.6942238923571","0.2350445481544","0.0000000000000","0.2368533561351","0.0076368264743","2022-02-09T00:00:00.000"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","02","ELPA","ELPA","None","16035","3222","16035","20.1%","0.0753975678203","0.7131898971000","0.2009354536950","0.0000000000000","0.2030629608621","0.0104770813844","2022-02-09T00:00:00.000"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","03","AIM","ELA","None","879","492","879","56.0%","0.1410693970420","0.2912400455062","0.3435722411831","0.2161547212741","0.5642201834862","0.0079635949943","2022-02-09T00:00:00.000"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","03","AIM","Math","None","875","479","875","54.7%","0.1177142857142","0.3291428571428","0.3165714285714","0.2308571428571","0.5505747126436","0.0057142857142","2022-02-09T00:00:00.000"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","03","ELPA","ELPA","None","12139","2253","12139","18.6%","0.0475327456956","0.7567344921327","0.1856001318065","0.0000000000000","0.1875000000000","0.0101326303649","2022-02-09T00:00:00.000"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","03","SBAC","ELA","None","82565","45759","82566","55.4%","0.2171501241446","0.2129110397868","0.2335251014352","0.3206806758311","0.5630645042207","0.0157330588021","2022-02-09T00:00:00.000"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","03","SBAC","Math","None","82644","47949","82644","58.0%","0.2022893373989","0.2013092299501","0.2871230821354","0.2930642272881","0.5897495818163","0.0162141232273","2022-02-09T00:00:00.000"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","03","WIDA","WIDA","<2%","NULL","NULL","NULL","<2%","NULL","NULL","NULL","NULL","NULL","NULL","2022-02-09T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","03","AIM","ELA","None","894","509","897","56.7%","0.1621923937360","0.2684563758389","0.3456375838926","0.2203579418344","0.5679012345679","0.0033557046979","2022-02-09T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","03","AIM","Math","None","881","481","884","54.4%","0.1350737797956","0.3212258796821","0.2803632236095","0.2622020431328","0.5431818181818","0.0011350737797","2022-02-09T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","03","ELPA","ELPA","None","12791","2112","12791","16.5%","0.0547259792041","0.7703072472832","0.1651160972558","0.0000000000000","0.1667587840505","0.0098506762567","2022-02-09T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","03","SBAC","ELA","None","84389","46898","84389","55.6%","0.2109516643164","0.2174335517662","0.2355994264655","0.3201365106826","0.5647027658370","0.0158788467691","2022-02-09T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"All","All Students","03","SBAC","Math","None","84475","48648","84475","57.6%","0.2052441550754","0.2020124297129","0.2887836638058","0.2871026931044","0.5857605567663","0.0168570583012","2022-02-09T00:00:00.000"
