"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","foster_care","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_foster_care","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","80348","38988","0","41360","1308","5973","3937","13816","661","4298","50353","3071","525","1357","34828","1476","0","5939","2459","8970","77277","79823","78991","45520","78872","80348","74409","77889","71378","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","80093","39111","0","40982","1233","6048","3682","13072","590","4113","51354","2698","424","1445","32297","1490","0","6714","2409","8370","77395","79669","78648","47796","78603","80093","73379","77684","71723","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","83133","40566","0","42567","1367","6290","3899","12970","692","3857","54056","2420","298","2407","31979","1526","0","8137","2290","9302","80713","82835","80726","51154","81607","83133","74996","80843","73831","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","78454","38202","0","40252","1065","5500","3357","17714","809","5414","44593","14553","680","1691","41110","1542","0","3794","755","9652","63901","77774","76763","37344","76912","78454","74660","77699","68802","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"2nd Grade","77935","38010","0","39925","1176","5624","3418","16927","753","5203","44833","11743","564","1558","40372","1627","0","3553","1069","10688","66192","77371","76377","37563","76308","77935","74382","76866","67247","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"3rd Grade","77618","37949","0","39669","1203","5706","3425","16270","741","5047","45226","8379","563","1558","39305","1567","0","3390","1239","11977","69239","77055","76060","38313","76051","77618","74228","76379","65641","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"4th Grade","76833","37530","0","39303","1176","5575","3455","15918","727","4848","45133","7436","510","1517","39040","1561","0","3182","1443","11863","69397","76323","75316","37793","75272","76833","73651","75390","64970","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"5th Grade","78293","38120","0","40173","1270","5638","3476","16090","734","4872","46212","6494","466","1432","38386","1729","0","2908","1714","11958","71799","77827","76861","39907","76564","78293","75385","76579","66335","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"6th Grade","78863","38488","0","40375","1318","5511","3573","15300","770","4899","47492","5294","448","1425","38032","1572","0","3043","2076","11066","73569","78415","77438","40831","77291","78863","75820","76787","67797","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"7th Grade","78644","38085","0","40559","1353","5411","3686","15135","648","4746","47665","4271","455","1367","38291","1560","0","3355","2067","10329","74373","78189","77277","40353","77084","78644","75289","76577","68315","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"8th Grade","78873","38344","0","40529","1402","5651","3661","14540","647","4437","48535","3568","509","1355","35053","1598","0","3769","2237","9585","75305","78364","77518","43820","77275","78873","75104","76636","69288","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"9th Grade","83083","40110","0","42973","1418","5999","4150","15388","734","4653","50739","3895","592","1425","37837","1547","0","5805","2427","9683","79188","82491","81658","45246","81536","83083","77278","80656","73400","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"AllGrades","1051404","509553","0","541851","16682","74854","48139","207422","9375","64008","630911","89276","6124","20574","495785","20480","0","60681","22781","145177","962128","1045280","1030830","555619","1030924","1051404","990723","1028623","906227","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Half-day Kindergarten","58097","28083","0","30014","748","3267","1658","12321","443","4393","35267","9786","64","1023","27101","736","0","3286","434","6730","48311","58033","57074","30996","57361","58097","54811","57663","51367","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Kindergarten","19799","9616","0","10183","288","1566","1602","6064","263","1682","8334","5635","11","572","11743","669","0","1111","123","2157","14164","19788","19227","8056","19130","19799","18688","19676","17642","2020-05-22T00:00:00.000"
"2011-12","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Pre-Kindergarten","21338","8351","0","12987","357","1095","1160","5897","163","1546","11119","33","15","442","10411","280","0","2695","39","12847","21305","21323","20896","10927","21058","21338","18643","21299","8491","2020-05-22T00:00:00.000"
"2011-12","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","1st Grade","59","26","0","33","2","0","0","26","0","2","29","14","3","9","50","2","0","5","0","10","45","56","50","9","57","59","54","59","49","2020-05-22T00:00:00.000"
"2011-12","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","2nd Grade","70","35","0","35","1","2","0","23","0","11","33","9","0","9","59","1","0","5","0","15","61","70","61","11","69","70","65","70","55","2020-05-22T00:00:00.000"
"2011-12","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","3rd Grade","71","30","0","41","3","1","1","33","0","3","30","4","1","8","64","2","0","6","0","19","67","70","63","7","69","71","65","71","52","2020-05-22T00:00:00.000"
"2011-12","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","4th Grade","49","31","0","18","1","0","0","17","0","5","26","6","0","3","36","2","0","5","0","17","43","49","46","13","47","49","44","49","32","2020-05-22T00:00:00.000"
"2011-12","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","5th Grade","54","25","0","29","0","0","1","28","0","4","21","7","1","6","46","4","0","1","0","7","47","53","48","8","50","54","53","54","47","2020-05-22T00:00:00.000"
"2011-12","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","6th Grade","46","23","0","23","1","0","0","16","0","7","22","5","1","4","36","2","0","3","0","13","41","45","42","10","44","46","43","46","33","2020-05-22T00:00:00.000"
"2011-12","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","AllGrades","446","216","0","230","11","3","2","186","0","40","204","60","6","44","374","17","0","30","0","97","386","440","402","72","429","446","416","446","349","2020-05-22T00:00:00.000"
"2011-12","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","Kindergarten","69","33","0","36","3","0","0","34","0","3","29","15","0","3","60","3","0","3","0","12","54","69","66","9","66","69","66","69","57","2020-05-22T00:00:00.000"
