"site_name","latitude"
"Anacortes 202 Avenue","(48.52059, -122.61428)"
"Kent-Central & James","(47.38614, -122.23195)"
"Seattle-Beacon Hill","(47.5682, -122.3086)"
"Tacoma-S 36th St","(47.22634, -122.46256)"
"Bellingham-Yew St","(48.76278, -122.44028)"
"Lynnwood-212th","(47.8064, -122.3167)"
"Seattle-10th & Weller","(47.597222, -122.319722)"
"Tacoma- L Street","(47.18631, -122.45154)"
"Bremerton-Spruce Ave","(47.592675, -122.62739)"
"Yakima-4th Ave","(46.59495, -120.51228)"
"Spokane-Augusta Ave","(47.672482, -117.36485)"
"Marysville-7th Ave","(48.054315, -122.171529)"
"Darrington-Fir St","(48.2468, -121.6031)"
"Vancouver NE 84th Ave","(45.64336, -122.58737)"
"Seattle-Duwamish","(47.559975, -122.338265)"
"Omak-Colville Tribe","(48.39999, -119.51896)"
"Ellensburg-Ruby St","(46.99364, -120.545)"
"Toppenish-Yakama Tribe","(46.38024, -120.33266)"
