"openeddate","openedyear","status","estimatedsavings","actualsavings","businesscategory","naics","naicsname","business","businessstreetline1","businessstreetline2","businesscity","businessstate","businesszip","geocode","business_id","id"
"2022-09-12T00:00:00.000","2022","New","0.00","0.00","Broadband Providers","514191-Internet service providers/info. services (doesn't",,"Comcast","1323 34th Ave","","Fife","WA","98424    ",,"204915","625842"
"2022-09-12T00:00:00.000","2022","New","0.00","0.00","Auto Repair","811100-Automotive Repair & Maintenance",,,,,,,,,,"625866"
"2022-09-12T00:00:00.000","2022","New","0.00","0.00","Auto Sales","441100-Automotive Dealers",,"Olympia Auto Sales","2428 4th Ave E","","Olympia","WA","98506    ",,"286907","625814"
"2022-09-12T00:00:00.000","2022","New","0.00","0.00","Commercial Banking","522110-Commercial Banking",,"Bank of America NA","1000 Samoset Dr","","Newark","DE","19713    ",,"95441","625841"
"2022-09-12T00:00:00.000","2022","New","0.00","0.00","Government Agencies","920000-Public Administration",,"","","","Coupeville","WA","98239    ",,"258625","625838"
"2022-09-12T00:00:00.000","2022","New","0.00","0.00","Residential Landlord","531311-Residential property managers (includes landlords)",,"Atlas Apartments","1800 Sidney Ave","","Port Orchard","WA","98366    ",,"298445","625855"
"2022-09-12T00:00:00.000","2022","New","0.00","0.00","Auto Sales","441100-Automotive Dealers",,"","","","Shelton","WA","         ",,"319264","625836"
"2022-09-12T00:00:00.000","2022","New","0.00","0.00","Security Systems (including locksmiths)","561620-Security Systems (including locksmiths)",,"Fluent Home LLC","3400 N 1200 W","","Lehi","UT","84043    ",,"275691","625829"
"2022-09-12T00:00:00.000","2022","New","0.00","0.00","Moving Companies","484210-Moving Companies",,"","","","Federal Way","WA","98203    ",,"319253","625823"
"2022-09-12T00:00:00.000","2022","Closed","0.00","0.00","Dating Clubs and Social Networking","812199-Dating Clubs and Social Networking",,"Facebook","","","Palo Alto","CA","         ",,"215014","625463"
"2022-09-12T00:00:00.000","2022","New","0.00","0.00","Dating Clubs and Social Networking","812199-Dating Clubs and Social Networking",,"Facebook","","","Palo Alto","CA","         ",,"215014","625852"
"2022-09-12T00:00:00.000","2022","New","0.00","0.00","Tech Support Scam","999000-Tech Support Scam",,"Unknown - Technical Support","This is the ALL major","","","  ","         ",,"265006","625834"
"2022-09-12T00:00:00.000","2022","New","0.00","0.00","Tech Support Scam","999000-Tech Support Scam",,"","","","Sheriden","WY","82801    ",,"319262","625827"
"2022-09-12T00:00:00.000","2022","New","0.00","0.00","Insurance","524000-Insurance Carriers & Related Activities",,"Farmers Insurance","PO Box 1628","","Grand Rapids","MI","49501    ",,"276246","625844"
