"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","highly_capable","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_highly_capable","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof","foster_care","non_foster_care"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","83110","40216","15","42879","1170","6549","3605","17682","899","5941","47250","4943","4109","2222","36579","1751","805","1305","4484","10003","78167","79001","80888","46531","81359","82305","81805","78626","73107","2022-04-22T00:00:00.000","499","82611"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","84908","41225","21","43662","1172","6463","3809","17017","907","6004","49507","4888","3866","2481","35947","1620","717","1702","4699","10031","80020","81042","82427","48961","83288","84191","83206","80209","74877","2022-04-22T00:00:00.000","393","84515"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","88612","42840","14","45758","1274","6454","4336","17464","845","6150","51957","4126","3517","3848","36766","1553","623","4865","4176","11246","84486","85095","84764","51846","87059","87989","83747","84436","77366","2022-04-22T00:00:00.000","390","88222"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","81839","39810","10","42019","995","5983","3320","19513","819","7709","43495","17249","549","2640","41601","1615","2078","1100","1468","10579","64590","81290","79199","40238","80224","79761","80739","80371","71260","2022-04-22T00:00:00.000","328","81511"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"2nd Grade","84600","41214","13","43373","1077","6065","3515","20625","888","7824","44598","16024","1556","2740","43546","1808","1955","1027","2015","11854","68576","83044","81860","41054","82792","82645","83573","82585","72746","2022-04-22T00:00:00.000","377","84223"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"3rd Grade","86387","42288","12","44087","1140","6459","3528","21034","902","7844","45474","13252","2920","2716","44346","1809","1909","985","2668","12750","73135","83467","83671","42041","84578","84478","85402","83719","73637","2022-04-22T00:00:00.000","369","86018"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"4th Grade","86024","41699","14","44311","1082","6232","3664","20846","962","7717","45514","11634","3705","2654","43642","1815","1835","960","3123","12844","74390","82319","83370","42382","84209","84189","85064","82901","73180","2022-04-22T00:00:00.000","323","85701"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"5th Grade","83598","40569","9","43020","1110","6054","3601","19966","853","7147","44857","9662","3968","2553","41915","1778","1619","826","3509","12465","73936","79630","81045","41683","81820","81979","82772","80089","71133","2022-04-22T00:00:00.000","322","83276"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"6th Grade","81310","39509","5","41796","1098","6259","3428","19026","957","6554","43972","8512","4462","2474","39749","1765","1464","882","3536","11451","72798","76848","78836","41561","79545","79846","80428","77774","69859","2022-04-22T00:00:00.000","559","80751"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"7th Grade","81300","39620","10","41670","1177","6381","3454","18415","868","6238","44753","6641","4833","2237","39017","1797","1295","830","3724","10838","74659","76467","79063","42283","79503","80005","80470","77576","70462","2022-04-22T00:00:00.000","565","80735"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"8th Grade","81128","39545","11","41572","1190","6322","3421","17913","876","6088","45306","5804","4693","2264","37760","1612","1198","874","4011","10707","75324","76435","78864","43368","79516","79930","80254","77117","70421","2022-04-22T00:00:00.000","538","80590"
