"funding_program","website","program_description","application_open_yr_1_","application_closed_yr_1_"
"National Coastal Wetlands Conservation Grant Program (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Wetlands-conservation-grants","This funding program provides grants to acquire, restore, and enhance wetlands of the U.S. coastal states and territories.","2018-02-01T00:00:00.000","2018-06-29T00:00:00.000"
"Recreational Trails Program - General","http://www.rco.wa.gov/grants/rtp.shtml","Funding supports maintenance and renovation of trails that provide a ""backcountry experience,"" for both motorized and non -motorized trail users. Education projects are also eligible.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000"
"Partners for Fish and Wildlife","https://www.fws.gov/wafwo/articles.cfm?id=149489470","The Partners for Fish and Wildlife Program is the USFWS’s lead program for working with private landowners to voluntarily restore and conserve fish and wildlife habitat. Using non-regulatory incentives, the Partners Program engages willing partners to conserve and protect valuable fish and wildlife habitat on their property and in their communities. This is accomplished by providing the funding, technical, and planning assistance needed to make on-the-ground conservation affordable, feasible, and effective.",,
"Terry Husseman Account, Coastal Protection fund (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Coastal-protection-fund","Terry Husseman Account grants support locally sponsored projects to restore or enhance the natural environment.  Typical projects address water quality issues and fish and wildlife habitat protection or enhancement in or adjacent to waters of the state, i.e., streams, lakes, wetlands or the ocean.","2017-07-14T00:00:00.000","2017-08-14T00:00:00.000"
"Clean Diesel Grants -- Air Quality (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Clean-diesel-grants","Clean diesel grant funds can be used to help purchase and install clean diesel technology on public- and privately-owned heavy-duty diesel vehicles and equipment in Washington.  By installing clean diesel technology, you help reduce harm to public health.",,
"Nonhighway and Off-Road Vehicle Activities Program - Education and Enforcement","http://www.rco.wa.gov/grants/nova.shtml","Funding supports education and enforcement activities related to motorized recreation.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000"
"Public Participation Grants--Solid Waste Management Program (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Public-participation-grants","Public Participation Grants provide funding to individuals and non-profit public interest organizations to increase public understanding and involvement in cleaning up contaminated sites and improving recycling and waste management.",,
"CERB Planning Grant Program (Commerce)","http://www.commerce.wa.gov/building-infrastructure/community-economic-revitalization-board/cerb-application-page/","CERB provides limited funding for studies to evaluate high-priority economic development projects.  When considering planning grants, the board gives priority to projects that could result in a type of project eligible for CERB construction funds.",,
"Floodplains by Design (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Floodplains-by-design","Floodplains By Design (FBD) is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","2017-11-26T00:00:00.000","2018-07-01T00:00:00.000"
"Washington Wildlife and Recreation Program - Natural Areas Category","http://www.rco.wa.gov/grants/wwrp.shtml","Funding supports acquisition and development of conservation lands.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"Recreational Trails Program - Education","http://www.rco.wa.gov/grants/rtp.shtml","Funding supports maintenance and renovation of trails that provide a ""backcountry experience,"" for both motorized and non -motorized trail users. Education projects are also eligible.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000"
"CERB Prospective Development Program (Commerce)","http://www.commerce.wa.gov/building-infrastructure/community-economic-revitalization-board/cerb-application-page/","This funding program provides loans and grants  to rural communities for public infrastructure to enable future business development.  Jurisdictions in rural counties and rural communities may apply for the Prospective Development program if an economic feasibility study demonstrates that private business development is likely to occur as a result of the public improvements.  Additional requirements include: Evidence from an economic feasibility study that the project will lead to the creation of a significant number of permanent jobs or generate significant private capital investment; and Applicants must also demonstrate the need for CERB assistance and that no other timely source of funds is available at a reasonably similar rate to the current CERB rate.",,
"Washington Wildlife and Recreation Program - State Parks Category","http://www.rco.wa.gov/grants/wwrp.shtml","Funding supports acquisition and development of recreation lands.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"Washington Wildlife and Recreation Program - State Lands Development Category","http://www.rco.wa.gov/grants/wwrp.shtml","Funding supports the development and restoration of state lands.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"No Child Left Inside Tier 2","http://www.rco.wa.gov","Grant funds are available for outdoor environmental, ecological, agricultural, or other natural resource-based education and recreation programs serving youth.","2019-01-01T00:00:00.000","2019-04-01T00:00:00.000"
"Washington Wildlife and Recreation Program - Urban Wildlife Category","http://www.rco.wa.gov/grants/wwrp.shtml","Funding supports acquisition and development of conservation lands.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"Boating Infrastructure Grant - Tier2","http://www.rco.wa.gov/grants/big.shtml","Funding supports development and renovation of boating facilities targeting transient recreational boats 26 feet and larger.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"Water Quality (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Water-Quality-grants-and-loans","The 319 grant program provides funding for nonpoint source pollution projects to improve and protect water quality.","2018-08-13T00:00:00.000","2018-10-15T00:00:00.000"
"Washington Wildlife and Recreation Program - Riparian Protection Category","http://www.rco.wa.gov/grants/wwrp.shtml","Funding supports acquisition and restoration of riparian lands.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"319 Grants -- Water Quality (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Water-Quality-grants-and-loans","The 319 grant program provides funding for nonpoint source pollution projects to improve and protect water quality.","2018-08-13T00:00:00.000","2018-10-15T00:00:00.000"
"Flood Control Assistance Account Program (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Flood-control-assistance","The Flood Control Assistance Account Program is intended to provide funding for flood planning and flood projects, as well emergency response funding.",,
"LWCF Outdoor Recreation Legacy Partnership Program","http://www.rco.wa.gov/grants/lwcf.shtml","Funding supports acquisition, development and renovation for public outdoor recreation and funds may be used for open space, forest, wildlife areas, beaches, and water access sites.","2018-06-01T00:00:00.000","2018-07-17T00:00:00.000"
"Clean Water State Revolving Loan Fund -- Water Quality (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Water-Quality-grants-and-loans","The Clean Water State Revolving Fund provides low interest and forgivable principal loan funding for wastewater treatment construction projects, eligible nonpoint source pollution control projects, on-site septic system replacement and eligible green projects.","2018-08-13T00:00:00.000","2018-10-15T00:00:00.000"
"Nonhighway and Off-Road Vehicle Activities Program - Nonhighway Road","http://www.rco.wa.gov/grants/nova.shtml","Funding supports acquisition, development, planning of non-highway road recreation opportunities.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000"
"Estuary and Salmon Restoration Program (WA State)","http://www.pugetsoundnearshore.org/esrp","The Estuary and Salmon Restoration Program restores natural processes that create and sustain the Puget Sound nearshore ecosystem.","2020-03-01T00:00:00.000","2020-07-01T00:00:00.000"
"Washington Wildlife and Recreation Program (RCO)","http://www.rco.wa.gov/documents/manuals&forms/Manual_10b.pdf","This funding program is used to protect the most significant lands for outdoor recreation, habitat, and wildlife preservation before they are gone.","2020-03-01T00:00:00.000","2020-05-01T00:00:00.000"
"Fish Barrier Removal Board (RCO/WDFW)","http://wdfw.wa.gov/about/advisory/fbrb/","This program funds efforts to identify and remove impediments to salmonid fish passage.","2020-02-01T00:00:00.000","2020-07-01T00:00:00.000"
"Family Forest Fish Passage Program (WA State)","http://www.rco.wa.gov/grants/schedules.shtml#fffpp","This program provides assistance to small forest landowners to fix inadequate or blocked culverts on logging roads in order for salmon to access streams.","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000"
"Salmon Recovery Funding Board (RCO)","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf","Salmon recovery grants are awarded by the Salmon Recovery Funding Board to protect and restore salmon habitat and implement salmon recovery plans.","2019-02-01T00:00:00.000","2019-08-01T00:00:00.000"
"Nonhighway and Off-Road Vehicle Activities Program - Nonmotorized","http://www.rco.wa.gov/grants/nova.shtml","Funding supports acquisition, development, planning of nonmotorized recreation opportunities.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000"
"Washington Coastal Restoration Initiative (RCO)","http://www.wcssp.org/index.php/about/news/item/127-washington-coast-restoration-initiative","This funding program protects and restores fish and wildlife, healthy forests, and water quality in coastal communities to build a lasting foundation for healthy coastal habitats and economies that will benefit the entire state.","2017-07-01T00:00:00.000","2017-09-01T00:00:00.000"
"CERB Rural Broadband Program (Commerce)","http://www.commerce.wa.gov/building-infrastructure/community-economic-revitalization-board/rural-broadband/","Low-interest loan/grant packages are available for financing the cost to build infrastructure to provide high-speed, open-access broadband service, to rural underserved communities, for the purpose of community economic development.",,
"PSAR Program (RCO/PSP)","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf","This program funds large scale projects that implement the Puget Sound Chinook Recovery Plan by protecting and restoring habitat.","2018-02-01T00:00:00.000","2018-08-01T00:00:00.000"
"Aquatic Lands Enhancement Account","http://www.rco.wa.gov/grants/alea.shtml","Funding supports the acquisition, improvement, or protection of aquatic lands for public purpose; for providing and improving access to such lands.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"Puget Sound Coastal Program","https://www.fws.gov/wafwo/articles.cfm?id=149489630","The Puget Sound Coastal Program is part of the USFWS’s National Coastal Program and was established to protect, restore, and enhance the natural resources of Washington’s coastal ecosystems.  The Coastal program works closely with partners to conserve fish, wildlife, plants and their habitats in Puget Sound, an “estuary of national significance.”",,
"Waste Reduction and Recycling Education Grants--Solid Waste Management Program (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Waste-Reduction-and-Recycling-Education-Grants","Waste Reduction and Recycling Education Grants provide up to $60,000 to qualified local governments and non-profit organizations for local or statewide education programs designed to help the public with litter control, waste reduction, recycling, and composting.",,
"Washington Wildlife and Recreation Program - Farmland Preservation Category","http://www.rco.wa.gov/grants/farmland.shtml","Funding supports acquisition and restoration of farmlands.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"Coastal and Marine Habitat Restoration Grants (NOAA)","https://www.fisheries.noaa.gov/grant/coastal-and-marine-habitat-restoration-grants","This funding supports projects that promote productive and sustainable fisheries, improve the recovery and conservation of protected resources, and promote healthy ecosystems and resilient communities through the restoration of coastal habitat.  Applicants may submit one or more projects to be completed in one, two, or three years.","2019-10-01T00:00:00.000","2019-12-01T00:00:00.000"
"Washington Wildlife and Recreation Program - Trails Category","http://www.rco.wa.gov/grants/wwrp.shtml","Funding supports acquisition and development of recreation lands.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
