"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","highly_capable","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_highly_capable","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","foster_care","non_foster_care","dataasof"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","82011","40039","18","41954","1098","6568","3612","17787","877","6198","45853","6224","6832","2462","36295","1672","1113","1357","4929","9911","75787","75179","79549","45716","80339","80898","80654","77082","72100","426","81585","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","85710","41479","28","44203","1174","6793","3757","18210","935","6184","48636","5461","6407","2684","36468","1739","985","1854","5177","10528","80249","79303","83026","49242","83971","84725","83856","80533","75182","447","85263","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","90459","43826","26","46607","1237","6896","4426","18191","958","6521","52225","5171","5235","4009","36962","1609","974","4930","4819","11354","85288","85224","86450","53497","88850","89485","85529","85640","79105","358","90101","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","82780","40115","20","42645","1051","6215","3577","19552","883","7843","43649","17411","1748","2711","40930","1544","2503","1182","1676","11120","65369","81032","80069","41850","81236","80277","81598","81104","71660","565","82215","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"2nd Grade","83062","40397","19","42646","999","6294","3453","19789","880","7895","43743","16028","3103","2702","41495","1658","2267","1066","2279","12084","67034","79959","80360","41567","81404","80795","81996","80783","70978","512","82550","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"3rd Grade","85608","41797","17","43794","1065","6382","3624","20911","896","7921","44798","13256","5002","2703","43321","1788","2175","1029","2894","13033","72352","80606","82905","42287","83820","83433","84579","82714","72575","543","85065","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"4th Grade","87457","42829","15","44613","1171","6728","3663","21334","930","8041","45576","11770","5897","2688","44257","1792","2084","1067","3626","13338","75687","81560","84769","43200","85665","85373","86390","83831","74119","529","86928","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"5th Grade","86792","42051","6","44735","1111","6437","3679","21173","976","7850","45551","10030","6386","2694","43086","1843","1991","869","4075","13017","76762","80406","84098","43706","84949","84801","85923","82717","73775","470","86322","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"6th Grade","84235","40871","13","43351","1124","6286","3583","20262","881","7262","44817","8712","7111","2445","41301","1802","1799","880","4169","11897","75523","77124","81790","42934","82433","82436","83355","80066","72338","453","83782","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"7th Grade","82331","39926","8","42397","1080","6471","3459","19331","983","6678","44312","7951","7098","2396","39551","1773","1631","871","4254","11261","74380","75233","79935","42780","80558","80700","81460","78077","71070","526","81805","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"8th Grade","82204","39950","11","42243","1164","6573","3488","18742","900","6410","44912","7208","7012","2302","38320","1788","1405","917","4207","10771","74996","75192","79902","43884","80416","80799","81287","77997","71433","520","81684","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"9th Grade","83434","40645","16","42773","1152","6622","3550","18516","885","6390","46309","6315","6791","2301","37700","1643","1386","1042","4821","10574","77119","76643","81133","45734","81791","82048","82392","78613","72860","524","82910","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"AllGrades","1126371","545059","243","581069","14803","86353","48880","260706","12099","95768","607582","133003","69658","35374","532066","22403","23850","20936","48097","165884","993368","1056713","1090997","594305","1103968","1102521","1105435","1078274","960487","6692","1119672","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Half-day Kindergarten","2054","970","4","1080","13","54","34","333","7","194","1416","121","19","22","747","18","134","24","21","311","1933","2035","2032","1307","2036","1920","2030","2033","1743","0","2047","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Kindergarten","78582","38087","27","40468","983","5957","3208","18661","864","7649","41251","17218","1016","2520","36812","1371","2539","1341","1075","9991","61364","77566","76062","41770","77211","76043","77241","77507","68591","542","78040","2022-04-22T00:00:00.000"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Pre-Kindergarten","29652","12077","15","17560","381","2077","1767","7914","244","2732","14534","127","1","735","14821","363","864","2507","75","16694","29525","29651","28917","14831","29289","28788","27145","29577","12958","277","29375","2022-04-22T00:00:00.000"
"2017-18","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","1st Grade","56","28","0","28","0","0","0","21","0","7","28","14","0","4","45","1","1","1","1","14","42","56","52","11","55","55","55","55","42","0","56","2022-04-22T00:00:00.000"
"2017-18","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","2nd Grade","51","24","0","27","0","0","1","23","0","4","23","14","0","4","40","3","0","3","2","13","37","51","47","11","48","51","48","49","38","0","49","2022-04-22T00:00:00.000"
"2017-18","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","3rd Grade","72","37","0","35","2","0","0","33","0","4","33","16","3","0","56","1","1","0","1","15","56","69","72","16","71","71","72","71","57","0","71","2022-04-22T00:00:00.000"
"2017-18","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","4th Grade","52","23","0","29","3","1","0","26","0","3","19","14","0","6","41","1","2","2","2","11","38","52","46","11","51","50","50","50","41","0","51","2022-04-22T00:00:00.000"
"2017-18","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","5th Grade","59","31","0","28","0","2","0","24","0","3","30","8","1","1","47","1","0","0","6","9","51","58","58","12","58","59","59","53","50","0","57","2022-04-22T00:00:00.000"
"2017-18","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","6th Grade","52","26","0","26","2","0","1","25","0","2","22","8","2","5","37","1","2","1","5","10","44","50","47","15","51","50","51","47","42","0","52","2022-04-22T00:00:00.000"
