"schoolyear","esd","county","districtcode","district","schoolcode","school","subgroup","readingproficiency","readingtargetproficiency","readingmetproficiency","mathproficiency","mathtargetproficiency","mathmetproficiency","readingmetparticipation","mathmetparticipation","otherindicatormet","title_i"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","All","60.1","61.8","Below","54","47","On/Above","On/Above","On/Above","On/Above","true"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","American Indian",,,"N<Required",,,"N<Required","N<Required","N<Required","On/Above","true"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Asian",,,"N<Required",,,"N<Required","N<Required","N<Required","On/Above","true"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Pacific Islander",,,"No Students",,,"No Students","No Students","No Students","On/Above","true"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Black",,,"No Students",,,"No Students","N<Required","N<Required","On/Above","true"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Hispanic","58.5","51.1","On/Above","50","40.1","On/Above","On/Above","On/Above","On/Above","true"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","White","61.2","67.5","Below","57.1","51.7","On/Above","On/Above","On/Above","On/Above","true"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Two or More Races",,"73.8","N<Required",,"52","N<Required","N<Required","N<Required","On/Above","true"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Limited English",,"35.5","N<Required",,"28.7","N<Required","N<Required","N<Required","On/Above","true"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Special Education","40.5","41.9","Below","36.6","32.8","On/Above","On/Above","On/Above","On/Above","true"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","Low Income","55","57.1","Below","55","43.6","On/Above","On/Above","On/Above","On/Above","true"
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","All","60.2","66.7","Below","63.4","64.3","Below","On/Above","On/Above","On/Above",
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","American Indian",,,"No Students",,,"No Students","No Students","No Students","On/Above",
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","Asian",,,"N<Required",,,"N<Required","N<Required","N<Required","On/Above",
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","Pacific Islander",,,"No Students",,,"No Students","No Students","No Students","On/Above",
"2011-12","Educational Service District 113","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","Black",,,"No Students",,,"No Students","No Students","No Students","On/Above",
