"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","foster_care","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_foster_care","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof"
"2012-13","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","80368","39067","0","41301","1323","6062","3851","14454","700","4527","49449","3351","503","1445","35658","1599","0","5722","2754","9044","77017","79865","78923","44710","78769","80368","74646","77614","71324","2020-05-22T00:00:00.000"
"2012-13","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","79627","38757","0","40870","1250","6057","3734","13571","661","4271","50081","2682","427","1592","33090","1539","0","6415","2764","8655","76945","79200","78035","46537","78088","79627","73212","76863","70972","2020-05-22T00:00:00.000"
"2012-13","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","84353","41087","0","43266","1331","6386","4068","14068","633","4220","53644","2565","295","2496","33606","1558","0","8413","2503","9392","81788","84058","81857","50747","82795","84353","75940","81850","74961","2020-05-22T00:00:00.000"
"2012-13","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","79957","38824","0","41133","1029","5194","3486","18544","718","6209","44772","14985","118","1912","42790","1873","0","3838","947","9786","64972","79839","78045","37167","78084","79957","76119","79010","70171","2020-05-22T00:00:00.000"
"2012-13","State","Multiple","State Total",,,"State Total",,,"State Total",,,"2nd Grade","78477","38190","0","40287","1023","5566","3456","17747","815","5550","44318","13008","637","1858","41572","1841","0","3567","1181","10857","65469","77840","76619","36905","76636","78477","74910","77296","67620","2020-05-22T00:00:00.000"
"2012-13","State","Multiple","State Total",,,"State Total",,,"State Total",,,"3rd Grade","78316","38118","0","40198","1090","5770","3497","17169","757","5249","44782","10614","580","1681","40914","1764","0","3407","1571","11672","67702","77736","76635","37402","76552","78316","74909","76745","66644","2020-05-22T00:00:00.000"
"2012-13","State","Multiple","State Total",,,"State Total",,,"State Total",,,"4th Grade","77983","38097","0","39886","1174","5823","3507","16546","778","5086","45064","7784","564","1686","39726","1692","0","3333","1792","12160","70199","77419","76297","38257","76291","77983","74650","76191","65823","2020-05-22T00:00:00.000"
"2012-13","State","Multiple","State Total",,,"State Total",,,"State Total",,,"5th Grade","77020","37608","0","39412","1165","5710","3469","16066","765","4911","44933","6904","474","1634","38415","1717","0","2972","1950","11636","70116","76546","75386","38605","75303","77020","74048","75070","65384","2020-05-22T00:00:00.000"
"2012-13","State","Multiple","State Total",,,"State Total",,,"State Total",,,"6th Grade","78709","38196","0","40513","1213","5699","3529","16316","754","4965","46228","5595","495","1568","39447","1820","0","3004","2180","11139","73114","78214","77141","39262","76889","78709","75705","76529","67570","2020-05-22T00:00:00.000"
"2012-13","State","Multiple","State Total",,,"State Total",,,"State Total",,,"7th Grade","79075","38569","0","40506","1253","5614","3606","15515","802","5011","47269","4757","431","1548","38711","1752","0","3287","2512","10372","74318","78644","77527","40364","77323","79075","75788","76563","68703","2020-05-22T00:00:00.000"
