"schoolyear","esd","countynumber","county","countydistrictnumber","district","buildingnumber","school","schooltypecode","gradespan","totalenrollment","numberamericanindianoral","percentamericanindianora","numberasian","percentasian","numberpacificislander","percentpacificislander","numberasianpacificislander","percentasianpacificislander","numberblack","percentblack","numberhispanic","percenthispanic","numberwhite","percentwhite","numbertwoormoreraces","percenttwoormoreraces","numbermales","percentmales","numberfemales","percentfemales","numbermigrant","percentmigrant","numbertransitionalbilingual","percenttransitionalbilingual","numberspecialeducation","percentspecialeducation","numberfreeorreducedpricedmeals","percentfreeorreducedpric","numbersection504","percentsection504","numberfostercare","percentfostercare","studentsperclassroomteacher","avgyearseducationalexperience","numberteacherswithatleas","percentteacherswithatlea"
"2013-14","Educational Service District 113","14","Grays Harbor","14005","Aberdeen School District","2834","A J West Elementary","P","PK-6","400","15","3.75","10","2.5","0","0","10","2.5","4","1","166","41.5","190","47.5","15","3.75","207","51.75","193","48.25","7","1.75","67","16.79","68","17.04","339","84.96","2","0.5","N<10",,"14","14.3","22","78.57"
"2013-14","Educational Service District 113","14","Grays Harbor","14005","Aberdeen School District","3216","Central Park Elementary","P","K-6","176","6","3.41","6","3.41","1","0.57","7","3.98","1","0.57","25","14.2","121","68.75","16","9.09","82","46.59","94","53.41","0","0","8","4.44","26","14.44","87","48.33","0","0","N<10",,"14","19.9","11","84.62"
"2013-14","Educational Service District 113","14","Grays Harbor","14005","Aberdeen School District","3857","Harbor High School","P","9-12","121","6","4.96","0","0","0","0","0","0","1","0.83","23","19.01","84","69.42","7","5.79","67","55.37","54","44.63","2","1.64","1","0.82","17","13.93","96","78.69","3","2.46","N<10",,"13","14.5","5","55.56"
"2013-14","Educational Service District 113","14","Grays Harbor","14005","Aberdeen School District","3154","Hopkins Elementary","P","PK-PK","31","0","0","0","0","0","0","0","0","1","3.23","8","25.81","17","54.84","5","16.13","20","64.52","11","35.48","0","0","0","0","45","100","35","77.78","0","0","N<10",,"5","21.7","6","100"
"2013-14","Educational Service District 113","14","Grays Harbor","14005","Aberdeen School District","3476","J M Weatherwax High School","P","9-12","914","31","3.39","34","3.72","8","0.88","42","4.6","15","1.64","214","23.41","587","64.22","25","2.74","475","51.97","439","48.03","25","2.94","33","3.89","108","12.72","468","55.12","17","2","N<10",,"18","14.7","27","54"
"2013-14","Educational Service District 113","14","Grays Harbor","14005","Aberdeen School District","2449","McDermoth Elementary","P","K-6","382","18","4.71","8","2.09","0","0","8","2.09","2","0.52","108","28.27","223","58.38","23","6.02","186","48.69","196","51.31","21","5.59","54","14.36","52","13.83","221","58.78","1","0.27","N<10",,"16","14.7","14","58.33"
"2013-14","Educational Service District 113","14","Grays Harbor","14005","Aberdeen School District","2305","Miller Junior High","P","7-8","461","20","4.34","14","3.04","1","0.22","15","3.25","5","1.08","136","29.5","272","59","13","2.82","242","52.49","219","47.51","20","4.4","32","7.03","64","14.07","298","65.49","10","2.2","N<10",,"17","15.3","19","70.37"
"2013-14","Educational Service District 113","14","Grays Harbor","14005","Aberdeen School District","2763","Robert Gray Elementary","P","PK-6","284","8","2.82","3","1.06","1","0.35","4","1.41","4","1.41","87","30.63","166","58.45","15","5.28","129","45.42","155","54.58","13","4.47","32","11","38","13.06","237","81.44","2","0.69","N<10",,"14","15.6","17","80.95"
"2013-14","Educational Service District 113","14","Grays Harbor","14005","Aberdeen School District","2971","Stevens Elementary School","P","PK-6","482","34","7.05","14","2.9","1","0.21","15","3.11","10","2.07","153","31.74","244","50.62","26","5.39","248","51.45","234","48.55","8","1.67","88","18.33","85","17.71","414","86.25","0","0","10","2.08","15","15.3","20","62.5"
"2013-14","Educational Service District 113","21","Lewis","21226","Adna School District","2227","Adna Elementary School","P","PK-5","232","0","0","3","1.29","0","0","3","1.29","0","0","13","5.6","214","92.24","2","0.86","120","51.72","112","48.28","0","0","3","1.2","26","10.36","80","31.87","0","0","N<10",,"15","14.9","9","60"
"2013-14","Educational Service District 113","21","Lewis","21226","Adna School District","2441","Adna Middle/High School","P","6-12","358","2","0.56","2","0.56","0","0","2","0.56","2","0.56","20","5.59","319","89.11","13","3.63","196","54.75","162","45.25","0","0","0","0","25","7.06","77","21.75","13","3.67","N<10",,"19","18.5","17","89.47"
"2013-14","Educational Service District 101","22","Lincoln","22017","Almira School District","2860","Almira Elementary School","5","K-8","93","0","0","0","0","0","0","0","0","1","1.08","5","5.38","84","90.32","3","3.23","51","54.84","42","45.16","0","0","0","0","10","10.1","38","38.38","0","0","N<10",,"8","19.2","9","81.82"
"2013-14","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","2467","Anacortes High School","P","9-12","851","17","2","21","2.47","1","0.12","22","2.59","13","1.53","67","7.87","725","85.19","7","0.82","438","51.47","413","48.53","3","0.37","2","0.25","44","5.46","222","27.54","80","9.93","N<10",,"20","18","31","72.09"
"2013-14","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","2707","Anacortes Middle School","P","7-8","391","3","0.77","18","4.6","0","0","18","4.6","4","1.02","27","6.91","331","84.65","8","2.05","203","51.92","188","48.08","2","0.52","3","0.78","36","9.3","128","33.07","37","9.56","N<10",,"21","16.9","17","89.47"
"2013-14","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","5176","Cap Sante High School","A","9-12","35","0","0","0","0","0","0","0","0","0","0","7","20","28","80","0","0","18","51.43","17","48.57","1","1.85","1","1.85","2","3.7","29","53.70","7","12.96","N<10",,"18","19.1","1","50"
"2013-14","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","3182","Fidalgo Elementary","P","K-6","436","3","0.69","21","4.82","2","0.46","23","5.28","13","2.98","37","8.49","355","81.42","5","1.15","230","52.75","206","47.25","4","0.93","17","3.94","53","12.27","139","32.18","20","4.63","N<10",,"19","13.9","18","78.26"
"2013-14","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","3252","Island View Elementary","P","K-6","449","3","0.67","14","3.12","0","0","14","3.12","8","1.78","40","8.91","379","84.41","5","1.11","230","51.22","219","48.78","2","0.46","15","3.42","57","12.98","174","39.64","30","6.83","N<10",,"17","14.8","17","62.96"
"2013-14","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","3057","Mount Erie Elementary","P","K-6","452","3","0.66","11","2.43","0","0","11","2.43","9","1.99","46","10.18","371","82.08","12","2.65","231","51.11","221","48.89","1","0.22","17","3.74","48","10.55","129","28.35","34","7.47","N<10",,"20","13.9","20","86.96"
"2013-14","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","3404","Whitney Elementary Anacortes","P","PK-K","127","1","0.79","4","3.15","0","0","4","3.15","0","0","6","4.72","113","88.98","3","2.36","71","55.91","56","44.09","0","0","1","0.71","50","35.71","33","23.57","9","6.43","N<10",,"16","13.3","8","100"
"2013-14","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","2523","Arlington High School","P","9-12","1621","22","1.36","29","1.79","19","1.17","48","2.96","20","1.23","159","9.81","1305","80.51","67","4.13","841","51.88","780","48.12","8","0.51","19","1.2","131","8.31","416","26.38","27","1.71","N<10",,"21","15.1","65","85.53"
"2013-14","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","2277","Arlington Special Educ School","P","PK-12","30","2","6.67","0","0","0","0","0","0","0","0","5","16.67","22","73.33","1","3.33","17","56.67","13","43.33","0","0","0","0","32","96.97","4","12.12","0","0","N<10",,,"0","0",
"2013-14","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","4327","Eagle Creek Elementary","P","K-5","522","4","0.77","2","0.38","0","0","2","0.38","3","0.57","101","19.35","389","74.52","23","4.41","279","53.45","243","46.55","25","4.61","72","13.28","68","12.55","259","47.79","4","0.74","10","1.85","16","11","22","66.67"
"2013-14","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","5010","Haller Middle School","P","6-8","660","9","1.36","14","2.12","3","0.45","17","2.58","13","1.97","85","12.88","516","78.18","20","3.03","324","49.09","336","50.91","11","1.66","17","2.57","63","9.52","193","29.15","12","1.81","N<10",,"21","13.3","23","71.88"
"2013-14","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","4436","Kent Prairie Elementary","P","K-5","588","4","0.68","14","2.38","2","0.34","16","2.72","8","1.36","58","9.86","464","78.91","38","6.46","305","51.87","283","48.13","2","0.34","21","3.53","62","10.42","240","40.34","4","0.67","N<10",,"19","13.8","16","51.61"
"2013-14","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","4573","Pioneer Elementary","P","K-5","590","0","0","15","2.54","4","0.68","19","3.22","11","1.86","65","11.02","462","78.31","33","5.59","289","48.98","301","51.02","2","0.33","28","4.63","62","10.25","158","26.12","8","1.32","N<10",,"19","13.1","23","74.19"
"2013-14","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","3124","Post Middle School","P","6-8","582","7","1.2","7","1.2","0","0","7","1.2","5","0.86","53","9.11","499","85.74","11","1.89","310","53.26","272","46.74","3","0.52","14","2.44","54","9.42","204","35.60","12","2.09","N<10",,"18","14.7","27","81.82"
"2013-14","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","4154","Presidents Elementary","P","PK-5","565","6","1.06","1","0.18","1","0.18","2","0.35","3","0.53","69","12.21","440","77.88","45","7.96","321","56.81","244","43.19","4","0.7","24","4.23","87","15.32","225","39.61","2","0.35","N<10",,"18","13.9","18","58.06"
"2013-14","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","1714","Stillaguamish School","A","K-12","165","0","0","3","1.82","0","0","3","1.82","2","1.21","13","7.88","144","87.27","3","1.82","84","50.91","81","49.09","0","0","0","0","6","3.43","39","22.29","1","0.57","N<10",,"28","11.1","2","33.33"
"2013-14","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","4287","Weston High School","A","9-12","127","1","0.79","0","0","0","0","0","0","0","0","15","11.81","99","77.95","12","9.45","76","59.84","51","40.16","0","0","2","1.37","37","25.34","75","51.37","2","1.37","N<10",,"11","7","9","75"
