"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","male","gender_x","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","highly_capable","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_highly_capable","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof","fostercare","non_fostercare"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","84871","40794","43600","477","1063","6894","3827","21364","1044","7367","43311","7806","5900","2137","38509","1880","1774","1538","5698","10565","77065","78971","82734","46362","82991","83097","83333","79173","74306","2022-04-22T00:00:00.000","316","84555"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","83602","40204","43073","325","1084","6996","3665","20321","1071","6872","43593","7930","5804","2066","36941","1875","1455","1222","5755","10497","75672","77798","81536","46661","81727","82147","82380","77847","73105","2022-04-22T00:00:00.000","379","83223"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","84174","40869","43121","184","1068","7045","3621","19673","948","6716","45086","7649","5832","2175","36928","1926","1645","1312","5458","10300","76525","78342","81999","47246","82248","82529","82862","78716","73874","2022-04-22T00:00:00.000","446","83728"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","83121","40474","42517","130","1080","6742","3577","18674","927","6468","45648","6656","6713","2262","36391","1643","1475","1331","5358","10339","76465","76408","80859","46730","81478","81646","81790","77763","72782","2022-04-22T00:00:00.000","508","82613"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","82011","40039","41954","18","1098","6568","3612","17787","877","6198","45853","6224","6832","2462","36295","1672","1113","1357","4929","9911","75787","75179","79549","45716","80339","80898","80654","77082","72100","2022-04-22T00:00:00.000","426","81585"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","83110","40216","42879","15","1170","6549","3605","17682","899","5941","47250","4943","4109","2222","36579","1751","805","1305","4484","10003","78167","79001","80888","46531","81359","82305","81805","78626","73107","2022-04-22T00:00:00.000","499","82611"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","82183","40002","42174","7","1158","6190","3708","16383","877","5745","48113","4384","3860","2063","36504","1653","0","1381","4078","9703","77799","78323","80120","45679","80530","82183","80802","78105","72480","2022-04-22T00:00:00.000","427","81756"
"2014-15","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","80862","39274","41578","10","1221","5819","3715","15800","705","5547","48055","3779","3301","1849","37256","1569","0","1542","3618","9685","77083","77561","79013","43606","79293","80862","79320","77244","71177","2022-04-22T00:00:00.000","484","80378"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","83110","40030","42624","456","1001","7042","3701","20311","1071","6839","43145","7710","5141","2281","36322","1768","1498","1865","5467","9997","75400","77969","80829","46788","81342","81612","81245","77643","73113","2022-04-22T00:00:00.000","307","82803"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","85596","41438","43600","558","1157","7250","3817","19949","1009","6857","45554","7392","5987","2201","36118","1921","1479","1433","5867","10676","78204","79609","83395","49478","83675","84117","84163","79729","74920","2022-04-22T00:00:00.000","385","85211"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","84801","41183","43346","272","1078","7002","3629","18983","955","6635","46509","6569","5631","2381","35509","1672","1542","1624","5427","10523","78232","79170","82420","49292","83129","83259","83177","79374","74278","2022-04-22T00:00:00.000","461","84340"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","83970","40870","42936","164","1125","6783","3736","18066","921","6524","46806","6283","6715","2661","35850","1700","1332","1727","5397","10287","77687","77255","81309","48120","82270","82638","82243","78573","73683","2022-04-22T00:00:00.000","416","83554"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","85710","41479","44203","28","1174","6793","3757","18210","935","6184","48636","5461","6407","2684","36468","1739","985","1854","5177","10528","80249","79303","83026","49242","83971","84725","83856","80533","75182","2022-04-22T00:00:00.000","447","85263"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","84908","41225","43662","21","1172","6463","3809","17017","907","6004","49507","4888","3866","2481","35947","1620","717","1702","4699","10031","80020","81042","82427","48961","83288","84191","83206","80209","74877","2022-04-22T00:00:00.000","393","84515"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","82957","40191","42756","10","1202","6061","3777","16170","756","5745","49241","3626","3534","2385","35796","1515","0","1899","4047","9868","79331","79423","80572","47161","81442","82957","81058","78910","73089","2022-04-22T00:00:00.000","411","82546"
"2014-15","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","82733","40168","42561","4","1277","6164","3733","15409","741","5352","50056","3127","3152","2095","36109","1579","0","1973","3579","9502","79606","79581","80638","46624","81154","82733","80760","79154","73231","2022-04-22T00:00:00.000","448","82285"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","91763","44033","47001","729","1202","7692","4465","22073","1164","7329","47836","8147","5254","3271","39931","1963","1511","4316","5723","13149","83616","86509","88492","51832","89800","90252","87447","86040","78614","2022-04-22T00:00:00.000","370","91393"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","89330","43257","45715","358","1244","7297","4158","20323","1063","6886","48358","6672","5052","3127","36358","1755","1352","3633","5640","12130","82658","84278","86203","52972","87575","87978","85697","83690","77200","2022-04-22T00:00:00.000","440","88890"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","89406","43469","45715","222","1223","7214","4278","19596","981","6793","49321","6158","4640","3610","36790","1786","1362","4544","5183","11606","83248","84766","85796","52616","87620","88044","84862","84223","77800","2022-04-22T00:00:00.000","400","89006"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","90279","43582","46517","180","1196","7147","4282","19116","988","6629","50917","5547","5796","3847","37070","1752","1095","4811","5357","11730","84732","84483","86432","53209","88527","89184","85468","84922","78549","2022-04-22T00:00:00.000","429","89850"
"2017-18","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","90459","43826","46607","26","1237","6896","4426","18191","958","6521","52225","5171","5235","4009","36962","1609","974","4930","4819","11354","85288","85224","86450","53497","88850","89485","85529","85640","79105","2022-04-22T00:00:00.000","358","90101"
"2016-17","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","88612","42840","45758","14","1274","6454","4336","17464","845","6150","51957","4126","3517","3848","36766","1553","623","4865","4176","11246","84486","85095","84764","51846","87059","87989","83747","84436","77366","2022-04-22T00:00:00.000","390","88222"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","87941","42549","45385","7","1337","6567","4320","16812","799","5577","52522","3233","3291","3428","36788","1619","0","5295","3758","10676","84708","84650","84513","51153","86322","87941","82646","84183","77265","2022-04-22T00:00:00.000","388","87553"
"2014-15","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","86017","41575","44435","7","1362","6546","4219","15580","780","5269","52256","2979","2809","3246","37041","1589","0","5110","3292","10392","83038","83208","82771","48976","84428","86017","80907","82725","75625","2022-04-22T00:00:00.000","390","85627"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","74957","36471","38395","91","912","6721","3533","18878","1073","7348","36489","14918","1482","2074","34275","1365","2759","1215","799","10175","60039","73475","72883","40682","73592","72198","73742","74158","64782","2022-04-22T00:00:00.000","336","74621"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","78133","37742","40338","53","999","6774","3616","19186","1022","7789","38747","16320","1405","2207","36786","1469","2724","1779","1285","10964","61813","76728","75926","41347","76664","75409","76354","76848","67169","2022-04-22T00:00:00.000","393","77740"
"2019-20","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","83166","40410","42725","31","1028","6814","3610","19370","1007","8227","43106","17023","1760","2478","39319","1473","2981","1030","1357","11286","66143","81406","80688","43847","81693","80185","82136","81809","71880","2022-04-22T00:00:00.000","622","82544"
