"count_of_new_credential","year","month","month_name","issue_date","card_type_issued","county_of_residence","state_of_origin","country_of_origin","iso_2_alpha_code","iso_3_alpha_code","iso_numeric_code","irs_country_code","geocoded_column"
"1","2022","6","June","2022-06-01T00:00:00.000","Driver License","Snohomish","Utah","USA","US","USA","840","US","POINT (-111.093731 39.32098)"
"1","2022","3","March","2022-03-01T00:00:00.000","ID Card","Thurston","Not Applicable","Guam","GU","GUM","316","GQ","POINT (144.793731 13.444304)"
"1","2019","9","September","2019-09-01T00:00:00.000","Driver License","Spokane","Arizona","USA","US","USA","840","US","POINT (-111.093731 34.048928)"
"1","2021","3","March","2021-03-01T00:00:00.000","Driver License","Skamania","Arizona","USA","US","USA","840","US","POINT (-111.093731 34.048928)"
"1","2020","12","December","2020-12-01T00:00:00.000","Driver License","Pierce","Arizona","USA","US","USA","840","US","POINT (-111.093731 34.048928)"
"1","2021","12","December","2021-12-01T00:00:00.000","Driver License","King","Not Applicable","Guam","GU","GUM","316","GQ","POINT (144.793731 13.444304)"
"1","2021","4","April","2021-04-01T00:00:00.000","Driver License","King","Arizona","USA","US","USA","840","US","POINT (-111.093731 34.048928)"
"1","2021","12","December","2021-12-01T00:00:00.000","Driver License","Island","Arizona","USA","US","USA","840","US","POINT (-111.093731 34.048928)"
"1","2019","8","August","2019-08-01T00:00:00.000","Driver License","Pierce","Utah","USA","US","USA","840","US","POINT (-111.093731 39.32098)"
"1","2020","1","January","2020-01-01T00:00:00.000","Driver License","Franklin","Arizona","USA","US","USA","840","US","POINT (-111.093731 34.048928)"
"1","2021","2","February","2021-02-01T00:00:00.000","Driver License","Island","Arizona","USA","US","USA","840","US","POINT (-111.093731 34.048928)"
"1","2021","5","May","2021-05-01T00:00:00.000","ID Card","Snohomish","Arizona","USA","US","USA","840","US","POINT (-111.093731 34.048928)"
"1","2022","1","January","2022-01-01T00:00:00.000","Driver License","Whatcom","New Hampshire","USA","US","USA","840","US","POINT (-71.572395 43.193852)"
