"totalcheckouts","title","callnumber","author","publisher","copyrightdate","lastcheckoutdate","itemtype","itemcode","daterange"
"125","Us Weekly","Periodical 2019 Feb 18",,"Us Magazine Co.","1985",,"PERIODICAL","PERIODICAL","Feb2019-Aug2019"
"90","Game of thrones","DVD TV Series  Gam  Sn. 7  Discs 4 + bonus",,,,"2019-07-23T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"86","Game of thrones","DVD TV Series  Gam  Sn. 1  Disc 4 and 5",,"HBO Home Entertainment","2012","2019-08-07T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"81","Sprint R850 mobile hotspot","Mobile hotspot 7",,,"2018","2019-07-29T00:00:00.000","EQUIP","EQUIPMENT","Feb2019-Aug2019"
"71","Educated","270.092 Wes","Tara Westover",,,"2019-07-30T00:00:00.000","NEWBOOK","200_299","Feb2019-Aug2019"
"71","The New Yorker","Periodical 2019 Mar 04",,"F-R Pub. Corp.","1925",,"PERIODICAL","PERIODICAL","Feb2019-Aug2019"
"55","ZTE Warp Connect mobile hotspot","Mobile hotspot 1",,"ZTE Corporation","2017","2019-07-29T00:00:00.000","EQUIP","EQUIPMENT","Feb2019-Aug2019"
"55","Consumer reports","Periodical 2018 Nov",,"Consumers Union",,"2019-04-15T00:00:00.000","PERIODICAL","PERIODICAL","Feb2019-Aug2019"
"48","Wolf pack","Fic Box","C. J Box",,,"2019-08-03T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"46","The house of broken angels","Fic Urr","Luis Alberto Urrea",,,"2019-07-17T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"45","Look alive twenty-five","LD Eva","Janet Evanovich",,,"2019-08-02T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"45","Past tense","LD Chi","Lee Child",,,"2019-07-29T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"44","Connections in death","Fic Rob","J. D. Robb",,,"2019-07-22T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"42","Scooby-Doo where are you?","DVD TV Series Sco",,"Warner Home Video","2018","2019-06-17T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"42","Bones Season 10","DVD TV Series Bon  Sn. 10  disc 4  5  6",,,,"2019-08-06T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"41","Game of thrones","DVD TV Series  Gam  Sn. 6  Discs 1  2 and 3",,,,"2019-07-24T00:00:00.000","DVD",,"Feb2019-Aug2019"
"40","Where the crawdads sing","LD Owe","Delia Owens",,,"2019-07-27T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"40","The lost man","Fic Har","Jane Harper",,,"2019-07-03T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
