"artwork_city","artwork_site","artist","title","artwork_type","materials","measurements","date_made","location","address","zip_code","see_more_at","id_number","geocoordinates","credit_info"
"Bremerton","Olympic College","Welman, Val","""Energizing #18""","Painting","Oil paint on Masonite board",,"Date unknown","Building 8, hallway","1600 Chester Ave.","98337","http://www.arts.wa.gov/artwork/?request=record;id=4849;type=101","WSAC1981.035.000","POINT (-122.63544 47.575234)","Part of Washington's State Art Collection, acquired by ArtsWA and Olympic College - Bremerton"
"Creston","Creston School","Santucci, Selene","""Some Kind of Memory""","Painting","Oil paint on canvas","5 ft 5 in x 5 ft","1983","Counseling Room","485 SE E Street","99117","http://www.arts.wa.gov/artwork/?request=record;id=3075;type=101","WSAC1987.051.000","POINT (-118.520033 47.755003)","Part of Washington's State Art Collection, acquired by ArtsWA and Creston School District"
"Marysville","Allen Creek Elementary","Jones, Roger","""Hall's Creek""","Painting","Acrylic paint on canvas","4 ft 6 in x 4 ft","1992","Library","6505 60th Dr. NE","98270","http://www.arts.wa.gov/artwork/?request=record;id=2182;type=101","WSAC1994.133.000","POINT (-122.148748 48.054884)","Part of Washington's State Art Collection, acquired by ArtsWA and Marysville School District"
"Kenmore","Inglemoor High School","Anderson, Tom","""Time Piece""","Painting","Copper on wood","48 1/2 in x 48 1/2 in","1993","Library","15500 Simonds Rd NE","98028","http://www.arts.wa.gov/artwork/?request=record;id=2379;type=101","WSAC1995.177.000","POINT (-122.221577 47.740784)","Part of Washington's State Art Collection, acquired by ArtsWA and Northshore School District"
"Tacoma","Blix Elementary School","Byerrum, Anne","""Friend's Pathway""","Print","Linoleum print","18 in x 12 in","2001","Main office","1302 E 38th Street","98404","http://www.arts.wa.gov/artwork/?request=record;id=11455;type=101","WSAC2002.223.000","POINT (-122.412904 47.222172)","Part of Washington's State Art Collection, acquired by ArtsWA and Tacoma School District"
"Lacey","Department of Ecology","Arreguin, Alfredo","""Veracruz""","Painting","Oil paint on canvas","5 ft x 4 ft","1992","Dining Room","300 Desmond Dr. SE","98503","http://www.arts.wa.gov/artwork/?request=record;id=2756;type=101","WSAC1995.448.000","POINT (-122.806749 47.047408)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Ecology"
"Marysville","Lakewood Middle School","Gardner, Steve","""Harvest""","Drawing","Pastel on Masonite board","18 in x 14 in","2000","400 Building","16800 16th Dr. NE","98271","http://www.arts.wa.gov/artwork/?request=record;id=11319;type=101","WSAC2002.098.000","POINT (-122.20875 48.148904)","Part of Washington's State Art Collection, acquired by ArtsWA and Lakewood School District"
"Yakima","Cottonwood Elementary","Xiong, Gu","""Cafeteria #2""","Print","Silkscreen print on paper","17 in x 22 1/4 in","1993","Lunchroom","1041 S 96th AVE","98908","http://www.arts.wa.gov/artwork/?request=record;id=2306;type=101","WSAC1995.093.000","POINT (-120.635087 46.586753)","Part of Washington's State Art Collection, acquired by ArtsWA and West Valley School District"
"Tulalip","Quil Ceda Elementary","Sogabe, Aki","""Sound Waves""","Print","Cut paper","24 in x 20 in x 1 in","1998","Library","2415 74th Street NE","98271","http://www.arts.wa.gov/artwork/?request=record;id=3375;type=101","WSAC1998.059.000","POINT (-122.198561 48.063892)","Part of Washington's State Art Collection, acquired by ArtsWA and Marysville School District"
"Tacoma","Stanley Elementary","Snyder, Dan","""Zuzu's Paradise""","Sculpture","Polyurethane paint on MDF","Dimensions variable","1989","Outside Room C-21","1712 South 17th St.","98405","http://www.arts.wa.gov/artwork/?request=record;id=11624;type=101","WSAC1988.039.003","POINT (-122.459981 47.244643)","Part of Washington's State Art Collection, acquired by ArtsWA and Tacoma School District"
