"_9298","_2019_20","state","_103300","washington_state","multiple","northwest_educational_service","_100009","_31016","arlington_school_district","_100014","_4327","eagle_creek_elementary","_102568","p","latitude","longitude","physicaladdress","mailingaddress","_2","two_way","_243","spanish","_80_20","kindergarten","_3","https_eaglecreek_asd_wednet","_1","districtcountdlschools","districtcountdlprograms","_2020_09_22_09_07_19_770"
"9498","2019-20","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17401","Highline School District","100105","2639","White Center Heights Elementary","101260","P","47.513194","-122.34427","10015 6th Ave SW, Seattle, Washington, 98168-1472","10015 6th Avenue Southwest, Seattle, Washington, 98146","2","Two-way","280","Vietnamese","50-50","Kindergarten","5","https://wch.highlineschools.org/","1","10","12","1/27/2021"
"9499","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","3017","Kennewick School District","100116","4418","Amistad Elementary School","100381","P","46.20759","-119.130979","123 S Kent St, KENNEWICK, Washington, 99336-6061","123 S Kent St, KENNEWICK, Washington, 99336-6061","1","One-way","243","Spanish","80-20","Kindergarten","5","https://amistad.ksd.org/Programs/Bilingual-Program","1","5","5","1/27/2021"
"9500","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","3017","Kennewick School District","100116","2824","Eastgate Elementary School","100361","P","46.197761","-119.103452","910 EAST 10TH AVENUE, KENNEWICK, Washington, 99336-5926","910 EAST 10TH AVENUE, KENNEWICK, Washington, 99336-5926","1","One-way","243","Spanish","80-20","Kindergarten","5","https://eastgate.ksd.org/Programs/Bilingual-Program","1","5","5","1/27/2021"
"9501","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","3017","Kennewick School District","100116","5521","Fuerza Elementary","106152","P","46.19762635","-119.2045921","6011 W 10th Pl, Kennewick, Washington, 99338","6011 W 10th Pl, Kennewick, Washington, 99338","2","Two-way","243","Spanish","50-50","Kindergarten","6","http://fuerza.ksd.org/","1","5","5","1/27/2021"
"9502","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","3017","Kennewick School District","100116","3267","Highlands Middle School","100366","P","46.205338","-119.177401","425 SOUTH TWEEDT STREET, KENNEWICK, Washington, 99336-4399","425 SOUTH TWEEDT STREET, KENNEWICK, Washington, 99336-4399","2","Two-way","243","Spanish","50-50","6","8","http://highlands.ksd.org/","1","5","5","1/27/2021"
"9503","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","3017","Kennewick School District","100116","3472","Park Middle School","100369","P","46.197693","-119.131871","1011 WEST 10TH AVENUE, KENNEWICK, Washington, 99336-6097","1011 WEST 10TH AVENUE, KENNEWICK, Washington, 99336-6097","2","Two-way","243","Spanish","50-50","Kindergarten","8","https://park.ksd.org/","1","5","5","1/27/2021"
"9504","2019-20","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17415","Kent School District","100117","4353","Carriage Crest Elementary School","101606","P","47.438125","-122.156557","18235 140th Ave SE, Renton, Washington, 98058-6816","18235 140th Ave SE, Renton, Washington, 98058-6816","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.kent.k12.wa.us/duallanguage","1","5","6","1/27/2021"
"9505","2019-20","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17415","Kent School District","100117","4520","Kent Elementary School","101616","P","47.380075","-122.25157","24700 64th Ave S, Kent, Washington, 98032-6169","24700 64th Ave S, Kent, Washington, 98032-6169","2","Two-way","243","Spanish","50-50","Kindergarten","Kindergarten","http://www.kent.k12.wa.us/duallanguage","1","5","6","1/27/2021"
"9506","2019-20","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17415","Kent School District","100117","4520","Kent Elementary School","101616","P","47.380075","-122.25157","24700 64th Ave S, Kent, Washington, 98032-6169","24700 64th Ave S, Kent, Washington, 98032-6169","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.kent.k12.wa.us/duallanguage","1","5","6","1/27/2021"
"9507","2019-20","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17415","Kent School District","100117","5016","Mill Creek Middle School","104031","P","47.385509","-122.230323","620 Central Ave N, Kent, Washington, 98032-4511","620 Central Ave N, Kent, Washington, 98032-4511","2","Two-way","243","Spanish","50-50","6","8","https://www.kent.k12.wa.us/mc","1","5","6","1/27/2021"
"9508","2019-20","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17415","Kent School District","100117","4356","Neely O Brien Elementary School","101607","P","47.391552","-122.256599","6300 S 236th ST, Kent, Washington, 98032-2690","6300 S 236th ST, Kent, Washington, 98032-2690","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.kent.k12.wa.us/duallanguage","1","5","6","1/27/2021"
"9509","2019-20","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17415","Kent School District","100117","3389","Scenic Hill Elementary School","101580","P","47.368498","-122.211228","26025 Woodland Way S, Kent, Washington, 98030-6363","26025 Woodland Way S, Kent, Washington, 98030-6363","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.kent.k12.wa.us/duallanguage","1","5","6","1/27/2021"
"9510","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","3052","Kiona-Benton City School District","100119","2759","Kiona-Benton City Primary School","100388","P","46.270055","-119.489666","913 Horne Drive, Benton City, Washington, 99320-9705","1105 Dae Avenue, Benton City, Washington, 99320","2","Two-way","243","Spanish","80-20","Kindergarten","2","https://www.kibesd.org/Domain/118","1","1","1","1/27/2021"
"9511","2019-20","State","103300","Washington State","Multiple","NULL","NULL","37903","Lummi Tribal Agency","105800","5373","Lummi Nation School","105805","Q","48.72867904","-122.6543724","2334 Lummi View Drive, Bellingham, Washington, 98226","2334 Lummi View Drive, Bellingham, Washington, 98226","1","One-way","NULL","Lummi","Unknown","Kindergarten","12","http://www.lummi-k12.org/index.php","1","1","1","1/27/2021"
"9512","2019-20","State","103300","Washington State","Multiple","Educational Service District 105","100002","39120","Mabton School District","100137","3070","Artz Fox Elementary","103225","P","46.215326","-119.990285","805 Washington Street, Mabton, Washington, 98935-0040","PO Box 40, Mabton, Washington, 98935-0040","2","Two-way","243","Spanish","80-20","Kindergarten","5","http://www.mabton.wednet.edu/Domain/77","1","1","1","1/27/2021"
"9513","2019-20","State","103300","Washington State","Multiple","Northwest Educational Service District 189","100009","31103","Monroe School District","100150","3060","Frank Wagner Elementary","102607","P","47.854047","-121.981307","115 Dickinson Rd., Monroe, Washington, 98272-2126","115 Dickinson Rd., Monroe, Washington, 98272-2126","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.monroe.wednet.edu/pages/schools/fwe.html","1","1","1","1/27/2021"
"9514","2019-20","State","103300","Washington State","Multiple","Northwest Educational Service District 189","100009","29320","Mount Vernon School District","100158","3821","La Venture Middle School","102411","P","48.431005","-122.312169","1200 LaVenture Rd, Mount Vernon, Washington, 98273-2762","1200 LaVenture Rd, Mount Vernon, Washington, 98273-2762","2","Two-way","243","Spanish","50-50","6","8","http://laventure.mountvernonschools.org/pages/LaVenture_Middle","1","2","2","1/27/2021"
"9515","2019-20","State","103300","Washington State","Multiple","Northwest Educational Service District 189","100009","29320","Mount Vernon School District","100158","3001","Madison Elementary","102408","P","48.429069","-122.32867","400 53rd St, Mount Vernon, Washington, 98273-2971","400 53rd St, Mount Vernon, Washington, 98273-2971","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://madison.mountvernonschools.org/pages/MtVernon_MadisonES","1","2","2","1/27/2021"
"9516","2019-20","State","103300","Washington State","Multiple","NULL","NULL","17903","Muckleshoot Indian Tribe","105771","1986","Muckleshoot Tribal School","103974","Q","47.26396403","-122.1366476","15209 SE 376TH ST, Auburn, Washington, 98092","39015 172nd Avenue Southeast, Auburn, Washington, 98092","1","One-way","182","Muckleshoot","Unknown","Kindergarten","12","http://www.muckleshoottribalschool.org/","1","1","1","1/27/2021"
"9517","2019-20","State","103300","Washington State","Multiple","Olympic Educational Service District 114","100005","18400","North Kitsap School District","100169","2476","Poulsbo Middle School","101703","P","47.73295","-122.622352","2003 NE Hostmark St, Poulsbo, Washington, 98370-7639","2003 NE Hostmark St, Poulsbo, Washington, 98370-7639","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://poulsboelementary.nkschools.org/","1","2","2","1/27/2021"
"9518","2019-20","State","103300","Washington State","Multiple","Olympic Educational Service District 114","100005","18400","North Kitsap School District","100169","4461","Vinland Elementary","101712","P","47.763843","-122.674288","22104 Rhododendron Ln NW, Poulsbo, Washington, 98370-9406","22104 Rhododendron Ln NW, Poulsbo, Washington, 98370-9406","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://vinland.nkschools.org/","1","2","2","1/27/2021"
"9519","2019-20","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17417","Northshore School District","100174","3749","Woodin Elementary","101642","P","47.768252","-122.16759","12950 NE 195 ST, Bothell, Washington, 98011-2537","12950 NE 195 ST, Bothell, Washington, 98011-2537","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.nsd.org/Page/7559","1","1","1","1/27/2021"
"9520","2019-20","State","103300","Washington State","Multiple","NULL","NULL","24019","Omak School District","100183","4278","Paschal Sherman","101946","T","48.3710985","-119.4473735","25 A MISSION ROAD, OMAK, Washington, 98841-0000","25 A MISSION ROAD, OMAK, Washington, 98841-0000","1","One-way","NULL","Colville","Unknown","Kindergarten","8","http://www.psischiefs.org/language","1","1","1","1/27/2021"
"9521","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","1147","Othello School District","100192","2902","Lutacaga Elementary","100331","P","46.817917","-119.164046","795 S 7th Ave, Othello, Washington, 99344-1463","795 S 7th Ave, Othello, Washington, 99344-1463","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.othelloschools.org/lutacaga/","1","1","1","1/27/2021"
"9522","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","11001","Pasco School District","100195","5391","Barbara McClintock STEM Elementary","105897","P","46.279278","-119.169759","5706 Road 60, Pasco, Washington, 99301","5706 Road 60, Pasco, Washington, 99301","2","Two-way","243","Spanish","80-20","Kindergarten","3","https://www.psd1.org/Page/6378","1","6","6","1/27/2021"
"9523","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","11001","Pasco School District","100195","5392","Captain Gray STEM Elementary","105898","P","46.240149","-119.103663","1102 N 10th Ave, Pasco, Washington, 99301","1102 N 10th Ave, Pasco, Washington, 99301","2","Two-way","243","Spanish","80-20","Kindergarten","6","https://www.psd1.org/gray","1","6","6","1/27/2021"
"9524","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","11001","Pasco School District","100195","3085","Mark Twain Elementary","100764","P","46.24411","-119.142436","1801 N ROAD 40, PASCO, Washington, 99301-2699","1801 N ROAD 40, PASCO, Washington, 99301-2699","2","Two-way","243","Spanish","80-20","Kindergarten","6","https://www.psd1.org/twaines","1","6","6","1/27/2021"
"9525","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","11001","Pasco School District","100195","4595","Maya Angelou Elementary","103956","P","46.28163509","-119.1995222","6001 ROAD 84, Pasco, Washington, 99301-6763","6001 ROAD 84, Pasco, Washington, 99301-6763","2","Two-way","243","Spanish","80-20","Kindergarten","6","http://www.psd1.org/domain/539","1","6","6","1/27/2021"
"9526","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","11001","Pasco School District","100195","2267","Mcloughlin Middle School","100759","P","46.253901","-119.205039","2803 N ROAD 88, PASCO, Washington, 99301-1691","2803 N ROAD 88, PASCO, Washington, 99301-1691","2","Two-way","243","Spanish","80-20","6","8","http://www.psd1.org/site/Default.aspx?PageID=1238","1","6","6","1/27/2021"
"9527","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","11001","Pasco School District","100195","4526","Whittier Elementary","100773","P","46.239814","-119.0768","616 N WEHE AVENUE, PASCO, Washington, 99301-0000","616 N WEHE AVENUE, PASCO, Washington, 99301-0000","2","Two-way","243","Spanish","80-20","Kindergarten","2","https://www.psd1.org/whittieres","1","6","6","1/27/2021"
"9528","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","3116","Prosser School District","100205","2195","Keene-Riverview Elementary","100398","P","46.200747","-119.775192","832 Park Ave., Prosser, Washington, 99350-0000","832 Park Ave., Prosser, Washington, 99350-0000","1","One-way","243","Spanish","80-20","2","5","http://prosserschools.org/schools","1","3","3","1/27/2021"
"9529","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","3116","Prosser School District","100205","3316","Prosser Heights Elementary","100402","P","46.211953","-119.752117","2008 Miller Ave., Prosser, Washington, 99350-1535","2008 Miller Ave., Prosser, Washington, 99350-1535","1","One-way","243","Spanish","80-20","6","6","http://prosserhe.ss8.sharpschool.com/","1","3","3","1/27/2021"
"9530","2019-20","State","103300","Washington State","Multiple","Educational Service District 123","100007","3116","Prosser School District","100205","2905","Whitstran Elementary","100400","P","46.235228","-119.708617","102101 W. Foisy, Prosser, Washington, 99350-5666","102101 W. Foisy Road, Prosser, Washington, 99350-5666","1","One-way","243","Spanish","80-20","2","6","http://prosserwe.ss8.sharpschool.com/","1","3","3","1/27/2021"
"9531","2019-20","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","27003","Puyallup School District","100207","5557","Dessie F Evans Elementary","106206","P","47.1277348","-122.3243067","7911 144th St E, Puyallup, Washington, 98373","7911 144th St E, Puyallup, Washington, 98373","2","Two-way","243","Spanish","90-10","Kindergarten","2","https://eva.puyallup.k12.wa.us/","1","2","2","1/27/2021"
"9532","2019-20","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","27003","Puyallup School District","100207","2870","Karshner Elementary","102047","P","47.197873","-122.312624","1328 8th Ave NW, Puyallup, Washington, 98371-4036","1328 8th Ave NW, Puyallup, Washington, 98371-4036","2","Two-way","243","Spanish","90-10","Kindergarten","2","https://kar.puyallup.k12.wa.us/","1","2","2","1/27/2021"
"9533","2019-20","State","103300","Washington State","Multiple","NULL","NULL","5903","Quileute Tribal School District","105979","5430","Quileute Tribal School","105980","Q","47.90841626","-124.6375498","40 Ocean Drive, La Push, Washington, 98350","PO Box 39, La Push, Washington, 98350","1","One-way","219","Quileute","Unknown","Kindergarten","12","https://quileutetribalschool.org/","1","1","1","1/27/2021"
"9534","2019-20","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","2070","Beacon Hill International School","101039","P","47.585116","-122.315256","2025 14 AV S, SEATTLE, Washington, 98144-4205","2025 14 AV S, SEATTLE, Washington, 98144-4205","1","One-way","243","Spanish","50-50","Kindergarten","5","http://beaconhilles.seattleschools.org/","1","5","5","1/27/2021"
