Number,Name,Website,GeoCodeLoc,Location 1,Counties,Congressional Districts,WAOFM - GIS - Legislative District Boundary
2,Boeing A&M Space Center,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=11774,"20403 68TH AVE S
KENT, WA 98032","20403 68TH AVE S KENT, WA 98032
(47.4217729, -122.2517886)",3009,9,36
7,BP Cherry Point Refinery,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=4885,"4519 GRANDVIEW RD BLAINE, WA 98230","4519 GRANDVIEW RD BLAINE, WA 98230
(48.884493, -122.737451)",2744,1,44
12,Columbia Gorge Aluminum ,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=11797,"85 JOHN DAY DAM RD. GOLDENDALE, WA 98620","85 JOHN DAY DAM RD. GOLDENDALE, WA 98620
(45.7284724, -120.697613)",3195,3,20
27,"Schwerin Concaves, Walla Walla",https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=3956,"1106 SAPOLIL RD.  WALLA WALLA, WA 99362","1106 SAPOLIL RD. WALLA WALLA, WA 99362
(46.122931, -118.232962)",2743,5,23
28,Shell OPUS Puget Sound Refinery ,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=2865,"8505 S TEXAS RD. ANACORTES, WA 98221","8505 S TEXAS RD. ANACORTES, WA 98221
(48.4656865, -122.5599202)",3212,2,43
16,"Fuel Processors, Inc. ",https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=76,"701 BOZARTH, WOODLAND, WA 98674","701 BOZARTH, WOODLAND, WA 98674
(45.901604, -122.754202)",2978,3,27
23,PSC/Burlington - Georgetown,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=2622,"734 S LUCILE ST. SEATTLE, WA 98108","734 S LUCILE ST. SEATTLE, WA 98108
(47.5533607, -122.3223973)",3009,7,17
33,USARMY - Ft. Lewis,,"HQI CORPS AFZH DEQ BLDG 9673, FT LEWIS, WA 98433","HQI CORPS AFZH DEQ BLDG 9673, FT LEWIS, WA 98433
(47.1058333, -122.5644444)",3210,10,34
3,Boeing Auburn,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=5049,"700 15TH ST SW, AUBURN WA 98001","700 15TH ST SW, AUBURN WA 98001
(47.2949046, -122.2375514)",3009,8,14
8,BSB Diversified Co. Inc.,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=58,"8202 S 200TH ST. KENT, WA 98032","8202 S 200TH ST. KENT, WA 98032
(47.42199, -122.230904)",3009,9,36
