"business","id"
"","33729"
,"9461"
" Unknown","8127"
"Amazon.com","4279"
"Comcast","4217"
"CenturyLink","3245"
"T-Mobile","2016"
"Unknown - IRS Phishing","1645"
"Verizon Wireless","1599"
"Brown Paper Tickets","1421"
"Washington State Employment Security Department","1370"
"Ziply Fiber fka Frontier Communications","1252"
"Bank of America NA","1207"
"DIRECTV","1155"
"Unknown - Utility Scam","1149"
"AT&T Mobility","1103"
"Expedia","995"
"Microsoft Corporation","943"
"Wells Fargo CRA Risk Management","824"
"Sprint Executive Services","735"
"Dish Network","717"
"Sears Holdings Management Corporation","696"
"Navient","686"
"Unknown - Technical Support","654"
"Equifax Office of Consumer Affairs","640"
"Facebook","625"
"CALLERID4U, Inc","557"
"PayPal","551"
"Walmart","495"
"Reed Hein & Associates LLC dba Timeshare Exit Team","452"
"eBay","429"
"Home Depot","429"
"CHI Franciscan Health Systems","395"
"Stevens Pass","383"
"Washington State Office of the Attorney General","379"
"Chase Executive Office","376"
"Google Incorporated","376"
"US Bank Corporate Compliance","373"
"Wave Division Holdings aka Wave Broadband","371"
"Costco","360"
"Unknown - Fraudulent Collection Agency","359"
"Washington State Department of Social and Health Services","339"
"Puget Sound Energy","333"
"United States Postal Service","330"
"Citibank Presidential Communications","327"
"Convergent Outsourcing fka ER Solutions","323"
"Washington State Department of Licensing","321"
"Soulbound Studios, LLC","315"
"Larson Automotive Group","310"
"Northwest Territorial Mint","301"
"Best Buy","296"
"Capital One Services","293"
"Fred Meyer","283"
"Inquiry","277"
"Safeway","277"
"Fever Up/Van Gogh: The Immersive Experience","276"
"Lowe's Home Improvement","273"
"Samsung Electronics America","269"
"Experian Credit Reporting","267"
"Card Services/Credit Card Services/Card Member Services/Card Holder Services/Bankcard Services","264"
"Multicare Health Systems","257"
"Apple Inc","250"
"ADT Security/Protection One Alarm Services","250"
"Worldmark by Wyndham","249"
"IQ Data International","244"
"Pacific Telecom Communications Group","243"
"PHH Mortgage fka Ocwen Loan Servicing LLC","241"
"Alaska Airlines","238"
"Kaiser Permanente Washington","236"
"TransUnion Credit Reporting","226"
"Synchrony Bank fka GE Capital Retail Bank/GECRB/Care Credit","222"
"Phishing","213"
"KeyBank National Association","209"
"Boeing Employees Credit Union / BECU","204"
"Waste Management of Washington","204"
"Tracfone Wireless Inc","201"
"Jpay Inmate Services","200"
"Chase Mortgage Banking Executive Office","198"
"The Freedom Foundation/OptOutToday.com","193"
"Ditech Financial LLC fka Green Tree Servicing","192"
"Ocwen Loan Servicing LLC / Ocwen Financial Corporation","191"
"Department of Transporation Good to Go Division","190"
"FedEx Customer Relations","190"
"AllianceOne","188"
"LA Fitness/Fitness International","187"
"Bungie","187"
"Nationstar Mortgage, LLC/ Mr Cooper ","187"
