Source,Address,County,Sector ,Sub Sector,Total Emissions (MT CO2e),Biogenic CO2 (MT CO2),Fossil CO2 (MT CO2),Methane (MT CO2e),Nitrous Oxide (MT CO2e),Hydrofluorocarbons (MT CO2e),Perfluorocarbons (MT CO2e),Sulfur Hexafluoride (MT CO2e),Other (MT CO2e),"Location (Latitude, Longitude) ",Point Size- Based on Total Emissions,WAOFM - GIS - Legislative District Boundary,Counties,Congressional Districts
Nippon Dynawave - Longview,"3401 Industrial Way, Longview, WA 98632",Cowlitz,Pulp and Paper,Kraft Mills,1560766,1219693,333587,1646,5839,0,0,0,0,"(46.130495, -122.983637)",4,26,2978,3
Linear Technology Corporation - Camas,"4200 NW Pacific Rim Blvd, Camas, WA 98607",Clark,Manufacturing,Electronics Manufacturing,38569,0,1916,1,1358,1595,30840,2731,127,"(45.598844, -122.45232)",2,25,2977,3
University of Washington Seattle Campus - Seattle,"47.6562, -122.3041, Seattle, WA 98195-4400",King,Government,Education,82556,0,82471,39,46,0,0,0,0,"(47.653614, -122.303608)",2,4,3009,7
Puget Sound Energy - Fredonia Generating Station - Mount Vernon,"13085 Ball Road, Mount Vernon, WA 98273",Skagit,Power Plants,Natural Gas Turbine Plants,163716,0,163548,77,92,0,0,0,0,"(48.4553, -122.435)",3,16,3212,2
Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,"227515 E. Bowles Rd, Kennewick, WA 99337",Benton,Chemicals,Nitric Acid Production,151371,0,9491,1,141879,0,0,0,0,"(46.165957, -119.017218)",3,23,2955,4
Northwest Pipeline C/S - Sumner,"3104 166th Ave E, Sumner, WA 98390",Pierce,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,46614,0,46043,545,26,0,0,0,0,"(47.228986, -122.209551)",2,15,3210,8
SGL Automotive Carbon Fibers LLC - Moses Lake,"8781 Randolph Rd NE, Moses Lake, WA 98837",Grant,Manufacturing,Transportation,6836,0,6829,3,4,0,0,0,0,"(47.208993, -119.285437)",1,19,2982,4
Ardagh Glass Inc. - Seattle,"5801 East Marginal Way South, Seattle, WA 98134",King,Minerals,Glass Production,77845,0,77783,28,33,0,0,0,0,"(47.55242, -122.33739)",2,17,3009,7
Simplot Feeders LTD. - Burbank,"13981 Dodd Road, Burbank, WA 99323",Walla Walla,Food Production,Cattle Feedlots,23349,0,0,1631,21718,0,0,0,0,"(46.133131, -118.90629)",1,23,2743,4
Boeing Commercial Airplanes - Everett,"3003 West Casino Rd, Everett, WA 98204",Snohomish,Manufacturing,Transportation,76191,0,76112,36,44,0,0,0,0,"(47.918622, -122.276987)",2,40,3213,2
Hampton Lumber Mills Washington Inc. - Randle,"10166 US Highway 12, Randle, WA 98377",Lewis,Wood Products,Lumber Mills,63442,62606,0,120,716,0,0,0,0,"(46.533743, -121.917906)",2,27,3196,3
WaferTech LLC - Camas,"5509 NW Parker St, Camas, WA 98607",Clark,Manufacturing,Electronics Manufacturing,156445,0,13143,6,8568,11501,58067,39182,25978,"(45.619569, -122.454955)",3,25,2977,3
Frito Lay - Vancouver,"4808 NW Fruit Valley Road, Vancouver, WA 98660",Clark,Food Production,Other Food Products,16373,0,16356,8,9,0,0,0,0,"(45.657037, -122.692)",1,8,2977,3
ConAgra Foods Lamb Weston - Connell,"811 W. Gum St., Connell, WA 99326",Franklin,Food Production,Potato Products,37212,0,37174,18,21,0,0,0,0,"(46.651389, -118.871944)",2,13,2981,4
Easterday Ranches South Feedlot - Kennewick,"152330 S. Nine Canyon Rd., Kennewick, WA 99337",Benton,Food Production,Cattle Feedlots,24933,0,2661,1727,20545,0,0,0,0,"(45.991872, -119.136497)",1,23,2955,4
ConAgra Foods Lamb Weston - Pasco,"960 Glade Road N., Pasco, WA 99301",Franklin,Food Production,Potato Products,42188,0,42144,20,24,0,0,0,0,"(46.288137, -119.115336)",2,13,2981,4
Great Western Malt - Vancouver,"1705 NW Harborside Drive, Vancouver, WA 98660",Clark,Food Production,Other Food Products,17085,0,17067,8,10,0,0,0,0,"(45.631069, -122.690043)",1,8,2977,3
Boise Paper - Wallula,"31831 West Highway 12, Wallula, WA 99363",Walla Walla,Pulp and Paper,Kraft Mills,804657,645182,148359,8908,2209,0,0,0,0,"(46.10396, -118.9184)",3,23,2743,4
River Road Generating Plant - Vancouver,"5201 NW Lower River Road, Vancouver, WA 98660",Clark,Power Plants,Natural Gas Turbine Plants,569033,0,568455,264,314,0,0,0,0,"(45.64958, -122.724806)",3,8,2977,3
Star Forge LLC dba Jorgensen Forge - Tukwila,"8531 East Marginal Way S., Tukwila, WA 98108-4018",King,Metals,Iron and Steel Production,6820,0,6813,3,4,0,0,0,0,"(47.526872, -122.303906)",1,17,3009,9
Cathcart Landfill - Snohomish,"8915 Cathcart Way, Snohomish, WA 98296",Snohomish,Waste,Municipal Landfills,17417,0,161,17257,0,0,0,0,0,"(47.870014, -122.118284)",1,45,3213,1
Georgia-Pacific Consumer Products LLC - Camas,"401 NE Adams Street, Camas, WA 98607",Clark,Pulp and Paper,Kraft Mills,599199,420749,167921,9136,1393,0,0,0,0,"(45.584271, -122.40843)",3,25,2977,3
Owens-Brockway Glass Container Inc Plant #02 - Kalama,"2310 N Hendrickson Drive, Kalama, WA 98625",Cowlitz,Minerals,Glass Production,23284,0,23268,8,9,0,0,0,0,"(46.031656, -122.866241)",1,27,2978,3
Horn Rapids Sanitary Landfill - Richland,"3102 Twin Bridges Road, Richland, WA 99352",Benton,Waste,Municipal Landfills,26021,0,0,26021,0,0,0,0,0,"(46.346663, -119.348118)",2,12,2955,4
Cosmo Specialty Fibers Inc - Cosmopolis,"1701 First St, Cosmopolis, WA 98537",Grays Harbor,Pulp and Paper,Sulfite Mills,989316,963065,18409,5144,2697,0,0,0,0,"(46.952907, -123.76211)",3,26,2983,6
Puget Sound Energy LDC - statewide,"10885 NE 4th St, Bellevue, WA 98004",King,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,58711,0,73,58638,0,0,0,0,0,"(47.61345, -122.19454)",2,42,3009,9
"Solvay Chemicals, Inc. - Longview","3500 Industrial Way, Longview, WA 98632",Cowlitz,Chemicals,Hydrogen Production,41712,0,41712,0,0,0,0,0,0,"(46.137218, -122.982847)",2,26,2978,3
Northwest Pipeline C/S - Goldendale,"120 Hoctor Road, Goldendale, WA 98620",Klickitat,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,20352,0,17293,3049,10,0,0,0,0,"(45.771216, -120.799267)",1,20,3195,3
"Interfor US, Inc. - Port Angeles","243701 Highway 101 West, Port Angeles, WA 98363",Clallam,Wood Products,Lumber Mills,43768,43191,0,83,494,0,0,0,0,"(48.103425, -123.518642)",2,30,2976,6
The Boeing Company: Boeing Plant 2 - Seattle,"7755 E. Marginal Way S., Seattle, WA 98108",King,Manufacturing,Transportation,20967,0,20945,10,12,0,0,0,0,"(47.532524, -122.311623)",1,17,3009,9
Northwest Pipeline C/S - Washougal,"1309 NE Brown Road, Washougal, WA 98671",Clark,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,15702,0,13199,2495,7,0,0,0,0,"(45.63236, -122.36516)",1,20,2977,3
The Boeing Company: DC/MFC - Seattle,"9725 East Marginal Way South, Seattle, WA 98108",King,Manufacturing,Transportation,14859,0,14844,7,8,0,0,0,0,"(47.516246, -122.298613)",1,17,3009,9
