"rowid","schoolyear","organizationlevel","organizationid","organizationname","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","totalteachercount","totalstudentcount","teachertostudentratio","studenttoteacherratio","teachertostudentpercent","averageclasssize","program","programformalname","programteachercount","programteacherpercent","programfte","certificatetype","certificatetypecount","certificatetypepercent","limitedcertificatetype","limitedcertificatetypecount","limitedcertificatetypepercent","iseevalidated","dataasof"
"1","2017-2018","District","100001","ESD 101 acting as a school district","Spokane","NULL","NULL","32801","ESD 101 acting as a school district","100001","NULL","NULL","NULL","NULL","5","190","0.02632","38.00000","0.02632","267.00","ALL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"2","2017-2018","District","100001","ESD 101 acting as a school district","Spokane","NULL","NULL","32801","ESD 101 acting as a school district","100001","NULL","NULL","NULL","NULL","5","NULL","NULL","NULL","NULL","NULL","Other","Other","5","1.000","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"3","2017-2018","District","100001","ESD 101 acting as a school district","Spokane","NULL","NULL","32801","ESD 101 acting as a school district","100001","NULL","NULL","NULL","NULL","5","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Full Certificate","5","1.000","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"4","2017-2018","District","100001","ESD 101 acting as a school district","Spokane","NULL","NULL","32801","ESD 101 acting as a school district","100001","NULL","NULL","NULL","NULL","5","NULL","NULL","NULL","NULL","NULL","Other","Other","5","1.000","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"5","2017-2018","District","100002","ESD 105 acting as a school district","Yakima","NULL","NULL","39801","ESD 105 acting as a school district","100002",,"District Total","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2022-03-06T13:16:15.337"
"6","2017-2018","District","100003","ESD 112 acting as a school district","Clark","NULL","NULL","06801","ESD 112 acting as a school district","100003","NULL","NULL","NULL","NULL","5","NULL","NULL","NULL","NULL","NULL","CTE","Career and Technical Education","5","1.000","2.750","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"7","2017-2018","District","100003","ESD 112 acting as a school district","Clark","NULL","NULL","06801","ESD 112 acting as a school district","100003","NULL","NULL","NULL","NULL","5","NULL","NULL","NULL","NULL","NULL","Other","Other","3","0.600","4.000","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"8","2017-2018","District","100003","ESD 112 acting as a school district","Clark","NULL","NULL","06801","ESD 112 acting as a school district","100003","NULL","NULL","NULL","NULL","5","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Full Certificate","5","1.000","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"9","2017-2018","District","100003","ESD 112 acting as a school district","Clark","NULL","NULL","06801","ESD 112 acting as a school district","100003","NULL","NULL","NULL","NULL","5","153","0.03268","30.60000","0.03268","45.00","ALL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"10","2017-2018","District","100003","ESD 112 acting as a school district","Clark","NULL","NULL","06801","ESD 112 acting as a school district","100003","NULL","NULL","NULL","NULL","5","NULL","NULL","NULL","NULL","NULL","CTE","Career and Technical Education","5","1.000","2.750","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"11","2017-2018","District","100003","ESD 112 acting as a school district","Clark","NULL","NULL","06801","ESD 112 acting as a school district","100003","NULL","NULL","NULL","NULL","5","NULL","NULL","NULL","NULL","NULL","Other","Other","3","0.600","4.000","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
