"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","foster_care","highly_capable","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_foster_care","non_highly_capable","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","84871","40794","477","43600","1063","6894","3827","21364","1044","7367","43311","7806","316","5900","2137","38509","1880","1774","1538","5698","10565","77065","84555","78971","82734","46362","82991","83097","83333","79173","74306","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","83110","40030","456","42624","1001","7042","3701","20311","1071","6839","43145","7710","307","5141","2281","36322","1768","1498","1865","5467","9997","75400","82803","77969","80829","46788","81342","81612","81245","77643","73113","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","91763","44033","729","47001","1202","7692","4465","22073","1164","7329","47836","8147","370","5254","3271","39931","1963","1511","4316","5723","13149","83616","91393","86509","88492","51832","89800","90252","87447","86040","78614","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","74957","36471","91","38395","912","6721","3533","18878","1073","7348","36489","14918","336","1482","2074","34275","1365","2759","1215","799","10175","60039","74621","73475","72883","40682","73592","72198","73742","74158","64782","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"2nd Grade","79052","38134","89","40829","969","6919","3619","19555","1109","7781","39099","14996","379","3345","2272","37672","1432","2928","1247","1359","11648","64056","78673","75707","76780","41380","77620","76124","77805","77693","67404","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"3rd Grade","79824","38804","97","40923","1024","7067","3681","19561","1085","7787","39616","12999","396","5374","2194","38580","1446","2642","1163","1871","12358","66825","79428","74450","77630","41244","78378","77182","78661","77953","67466","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"4th Grade","79434","38665","90","40679","1005","7083","3573","19849","1082","7687","39153","11199","350","6421","2161","38338","1579","2400","1127","2363","12115","68235","79084","73013","77273","41096","77855","77034","78307","77071","67319","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"5th Grade","80619","39018","102","41499","1053","6924","3889","20329","1042","7572","39809","10144","370","6649","2175","38993","1651","2351","1171","3073","12374","70475","80249","73970","78444","41626","78968","78268","79448","77546","68245","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"6th Grade","80738","39123","221","41394","988","6781","3488","20554","1079","7649","40197","8761","347","7042","2095","39411","1781","2188","1173","3603","11635","71977","80391","73696","78643","41327","78957","78550","79565","77135","69103","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"7th Grade","83713","40462","280","42971","1091","6907","3767","21726","1049","7774","41398","8276","332","7231","2087","40648","1820","2077","1258","4061","11760","75437","83381","76482","81626","43065","81893","81636","82455","79652","71953","2022-04-22T00:00:00.000"
