"region","which_h","_2008","_2010","_2012","_2014","_2016","_2018","_2018_ci_l","_2018_ci_h"
"Snake","Habitat","25","28","32","35","37","50","40","60"
"Snake","Hatchery","10","20","25","25","83","70","60","80"
"Snake","Harvest","90","85",,,,"50","40","60"
"Snake","Hydropower","80","82","84","90","95","50","40","60"
