"project_code","title","project_start_date","project_end_date","create_date"
"0001","DOR TAXES (REVENUE INTERFACE ONLY)","2003-07-01T00:00:00.000","2025-09-15T00:00:00.000",
"0002","CWT TIMBER (REVENUE INTERFACE ONLY)","2003-07-01T00:00:00.000","2025-09-15T00:00:00.000",
"0221","PAYROLL USE ONLY","1994-01-01T00:00:00.000","2030-12-31T00:00:00.000","2016-10-26T00:00:00.000"
"085C","COVID19 86C","2020-03-01T00:00:00.000","2021-08-31T00:00:00.000","2020-03-13T00:00:00.000"
"085F","COVID19 86F","2020-03-01T00:00:00.000","2021-08-31T00:00:00.000","2020-03-13T00:00:00.000"
"085K","COVID19 86K","2020-03-01T00:00:00.000","2021-08-31T00:00:00.000","2020-03-13T00:00:00.000"
"085X","COVID19 86X","2020-03-01T00:00:00.000","2021-08-31T00:00:00.000","2020-03-13T00:00:00.000"
"086A","AVIATION SAFETY PROGRAM","1990-01-01T00:00:00.000","2025-09-15T00:00:00.000","2021-07-15T00:00:00.000"
"086B","OFFICE","1990-01-01T00:00:00.000","2025-09-15T00:00:00.000",
"086C","TELECOMMUNICATION SERVICES","1990-01-01T00:00:00.000","2025-09-15T00:00:00.000",
"086F","SMALL MOTORS","1990-01-01T00:00:00.000","2025-09-15T00:00:00.000",
"086K","AIRCRAFT HELICOPTER","1990-01-01T00:00:00.000","2025-09-15T00:00:00.000",
"086X","COMPUTERS","2002-09-01T00:00:00.000","2025-09-15T00:00:00.000",
"0887","IT COSTS ACQUISITION & NEW DEVELOPMENT","2010-07-01T00:00:00.000","2025-09-15T00:00:00.000",
"0888","IT COSTS MAINTENANCE & OPERATIONS","2010-07-01T00:00:00.000","2025-09-15T00:00:00.000",
"08AY","86A IT MAINTENANCE","2010-07-01T00:00:00.000","2025-09-15T00:00:00.000","2010-05-10T00:00:00.000"
"08CY","86C IT MAINTENANCE","2014-07-01T00:00:00.000","2025-09-15T00:00:00.000","2014-07-03T00:00:00.000"
"08KY","86K IT MAINTENANCE","2014-07-01T00:00:00.000","2025-09-15T00:00:00.000","2014-07-03T00:00:00.000"
"08XX","86X IT ACQUISITION","2010-07-01T00:00:00.000","2025-09-15T00:00:00.000","2010-05-10T00:00:00.000"
"08XY","86X IT MAINTENANCE","2010-07-01T00:00:00.000","2025-09-15T00:00:00.000","2010-05-10T00:00:00.000"
"0AAA","NE","1994-01-01T00:00:00.000","2030-12-31T00:00:00.000",
"0AAB","NE","1994-01-01T00:00:00.000","2030-12-31T00:00:00.000",
"0AAC","NE","1994-01-01T00:00:00.000","2030-12-31T00:00:00.000",
"0AAD","NE","1994-01-01T00:00:00.000","2030-12-31T00:00:00.000",
