Site Name,Coordinates,WAOFM - GIS - Legislative District Boundary,Counties,Congressional Districts
Anacortes 202 Avenue,"(48.52059, -122.61428)",43,3212,2
Kent-Central & James,"(47.38614, -122.23195)",36,3009,9
Seattle-Beacon Hill,"(47.5682, -122.3086)",17,3009,9
Tacoma-S 36th St,"(47.22634, -122.46256)",11,3210,6
Bellingham-Yew St,"(48.76278, -122.44028)",43,2744,2
Lynnwood-212th,"(47.8064, -122.3167)",21,3213,2
Seattle-10th & Weller,"(47.597222, -122.319722)",38,3009,9
Tacoma- L Street,"(47.18631, -122.45154)",35,3210,6
Bremerton-Spruce Ave,"(47.592675, -122.62739)",29,848,6
Yakima-4th Ave,"(46.59495, -120.51228)",20,2746,4
Spokane-Augusta Ave,"(47.672482, -117.36485)",3,3214,5
Marysville-7th Ave,"(48.054315, -122.171529)",40,3213,2
Darrington-Fir St,"(48.2468, -121.6031)",41,3213,1
Vancouver NE 84th Ave,"(45.64336, -122.58737)",8,2977,3
Seattle-Duwamish,"(47.559975, -122.338265)",17,3009,7
Omak-Colville Tribe,"(48.39999, -119.51896)",18,3198,4
Ellensburg-Ruby St,"(46.99364, -120.545)",19,3194,8
Toppenish-Yakama Tribe,"(46.38024, -120.33266)",22,2746,4
