Name,Website,Location 1,Counties,Congressional Districts,WAOFM - GIS - Legislative District Boundary
Gateway Pacific Terminal at Cherry Point Proposal,http://www.ecy.wa.gov/geographic/gatewaypacific/,"(48.868383, -122.728311)",2744,1,44
Millennium Bulk Terminals - Longview Proposed Coal Export Terminal,http://www.ecy.wa.gov/geographic/millennium/index.html,"(46.1364, -123.0047)",2978,3,26
