"openeddate","openedyear","status","practicecode","practicename","businesscategory","naics","naicsname","businessname","businessstreetline1","businessstreetline2","businesscity","businessstate","businesszip","estimatedsavings","practiceid","actualsavings","complaintid","businessid","id","location"
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Electronic Shopping","454100-Electronic Shopping & Mail Order Houses",,"","","","Seattle","WA","98121    ","0.00","60","0.00","625845","319265","60000625845",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Dating Clubs and Social Networking","812199-Dating Clubs and Social Networking",,"Facebook","","","Palo Alto","CA","         ","0.00","60","0.00","625848","215014","60000625848",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Retail Sales","443000-Electronics/appliance stores",,"","","","Clifton","NJ","07013    ","0.00","60","0.00","625826","319261","60000625826",
"2022-09-12T00:00:00.000","2022","Open","303","Questionable Quality Product/Service","Electronic Shopping","454100-Electronic Shopping & Mail Order Houses",,"Amazon.com","PO Box 81226","","Seattle","WA","98108-1226","0.00","35","0.00","625819","120419","35000625819",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Home and Condo owner associations","813990-Home and Condo owner associations",,"","","","Port Ludlow","WA","98365    ","0.00","60","0.00","625824","319258","60000625824",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Unclassified Establishments","990000-Unclassified Establishments",,"","","","","WA","         ","0.00","60","0.00","625864","319274","60000625864",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Telecommunications","513310-Wired Telecommunications Carriers",,"CenturyLink","6704 N Nevada St Ste #6","","Spokane","WA","99208    ","0.00","60","0.00","625847","258126","60000625847",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Commercial Banking","522110-Commercial Banking",,"US Bank Corporate Compliance","200 S 6th St","Mailstop EP-MN-L06C","Minneapolis","MN","55402    ","0.00","60","0.00","625860","87089","60000625860",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Insurance","524000-Insurance Carriers & Related Activities",,"Liberty Mutual Insurance","Liberty Mutual Group","175 Berkeley St","Portland","OR","97224    ","0.00","60","0.00","625858","245190","60000625858",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Insurance","524000-Insurance Carriers & Related Activities",,"Farmers Insurance","PO Box 1628","","Grand Rapids","MI","49501    ","0.00","60","0.00","625844","276246","60000625844",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Security Systems (including locksmiths)","561620-Security Systems (including locksmiths)",,"Fluent Home LLC","3400 N 1200 W","","Lehi","UT","84043    ","0.00","60","0.00","625829","275691","60000625829",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Health Care","621330-Mental health practitioners",,"","","","Spokane","WA","99202    ","0.00","60","0.00","625856","319271","60000625856",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Government Agencies","920000-Public Administration",,"","","","Seattle","WA","98104    ","0.00","60","0.00","625678","319201","60000625678",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Admin. & support services (office admin., faciliti","560000-Admin. & support services (office admin., faciliti",,"Norton Antivirus / Symantec Corp","350 Ellis St","","Mountain View","CA","94043    ","0.00","60","0.00","625816","299456","60000625816",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Waste Management Services","562000-Waste Management Services",,"","","","Richland","WA","99352    ","0.00","60","0.00","625820","319250","60000625820",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Dating Clubs and Social Networking","812199-Dating Clubs and Social Networking",,"Facebook","","","Palo Alto","CA","         ","0.00","60","0.00","625840","215014","60000625840",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Health Care","621600-Home health care Agencies",,"","","","Everett","WA","98203    ","0.00","60","0.00","625862","319273","60000625862",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Broadband Providers","514191-Internet service providers/info. services (doesn't",,"Comcast","1323 34th Ave","","Fife","WA","98424    ","0.00","60","0.00","625842","204915","60000625842",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Moving Companies","484210-Moving Companies",,"","","","Federal Way","WA","98203    ","0.00","60","0.00","625823","319253","60000625823",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Software Publishers","511210-Software Publishers",,"Intuit Inc/Intuit Software/Turbo Tax/PayCycle","2800 Commerce Center Pl","","Tucson","AZ","85726    ","0.00","60","0.00","625817","140533","60000625817",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Automobile Manufacturing","336111-Automobile Manufacturing",,"Volkswagen of America","3800 Hamlin Rd","","Auburn Hills","MI","48309    ","0.00","60","0.00","625831","121420","60000625831",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Retail Sales","444000-Building materials (incl. plumbing stores), garden",,"Lowe's Home Improvement","1605 Curtis Bridge Rd","Mail Code RSN6","Wilkesboro","NC","28697    ","0.00","60","0.00","625846","117125","60000625846",
"2022-09-12T00:00:00.000","2022","New","999","Other/Miscellaneous","Auto Sales","441100-Automotive Dealers",,"Olympia Auto Sales","2428 4th Ave E","","Olympia","WA","98506    ","0.00","60","0.00","625814","286907","60000625814",
