"rowid","schoolyear","organizationlevel","organizationid","organizationname","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","programdesignid","programdesign","languageid","languageofinstruction","programmodel","dl_lowestgradelevelcode","dl_highestgradelevelcode","websiteduallanguageeducation","hasdlprogramming","dataasof","latitude","longitude","physicaladdress","mailingaddress","districtcountdlschools","districtcountdlprograms"
"1","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","5308","Jing Mei Elementary School","105623","P","2","Two-way","49","Chinese-Mandarin","90-10","Kindergarten","5","https://www.bsd405.org/jingmei/about/mandarin-dual-language/","1","2021-02-18T00:00:00.000","47.55219319","-122.1715153","12635 SE 56th Street, Bellevue, Washington, 98006","12635 SE 56th Street, Bellevue, Washington, 98006","4","4"
"2","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3225","Lake Hills Elementary","101366","P","2","Two-way","243","Spanish","90-10","Kindergarten","5","http://www.bsd405.org/lakehills/about/spanish-dual-language/","1","2021-02-18T00:00:00.000","47.60089","-122.148533","14310 SE 12th Street, Bellevue, Washington, 98007-5596","14310 SE 12th Street, Bellevue, Washington, 98007-5596","4","4"
"3","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3339","Sherwood Forest Elementary","101372","P","2","Two-way","243","Spanish","90-10","Kindergarten","5","https://www.bsd405.org/programs/dual-language/","1","2021-02-18T00:00:00.000","47.630485","-122.120942","16411 NE 24th Street, Bellevue, Washington, 98008-2491","16411 NE 24th Street, Bellevue, Washington, 98008-2491","4","4"
"4","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3100","Stevenson Elementary","101361","P","2","Two-way","243","Spanish","90-10","Kindergarten","5","http://www.bsd405.org/stevenson/about/spanish-dual-language/-language/","1","2021-02-18T00:00:00.000","47.617943","-122.150085","14220 NE 8th Street, Bellevue, Washington, 98007-4103","14220 NE 8th Street, Bellevue, Washington, 98007-4103","4","4"
"5","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","27403","Bethel School District","100022","3649","Chester H Thompson Elementary","102296","P","2","Two-way","243","Spanish","90-10","Kindergarten","4","http://bethelsd.schoolwires.net/Domain/318","1","2021-02-18T00:00:00.000","47.112888","-122.426206","303 159TH ST E, TACOMA, Washington, 98445-1199","303 159TH ST E, TACOMA, Washington, 98445-1199","1","1"
"6","2016-17","State","103300","Washington State","Multiple","Olympic Educational Service District 114","100005","18100","Bremerton School District","100026","3171","Naval Avenue Elementary School","101675","P","2","Two-way","243","Spanish","50-50","Kindergarten","3","http://www.bremertonschools.org/Page/6415","1","2021-02-18T00:00:00.000","47.569594","-122.648498","900 Olympic Avenue, Bremerton, Washington, 98312-3825","900 Olympic Avenue, Bremerton, Washington, 98312-3825","2","2"
"7","2016-17","State","103300","Washington State","Multiple","Olympic Educational Service District 114","100005","18100","Bremerton School District","100026","2613","West Hills S.T.E.M. Academy","101665","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.bremertonschools.org/Page/6415","1","2021-02-18T00:00:00.000","47.557295","-122.666859","520 S National Ave, Bremerton, Washington, 98312-3696","520 S National Ave, Bremerton, Washington, 98312-3696","2","2"
"8","2016-17","State","103300","Washington State","Multiple","Northwest Educational Service District 189","100009","29100","Burlington-Edison School District","100030","2946","West View Elementary","102369","P","2","Two-way","243","Spanish","50-50","Kindergarten","8","http://www.be.wednet.edu/Page/2428","1","2021-02-18T00:00:00.000","48.477418","-122.341179","515 W VICTORIA AVE, BURLINGTON, Washington, 98233-1028","515 W VICTORIA AVE, BURLINGTON, Washington, 98233-1028","1","1"
"9","2016-17","State","103300","Washington State","Multiple","Educational Service District 112","100003","6114","Evergreen School District (Clark)","100084","3618","Marrion Elementary School","100598","P","2","Two-way","243","Spanish","90-10","Kindergarten","5","http://www.evergreenps.org/Elementary-Schools/Marrion","1","2021-02-18T00:00:00.000","45.65389181","-122.5486362","4400 NE 122nd Ave, Vancouver, Washington, 98664-3003","4400 NE 122nd Ave, Vancouver, Washington, 98664-3003","2","2"
"10","2016-17","State","103300","Washington State","Multiple","Educational Service District 112","100003","6114","Evergreen School District (Clark)","100084","4445","Pioneer Elementary School","100615","P","2","Two-way","243","Spanish","90-10","Kindergarten","5","http://www.evergreenps.org/Elementary-Schools/Pioneer","1","2021-02-18T00:00:00.000","45.67638397","-122.5011424","7212 NE 166th Avenue, Vancouver, Washington, 98682-5196","7212 NE 166th Avenue, Vancouver, Washington, 98682-5196","2","2"
