"itemtype","title","author","copyrightdate","accessioneddate","replacementprice","missingdate","callnumber","pagecount","runtime","itemcount","itemheight"
"BOOK","The huckleberry murders","McManus, Patrick F.","2010","3-Nov-10","31","2/2/19","Fic McM","260",,,"23"
"BOOK","Arcanum","Morden, Simon",,"24-Apr-14","22","2/2/19","Fic Mor","765",,,"21"
"DVD","Game of thrones.",,"2013","23-Feb-16","15","2/2/19","DVD TV Series Gam Sn. 2, Disc 1, 2 & 3",,"550","5","12"
"BOOK","The adventures of Tom Sawyer","Twain, Mark",,"23-Mar-16","34.99","2/2/19","J Fic Twa","296",,,"28"
"DVD","The best of American pickers",,,"16-Sep-16","14.99","2/2/19","DVD 745.1 Bes",,"315","2","12"
"BOOK","Insects and spiders","Milne, Lorus Johnson","1992","1-Sep-00","13","2/8/19","J 595.7 Mil","45",,,"31"
"DVD","Deadpool 2",,,"24-Aug-18","29.95","2/8/19","DVD Feature films Dea 2",,"119","1","12"
"PAPERBACK","The tragedy of Macbeth","Shakespeare, William","1987","12-Sep-02","5","2/14/19","822.3 Sha","267",,,"18"
"BOOK","Wilderness homesteaders","Kavanaugh, Ethel","1950","1-Sep-00","10","2/21/19","917.98 Kav","303",,,"24"
"LARGE PRINT","Daddy's little girl","Clark, Mary Higgins","2002","12-Jun-02","26","2/21/19","L.T. Fic Cla","336",,,"24"
"DVD","Star trek V",,"2003","1-Aug-06","24.95","2/21/19","DVD Feature films Sta",,"106","2","12"
"BOOK","Dorothy must die","Paige, D. M.",,"27-May-14","22.99","2/21/19","Y Fic Pai","452",,,"22"
"DVD","Star Trek III.",,"2013","14-Jul-16","14.99","2/21/19","DVD Feature films Sta",,"223","2","12"
"BOOK","Dave Barry is not taking this sitting down","Barry, Dave","2000","20-Nov-00","23","2/25/19","818.54 Bar","229",,,"22"
"BOOK","Sam's opposites","Got, Yves","2003","1-Nov-04","14.95","2/25/19","JE Got",,,"1","17"
"BOOK","Origami holidays","Nguyen, Duy","2002","10-Oct-02","19.95","2/28/19","J 736.982 Ngu","96",,,"26"
"BOARD BOOK","Through the town","Shuttlewood, Craig",,"27-Oct-15","9.99","3/1/19","JE BB Shu",,,"1","21"
"DVD","Zoom",,"2007","27-Dec-18","27","3/11/19","DVD Feature film Zoo",,"88","1","12"
"PAPERBACK","The ideal man","Garwood, Julie","2012","5-Sep-12","10.99","3/12/19","Pb Fic Gar","344",,,"18"
"PAPERBACK","Sweet talk","Garwood, Julie",,"22-Aug-14","10.99","3/12/19","Pb Fic Gar","392",,,"18"
"BOOK","Closer to the chest","Lackey, Mercedes",,"4-Oct-16","32","3/12/19","Fic Lac","376",,,"24"
"BOARD BOOK","I love colors","Miller, Margaret","1999","27-Jan-17","7.99","3/15/19","JE BB Mil",,,"1","14"
"BOOK","Crank","Hopkins, Ellen",,"26-Jun-15","17.99","3/15/19","Y Fic Hop","537",,,"21"
"BOOK","Rodale's illustrated encyclopedia of herbs",,"1987","1-Sep-00","24.95","3/22/19","635.7 Rod","545",,,"24"
"BOOK","New collected poems","Boland, Eavan","2008","21-Mar-08","32.95","3/22/19","821.914 Bol","320",,,"25"
"BOOK","Lady midnight","Clare, Cassandra",,"9-Mar-16","29.99","3/22/19","Y Fic Cla","668",,,"24"
"BOOK","Native Americans.",,"1996","29-Nov-04","15","3/27/19","299.7 Nat",,,"1","14"
"BOOK","Beautiful boy","Sheff, David","2008","28-Feb-08","29","3/27/19","362.299 She","326",,,"22"
"BOOK","Dinosaurs galore!","Andreae, Giles","2004","4-Aug-05","21.95","3/30/19","JE And",,,"1","31"
"BOOK","Don't let your anxiety run your life","Klemanski, David H.",,"18-Jul-16","21.95","3/30/19","152.46 Kle","217",,,"23"
"BOOK","France","Johnson, Douglas","1969","1-Sep-00","15","4/3/19","944 Joh","271",,,"22"
"DVD","Storks",,,"18-May-17","17","4/3/19","DVD Feature films Storks",,"87","1","12"
"BOOK","Inu x Boku SS","Fujiwara, Cocoa",,"25-May-17","18","4/3/19","Y GN Fic Fuj",,,"1","20"
"BOOK","Inu x Boku SS","Fujiwara, Cocoa",,"25-May-17","18","4/3/19","Y GN Fic Fuj",,,"1","20"
"BOOK","Inu x Boku SS","Fujiwara, Cocoa",,"25-May-17","18.88","4/3/19","Y GN Fic Fuj",,,"1","20"
"BOOK","Inu x Boku SS","Fujiwara, Cocoa",,"31-May-17","18","4/3/19","Y GN Fic Fuj","215",,,"19"
"DVD","Hot tub time machine",,"2010","23-May-18","15","4/3/19","DVD Feature films Hot",,"99","1","12"
"BLU-RAY","Halloween",,,"31-Jan-19","23","4/9/19","Blu-ray Feature films Hal",,"106","1","12"
"BOOK","The sacrifice game","D'Amato, Brian","2012","10-Jul-13","22","4/12/19","Fic D'Am","642",,,"23"
"DVD","Holes",,"2003","28-Jan-19","14.99","4/12/19","DVD Feature films Hol",,"117","1","12"
"BOARD BOOK","Twinkle, twinkle, little star","Church, Caroline",,"14-Jan-15","9.99","4/15/19","JE BB Chu",,,"1","17"
"DVD","The school of rock",,,"14-Feb-18","11.99","4/15/19","DVD Feature films Sch",,"109","1","12"
"BOOK","Runes of the North.","Olson, Sigurd F.","1963","1-Sep-00","15","4/16/19","917 Ols","254",,,"22"
"BOOK","Take a thief","Lackey, Mercedes","2001","5-Feb-02","24.95","4/16/19","Fic Lac","351",,,"24"
"BOOK","Plants for every season","Page, Martin","2002","13-Jun-03","18","4/16/19","635.9 Pag","576",,,"15"
"DVD","A kid in King Arthur's court",,"2003","3-Aug-11","19.99","4/16/19","DVD Feature films Kid",,"90","1","12"
"DVD","War",,,"18-Jul-18","11","4/18/19","DVD Feature films War",,"103","1","12"
"BOOK","Collected stories of","Bunin, Ivan Alekseevich","2007","30-Aug-07","24.95","4/19/19","Fic Bun","377",,,"23"
"BOOK","The sign","Khoury, Raymond","2009","10-Jun-09","31.95","4/19/19","Fic Kho","464",,,"24"
"DVD","Mr. Deeds",,"2002","16-Oct-14","19.98","4/23/19","DVD Feature films Mr",,"96","1","12"
"BOOK","Handmade rugs from practically anything","Laury, Jean Ray","1972","1-Sep-00","10","4/24/19","746.7 Lau","125",,,"29"
"DVD","Avengers.",,,"11-Oct-18","34.99","4/24/19","DVD Feature films Ave",,,"1","12"
"DVD","Against the wild II",,,"25-Oct-16","19.98","4/30/19","DVD Feature films Aga",,"91","1","12"
"BOARD BOOK","Numbers",,"2012","30-Jan-13","7.95","5/2/19","JE BB Num",,,"1","16"
"DVD","Southpaw",,,"7-Jul-16","14.98","5/13/19","DVD Feature films Sou",,"124","1","12"
"BOOK","Amber Brown sees red","Danziger, Paula","1997","1-Sep-00","13.95","5/16/19","J Fic Dan","116",,,"22"
"BOOK","The suicidal mind","Shneidman, Edwin S.","1996","1-Sep-00","35","5/16/19","616.85 Sch","187",,,"22"
"BOOK ON CASSETTE","Brian's hunt","Paulsen, Gary","2003","7-Feb-04","23","5/18/19","Y AudCs Pau",,"153","2",
"BOARD BOOK","Butterfly colors and counting","Pallotta, Jerry","2013","13-Jun-13","8.95","5/18/19","JE BB Pal",,,"1","15"
"BOOK","Peterson first guide to caterpillars","Wright, Amy Bartlett","1993","1-Sep-00","4.95","5/22/19","595.78 Wri","128",,,"19"
"BOOK","The drunken botanist","Stewart, Amy","2013","10-Apr-13","24.95","5/22/19","581.632 Ste","381",,,"21"
"BOOK","Draw furries","Hodges, Jared","2009","26-Sep-13","27.99","5/28/19","743.6 Hod","127",,,"28"
"BOOK","Hiccup","Mayer, Mercer","1976","1-Sep-00","10","6/3/19","JE May","32",,,"14"
"DVD","Pixels",,,"16-Dec-15","21.99","6/6/19","DVD Feature films Pix",,"106","1","12"
"DVD","The BFG",,,"5-Jan-17","27.99","6/6/19","DVD Feature films BFG",,"118","1","12"
"DVD","Galaxy Quest",,"2009","29-Jan-16","19.99","6/11/19","DVD Feature films Gal",,"101","1","12"
"BLU-RAY","Leap!",,,"21-Nov-17","19.99","6/11/19","Blu-ray Feature films Lea",,"89","1","12"
"BOARD BOOK","Trains go","Light, Steve","2012","20-Jan-17","12.99","6/13/19","JE BB Lig",,,"1","16"
"DVD","The secret life of pets",,,"5-Jan-17","29.99","6/13/19","DVD Feature films Sec",,"87","1","12"
"BLU-RAY","Ready player one",,,"25-Jul-18","40.99","6/13/19","Blu-ray Feature films Rea",,"140","1","12"
"BOOK ON CASSETTE","The icebound land","Flanagan, John","2007","17-Oct-07","72.75","6/20/19","Y AudCs Fla",,"525","8",
"BOOK","The horse in my garage and other stories","McManus, Patrick F.","2012","10-Jan-13","29.95","6/21/19","818.5402 McM","207",,,"22"
"BOOK","The field guide","DiTerlizzi, Tony","2003","21-Jul-03","14.95","6/26/19","J Fic DiT","107",,,"18"
"DVD","Despicable me",,"2010","9-Apr-18","35.99","6/26/19","DVD Feature films Des",,"95","1","12"
"DVD","WALL-E",,"2008","11-Jun-14","24.99","6/26/19","DVD Feature films Wal",,"98","1","12"
"BOOK","Sculpting her body perfect","Schoenfeld, Brad","2008","20-Nov-07","24.95","6/27/19","613.71082 Sch","237",,,"28"
"BOOK","Archenemies","Meyer, Marissa",,"27-Nov-18","25","7/1/19","Y Fic Mey","474",,,"25"
"BOOK","Jazzy jars","Browning, Marie","2002","18-Apr-03","24.95","7/3/19","748.8 Bro","128",,,"27"
"BOOK","Hush, hush","Fitzpatrick, Becca","2009","7-Dec-11","18.95","7/3/19","Y Fic Fit","391",,,"22"
"DVD","Venom",,,"8-Jan-19","36","7/5/19","DVD Feature films Ven",,"112","1","12"
"BOOK","Tahiti & French Polynesia","Kay, Robert F.","1992","1-Sep-00","12.95","7/8/19","919.6 Kay","202",,,"19"
"BOOK","Famous modern artists","Willard, Charlotte","1971","1-Sep-00","10","7/8/19","759 Wil","119",,,"29"
"BOOK ON CASSETTE","Brian's winter","Paulsen, Gary","1996","21-Aug-01","20","7/8/19","Y AudCs Pau",,"194","2",
"BOOK ON CASSETTE","Brian's return","Paulsen, Gary","1996","21-Aug-01","20","7/8/19","Y AudCs Pau",,"146","2",
"LARGE PRINT","Mount Vernon love story","Clark, Mary Higgins","2002","24-Jul-02","22","7/8/19","L.T. Fic Cla","352",,,"22"
"BOOK","101 magic tricks","Miles, Bryan",,"25-Jan-18","18.99","7/11/19","793.8 Mil","208",,,"24"
"BOOK","Liberty","Curlee, Lynn","2000","1-Sep-00","18","7/13/19","J 974.71 Cur","41",,,"32"
"BOOK","New dawn on Rocky Ridge","MacBride, Roger Lea","1997","1-Sep-00","15.95","7/13/19","J Fic Mac","378",,,"20"
"BOOK","The Borrowers","Norton, Mary","1953","1-Sep-00","15","7/13/19","J Fic Nor","180",,,"21"
"PUZZLE","Alphabet train floor puzzle.",,,"6-Aug-10","15.99","7/13/19","J Puzzle",,,"1","24"
"LARGE PRINT","Hard ride to hell","Johnstone, William W.",,"12-Jun-13","38.95","7/13/19","L.T. Fic Joh","439",,,"23"
"BOOK","Plants of the Pacific Northwest Coast",,"1994","1-Sep-00","19.95","7/22/19","581.97 Pla","527",,,"22"
"BOOK","Standard legal forms and agreements for small business",,"1990","1-Sep-00","19.95","7/22/19","346.73 Sta","198",,,"28"
"BOOK ON CD","Anne of Green Gables","Montgomery, L. M.","2008","3-Feb-11","24.95","7/22/19","J CDBook Mon",,"622","8","12"
"BOOK","Brisingr, or, The seven promises of Eragon Shadeslayer and Saphira Bjartskular","Paolini, Christopher","2008","4-May-15","32.5","7/24/19","Y Fic Pao","763",,,"24"
"BOOK ON CD","The chicken dance","Couvillon, Jacques","2008","18-Apr-08","92.75","7/29/19","J CDBook Cou",,"510","8","12"
"BOOK ON CD","The last Olympian","Riordan, Rick","2009","26-Aug-09","49","7/29/19","Y CDBook Rio",,"667","9","12"
"DVD","Ice road truckers.",,"2011","13-Apr-12","15.95","7/29/19","DVD TV Series Ice Sn. 4, Disc 1",,"720","4","12"
"DVD","Lonesome Dove",,"2000","16-Oct-14","19.98","7/29/19","DVD Feature films Lon",,"360","2","12"
"BOOK ON CD","Dividing Eden","Charbonneau, Joelle",,"21-Aug-17","45","7/29/19","Y CDBook Cha",,"585","8","12"
"DVD","Guardians of the galaxy",,,"16-Dec-14","19.99","8/2/19","DVD Feature films Gua",,"121","1","12"
"BOOK","Still Alice","Genova, Lisa","2009","2-Jun-15","31","8/2/19","Fic Gen","293",,,"22"
"BOOK","Where's Waldo?","Handford, Martin","2006","28-Oct-10","19.99","8/2/19","J 793.73 Han",,,"1","33"
"DVD","Black Panther",,,"5-Jul-18","19","8/2/19","DVD Feature films Bla",,,"1","12"
"BOOK","The iron trial","Black, Holly",,"21-Oct-14","22.99","8/7/19","J Fic Bla","295",,,"22"
"DVD","Grandma's boy",,"2008","2-Jul-18","10","8/10/19","DVD Feature films Gra",,"95","1","12"
"BOOK","We are the gardeners","Gaines, Joanna","2019","28-Mar-19","25","8/10/19","J Fic Gai",,,"1","29"
"DVD","Waterworld",,"1999","19-Apr-19","15","8/10/19","DVD Feature films Wat",,"136","1","12"
"DVD","Stephen King's movies collection",,,"3/20/19","15","9/3/19","DVD Feature films Ste",,"360","4","12"
"DVD","The mummy tomb of the Dragon Emperor",,"2008","10/19/18","15","9/3/19","DVD Feature films Mum",,"125","1","12"
"BOOK","The Civil war","Seidman, Rachel Filene","2000","3/30/01","32.95","9/3/19","973.7 Sei","206",,,"27"
"DVD","It",,,"12/20/11","19.95","9/6/19","DVD Feature films It",,"135","1","12"
"BOOK","Spot goes to school","Hill, Eric","1984","2/13/01","12.99","9/6/19","JE Hil",,,,"23"
"BLU-RAY","Annihilation",,,"7/5/18","23.99","9/7/19","Blu-ray Feature films Ann",,"114","1","12"
"BOOK","Compulsion","Kellerman, Jonathan","2008","3/25/08","32","9/10/19","Fic Kel","337",,,"25"
"DVD","Godzilla",,"2014","4/23/19","15","9/10/19","DVD Feature films God",,"123","2","12"
"BOOK","Paper craft",,,"1/7/16","25","9/11/19","745.54 Pap","223",,,"26"
"BOOK","Ultimate papercraft bible",,"2012","8/9/13","34.95","9/11/19","745.54 Ult","304",,,"28"
"BOOK","Paper craft","Robson, Denny","1993","9/1/00","17","9/11/19","J 745.54 Rob","32",,,"27"
"BOOK","A hidden wholeness","Palmer, Parker J.","2004","10/29/04","27.95","9/14/19","248.4 Pal","208",,,"22"
"DVD","Smurfs, the lost village",,,"7/14/17","22.99","9/14/19","DVD Feature films Smu",,"90","1","12"
"BOOK","Roblox top adventure games","Wiltshire, Alex",,"2/12/19","15","9/14/19","J 794.8 Wil","96",,,"22"
"DVD","Jurassic Park",,,"4/8/19","15","9/17/19","DVD Feature films Jur",,"127","1","12"
"BOOK","Real-life ghost encounters","Belanger, Jeff",,"3/27/14","33.95","9/17/19","Y 133.1 Bel","224",,,"24"
"LP","Girl in translation","Kwok, Jean","2010","10/29/10","39.95","9/17/19","L.T. Fic Kwo","367",,,"23"
"BOOK","The Berlitz self-teacher Portuguese,",,"1953","9/1/00","10","9/19/19","469 Ber","286",,,"21"
"DVD","Bad boys",,"2008","10/19/18","15","9/19/19","DVD Feature films Bad 2",,"266","2","12"
"DVD","Harry Potter and the deathly hallows.",,,"11/4/16","19.97","9/25/19","DVD Feature films Har",,"146","2","12"
"DVD","Iron man",,"2008","7/3/19","20","9/25/19","DVD Feature films Iro",,"125","1","12"
"DVD","Harry Potter and the deathly hallows.",,,"12/23/16","19.98","9/30/19","DVD Feature films Har",,"146","2","12"
"BOOK","My Antonia","Cather, Willa","1918","9/1/00","10","9/30/19","Fic Cat","290",,,"20"
"BOOK","How to open and operate a bed & breakfast home","Stankus, Jan","1986","9/1/00","13.95","10/2/19","647.94 Sta","321",,,"22"
"BOOK","Pinocchio","Collodi, Carlo","1927","9/1/00","10","10/2/19","J Fic Col","213",,,
"PB","Final assault.","Pendleton, Don",,"12/3/15","8.99","10/2/19","Pb Adventure Pen","186",,,"17"
"DVD","The crow",,"2011","12/27/12","19.95","10/5/19","DVD Feature films Cro",,"101","2","12"
"DVD","Grown ups",,"2010","10/19/18","15","10/5/19","DVD Feature films Gro",,"102","1","12"
"DVD","Hellraiser",,"2000","5/23/18","22.97","10/5/19","DVD Feature films Hel",,"93","1","12"
"DVD","Wonder Park",,,"6/20/19","35","10/5/19","DVD Feature films Won",,"85","1","12"
"BOOK","Dodging energy vampires","Northrup, Christiane",,"5/9/18","29.99","10/7/19","155.232 Nor","230",,,"23"
"DVD","Wanted",,"2008","4/1/19","15","10/7/19","DVD Feature films Wan",,"110","1","12"
"DVD","Daniel Tiger's neighborhood.",,,"12/1/16","11.99","10/9/19","DVD Children's films Dan",,"60","1","12"
"DVD","The fox and the hound",,"2006","1/6/17","29.99","10/9/19","DVD Feature films Fox",,"83","1","12"
"BOOK","Cracking the GED test",,,"6/4/19","28","10/12/19","373.1262 Cra 2020","825",,,"28"
"BOOK","Hemp--American history revisited","Deitch, Robert","2003","3/3/06","34.95","10/12/19","362.295 Dei","232",,,"24"
"DVD","The Flintstones season 2",,,"7/23/15","14.99","10/12/19","DVD Children's films Fli Disc 2",,"832","4","12"
"MUSIC","Let it be",,"2002","6/16/17","20","10/14/19","MusicCD Bea",,,"1","12"
"DVD","The hunger games",,"2012","6/20/17","20","10/17/19","DVD Feature films Hun",,"142","2","12"
"DVD","101 Dalmatians",,"2015","2/12/15","27.98","10/17/19","DVD Feature films One",,"79","1","12"
"DVD","The Peanuts movie",,,"3/8/16","19.99","10/17/19","DVD Feature films Pea",,"88","1","12"
"BOOK","The next millionaire next door","Stanley, Thomas J.",,"2/11/19","30","10/24/19","332.024 Sta","260",,,"24"
"BOOK","The Rolling Stones",,"2012","7/18/13","32.95","10/24/19","782.42166 Rol","144",,,"35"
