"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","highly_capable","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_highly_capable","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof","foster_care","non_foster_care"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","83121","40474","130","42517","1080","6742","3577","18674","927","6468","45648","6656","6713","2262","36391","1643","1475","1331","5358","10339","76465","76408","80859","46730","81478","81646","81790","77763","72782","2022-04-22T00:00:00.000","508","82613"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","83970","40870","164","42936","1125","6783","3736","18066","921","6524","46806","6283","6715","2661","35850","1700","1332","1727","5397","10287","77687","77255","81309","48120","82270","82638","82243","78573","73683","2022-04-22T00:00:00.000","416","83554"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","90279","43582","180","46517","1196","7147","4282","19116","988","6629","50917","5547","5796","3847","37070","1752","1095","4811","5357","11730","84732","84483","86432","53209","88527","89184","85468","84922","78549","2022-04-22T00:00:00.000","429","89850"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","82224","40027","30","42167","995","6559","3378","19337","934","8084","42928","17238","1986","2564","39810","1561","2823","1061","1704","11282","64986","80238","79660","42414","80663","79401","81163","80520","70942","2022-04-22T00:00:00.000","697","81527"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"2nd Grade","83335","40442","25","42868","1082","6525","3658","19638","906","7973","43548","15336","3389","2625","40931","1636","2646","977","2312","12631","67999","79946","80710","42404","81699","80689","82358","81023","70704","2022-04-22T00:00:00.000","670","82665"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"3rd Grade","83632","40750","18","42864","993","6481","3496","20016","927","7967","43745","12584","5356","2512","41575","1738","2375","981","2994","13163","71048","78276","81120","42057","81894","81257","82651","80638","70469","2022-04-22T00:00:00.000","604","83028"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"4th Grade","86248","42047","24","44177","1093","6516","3714","21110","920","8120","44773","11602","6220","2599","43395","1809","2317","898","3468","13554","74646","80028","83649","42853","84439","83931","85350","82780","72694","2022-04-22T00:00:00.000","599","85649"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"5th Grade","87998","43015","27","44956","1162","6854","3720","21567","970","8165","45557","9672","6659","2604","43895","1891","2177","878","4293","13229","78326","81339","85394","44103","86107","85821","87120","83705","74769","2022-04-22T00:00:00.000","597","87401"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"6th Grade","87226","42266","47","44913","1125","6664","3693","21404","989","7891","45453","8492","7188","2613","43327","1934","2172","946","4607","12466","78734","80038","84613","43899","85292","85054","86280","82619","74760","2022-04-22T00:00:00.000","551","86675"
"2018-19","State","Multiple","State Total",,,"State Total",,,"State Total",,,"7th Grade","84680","41047","28","43605","1116","6408","3623","20520","918","7460","44626","8068","7295","2387","41005","1851","1976","855","4951","11570","76612","77385","82293","43675","82829","82704","83825","79729","73110","2022-04-22T00:00:00.000","531","84149"
