"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","highly_capable","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_highly_capable","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof","foster_care","non_foster_care"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","83602","40204","325","43073","1084","6996","3665","20321","1071","6872","43593","7930","5804","2066","36941","1875","1455","1222","5755","10497","75672","77798","81536","46661","81727","82147","82380","77847","73105","2022-04-22T00:00:00.000","379","83223"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","85596","41438","558","43600","1157","7250","3817","19949","1009","6857","45554","7392","5987","2201","36118","1921","1479","1433","5867","10676","78204","79609","83395","49478","83675","84117","84163","79729","74920","2022-04-22T00:00:00.000","385","85211"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","89330","43257","358","45715","1244","7297","4158","20323","1063","6886","48358","6672","5052","3127","36358","1755","1352","3633","5640","12130","82658","84278","86203","52972","87575","87978","85697","83690","77200","2022-04-22T00:00:00.000","440","88890"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","78133","37742","53","40338","999","6774","3616","19186","1022","7789","38747","16320","1405","2207","36786","1469","2724","1779","1285","10964","61813","76728","75926","41347","76664","75409","76354","76848","67169","2022-04-22T00:00:00.000","393","77740"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"2nd Grade","79279","38486","49","40744","1014","7035","3679","19170","1016","7837","39528","14894","3563","2144","37743","1512","2540","1631","1916","12041","64385","75716","77135","41536","77767","76739","77648","77363","67238","2022-04-22T00:00:00.000","519","78760"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"3rd Grade","79299","38614","41","40644","996","7029","3520","19497","1001","7761","39494","12282","5824","2092","37973","1626","2381","1530","2466","12511","67017","73475","77207","41326","77673","76918","77769","76833","66788","2022-04-22T00:00:00.000","458","78841"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"4th Grade","80699","39141","43","41515","1077","6935","3846","19958","988","7573","40321","10881","6618","2136","38820","1710","2294","1435","3141","12837","69818","74081","78563","41879","78989","78405","79264","77558","67862","2022-04-22T00:00:00.000","459","80240"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"5th Grade","81533","39642","84","41807","1026","6790","3565","20385","998","7758","41010","9158","7299","2100","39489","1841","2129","1303","3771","12689","72375","74234","79433","42044","79692","79404","80230","77762","68844","2022-04-22T00:00:00.000","439","81094"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"6th Grade","83876","40679","147","43050","1103","6873","3782","21421","1006","7802","41888","8495","7951","2094","40833","1897","1995","1299","4146","12290","75381","75925","81782","43043","81979","81881","82577","79730","71586","2022-04-22T00:00:00.000","424","83452"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"7th Grade","86131","41827","190","44114","1154","7116","3789","22036","1071","7879","43086","7953","7973","2121","41340","1985","1938","1293","4851","11941","78178","78158","84010","44791","84146","84193","84838","81280","74190","2022-04-22T00:00:00.000","429","85702"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"8th Grade","86520","41560","349","44611","1138","6945","3908","21895","1084","7814","43734","7639","7715","2156","40333","2019","1902","1126","5246","11706","78881","78805","84364","46187","84501","84618","85394","81274","74814","2022-04-22T00:00:00.000","412","86108"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"9th Grade","85512","41149","362","44001","1121","6819","3793","21117","1013","7482","44167","7625","6987","1964","38357","1964","1791","1264","5762","10998","77887","78525","83548","47155","83548","83721","84248","79750","74514","2022-04-22T00:00:00.000","389","85123"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"AllGrades","1088795","525316","2684","560795","14213","91357","49898","268486","13427","99041","552336","131622","72772","28799","501195","23190","27255","22322","50587","160300","957173","1016023","1059996","587600","1065605","1061540","1066473","1038208","928495","2022-04-22T00:00:00.000","5470","1083322"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Half-day Kindergarten","946","435","3","508","17","18","16","85","7","90","713","46","3","28","282","6","10","31","1","151","900","943","918","664","940","936","915","945","795","2022-04-22T00:00:00.000","0","943"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Kindergarten","69514","33687","73","35754","836","6279","3365","17650","891","6961","33525","14257","590","1834","29891","1340","2476","2003","655","9319","55257","68924","67680","39623","68174","67038","67511","68859","60195","2022-04-22T00:00:00.000","276","69238"
"2020-21","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Pre-Kindergarten","18825","7455","49","11321","247","1201","1379","5493","187","1680","8618","78","1","529","9931","270","789","1340","85","9550","18747","18824","18296","8894","18555","18036","17485","18740","9275","2022-04-22T00:00:00.000","68","18757"
"2020-21","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","1st Grade","49","25","0","24","3","0","0","20","0","5","21","10","0","5","38","1","0","3","2","11","39","49","44","11","48","49","46","47","38","2022-04-22T00:00:00.000","0","49"
