"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","foster_care","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_foster_care","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","81549","39794","0","41755","1422","5970","4048","13380","608","3935","52175","3467","496","1219","33287","1422","0","6300","2027","8744","78082","81053","80330","48262","80127","81549","75249","79522","72805","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","79693","38961","0","40732","1369","6085","3766","12330","642","3509","51987","3126","441","1354","30621","1405","0","6992","2081","8211","76567","79252","78339","49072","78288","79693","72701","77612","71482","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","83524","40610","0","42914","1525","6142","3963","11833","656","3206","56187","2540","333","2187","30419","1204","0","8483","1832","8935","80984","83191","81337","53105","82320","83524","75041","81692","74589","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","77585","37723","0","39862","1226","5633","3467","16425","742","4938","45127","13258","588","1408","39599","1569","0","4017","641","9412","64327","76997","76177","37986","76016","77585","73568","76944","68173","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"2nd Grade","77196","37754","0","39442","1261","5667","3460","15976","736","4804","45254","10956","595","1535","38912","1583","0","3664","733","10907","66240","76601","75661","38284","75613","77196","73532","76463","66289","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"3rd Grade","76039","37216","0","38823","1219","5558","3533","15339","713","4549","45108","8854","541","1401","38361","1495","0","3499","918","11612","67185","75498","74638","37678","74544","76039","72540","75121","64427","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"4th Grade","78152","38039","0","40113","1261","5555","3481","15770","728","4653","46683","7516","466","1374","38938","1680","0","3424","1147","12076","70636","77686","76778","39214","76472","78152","74728","77005","66076","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"5th Grade","78349","38177","0","40172","1372","5484","3620","14809","782","4626","47638","6255","458","1454","37090","1575","0","3160","1494","11884","72094","77891","76895","41259","76774","78349","75189","76855","66465","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"6th Grade","77863","37723","0","40140","1378","5324","3729","14528","638","4516","47721","5277","461","1281","36912","1505","0","3134","1556","10834","72586","77402","76582","40951","76358","77863","74729","76307","67029","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"7th Grade","78005","37917","0","40088","1413","5592","3684","14029","626","4221","48415","3922","485","1215","36164","1462","0","3521","1771","9655","74083","77520","76790","41841","76543","78005","74484","76234","68350","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"8th Grade","78045","37952","0","40093","1382","5693","3659","13834","660","4120","48676","3854","521","1284","34539","1512","0","3984","1903","9344","74191","77524","76761","43506","76533","78045","74061","76142","68701","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"9th Grade","83478","40229","0","43249","1551","6009","4479","14511","699","4204","52018","3799","647","1403","36211","1428","0","6470","2012","9580","79679","82831","82075","47267","82050","83478","77008","81466","73898","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"AllGrades","1045333","506669","0","538664","17816","74839","49475","195035","9179","57478","641240","87241","6715","18902","477753","19382","0","63647","18491","141583","958092","1038618","1026431","567580","1025951","1045333","981686","1026842","903750","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Half-day Kindergarten","55949","27072","0","28877","752","3100","1469","11861","432","3551","34765","9346","455","929","25358","898","0","3221","262","6459","46603","55494","55020","30591","55051","55949","52728","55687","49490","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Kindergarten","19415","9436","0","9979","309","1961","1839","5012","370","1415","8501","5017","207","496","11555","450","0","1222","96","1958","14398","19208","18919","7860","18965","19415","18193","19319","17457","2020-05-22T00:00:00.000"
"2010-11","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Pre-Kindergarten","20491","8066","0","12425","376","1066","1278","5398","147","1231","10985","54","21","362","9787","194","0","2556","18","11972","20437","20470","20129","10704","20297","20491","17935","20473","8519","2020-05-22T00:00:00.000"
