"rowid","schoolyear","organizationlevel","organizationid","organizationname","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","latitude","longitude","physicaladdress","mailingaddress","programdesignid","programdesign","languageid","languageofinstruction","programmodel","dl_lowestgradelevelcode","dl_highestgradelevelcode","duallanguagewebsite","hasdlprogramming","districtcountdlschools","districtcountdlprograms","dataasof"
"12669","2020-21","State","103300","Washington State","Multiple","Northwest Educational Service District 189","100009","31016","Arlington School District","100014","4327","Eagle Creek Elementary","102568","P","48.194062","-122.112337","1216 E 5th, Arlington, Washington, 98223-1119","1216 E 5th, Arlington, Washington, 98223-1119","2","Two-way","243","Spanish","80-20","Kindergarten","3","https://eaglecreek.asd.wednet.edu/","1","1","1","2021-01-27T00:00:00.000"
"12670","2020-21","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3166","Highland Middle School","101362","P","47.62631147","-122.1406908","15027 NE Bel-Red Rd, Bellevue, Washington, 98007","15027 NE Bel-Red Rd, Bellevue, Washington, 98007","2","Two-way","243","Spanish","90-10","6","8","https://bsd405.org/programs/dual-language/","1","6","6","2021-01-27T00:00:00.000"
"12671","2020-21","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","5308","Jing Mei Elementary School","105623","P","47.55219319","-122.1715153","12635 SE 56th Street, Bellevue, Washington, 98006","12635 SE 56th Street, Bellevue, Washington, 98006","2","Two-way","49","Chinese-Mandarin","90-10","Kindergarten","5","https://bsd405.org/programs/mandarin-dual-language-program/","1","6","6","2021-01-27T00:00:00.000"
"12672","2020-21","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3225","Lake Hills Elementary","101366","P","47.60089","-122.148533","14310 SE 12th Street, Bellevue, Washington, 98007-5596","14310 SE 12th Street, Bellevue, Washington, 98007-5596","2","Two-way","243","Spanish","90-10","Kindergarten","5","https://bsd405.org/programs/dual-language/","1","6","6","2021-01-27T00:00:00.000"
"12673","2020-21","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3339","Sherwood Forest Elementary","101372","P","47.630485","-122.120942","16411 NE 24th Street, Bellevue, Washington, 98008-2491","16411 NE 24th Street, Bellevue, Washington, 98008-2491","2","Two-way","243","Spanish","90-10","Kindergarten","5","https://bsd405.org/programs/dual-language/","1","6","6","2021-01-27T00:00:00.000"
"12674","2020-21","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3100","Stevenson Elementary","101361","P","47.617943","-122.150085","14220 NE 8th Street, Bellevue, Washington, 98007-4103","14220 NE 8th Street, Bellevue, Washington, 98007-4103","2","Two-way","243","Spanish","90-10","Kindergarten","5","https://bsd405.org/programs/dual-language/","1","6","6","2021-01-27T00:00:00.000"
"12675","2020-21","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3435","Tillicum Middle School","101375","P","47.599125","-122.125699","1280 160th Avenue SE, Bellevue, Washington, 98008","1280 160th Avenue SE, Bellevue, Washington, 98008","2","Two-way","49","Chinese-Mandarin","90-10","6","8","https://bsd405.org/programs/mandarin-dual-language-program/","1","6","6","2021-01-27T00:00:00.000"
"12676","2020-21","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","27403","Bethel School District","100022","3649","Chester H Thompson Elementary","102296","P","47.112888","-122.426206","303 159TH ST E, TACOMA, Washington, 98445-1199","303 159TH ST E, TACOMA, Washington, 98445-1199","2","Two-way","243","Spanish","90-10","Kindergarten","4","http://bethelsd.schoolwires.net/Domain/318","1","1","1","2021-01-27T00:00:00.000"
"12677","2020-21","State","103300","Washington State","Multiple","Olympic Educational Service District 114","100005","18100","Bremerton School District","100026","3641","Armin Jahr Elementary","101676","P","47.592845","-122.63571","800 Dibb Street, Bremerton, Washington, 98310-2777","800 Dibb Street, Bremerton, Washington, 98310-2777","2","Two-way","243","Spanish","50-50","Kindergarten","5","https://www.bremertonschools.org/Page/6853","1","4","4","2021-01-27T00:00:00.000"
"12678","2020-21","State","103300","Washington State","Multiple","Olympic Educational Service District 114","100005","18100","Bremerton School District","100026","4441","Mountain View Middle School","101683","P","47.581884","-122.612085","2400 Perry Avenue, Bremerton, Washington, 98310-5139","2400 Perry Avenue, Bremerton, Washington, 98310-5139","2","Two-way","243","Spanish","50-50","6","8","https://www.bremertonschools.org/Page/6853","1","4","4","2021-01-27T00:00:00.000"
