"school_year","school_name","city","public_private","public_school_district","enrollment","reported","calculated_all_pbe_count","calculated_all_pbe_percent","hc_practitioner_counseled_pbe_count","hc_practitioner_counseled_pbe_percent","pre_jan_pbe_count","pre_jan_pbe_percent","personal_beliefs_exemption_count","personal_beliefs_exemption_percent","religious_pbe_count","religious_pbe_percent","conditional_count","conditional_percent","dtp_count","dtp_percent","hepb_count","hepb_percent","mmr_count","mmr_percent","polio_count","polio_percent","permanent_medical_exemption_count","permanent_medical_exemption_percent","up_to_date_count","up_to_date_percent","vari_count","vari_percent","overdue_count","overdue_percent","others_count","others_percent","location","latitude","longitude","school_code","unique_id"
"2014-2015","EDNA MAGUIRE ELEMENTARY","MILL VALLEY","PUBLIC","MILL VALLEY ELEMENTARY","105","Y","13","12.38","13","12.38","0","0","13","12.38","0","0","3","2.86","89","84.76","91","86.67","91","86.67","91","86.67","0","0","89","84.76","91","86.67",,,,,"
,  
(37.9075506, -122.5239276)","37.9075506","-122.5239276","6024418","6024418_2014-2015"
"2013-2014","EDNA MAGUIRE ELEMENTARY","MILL VALLEY","PUBLIC","MILL VALLEY ELEMENTARY","115","Y","11","9.57","0","0","0","0","11","9.57","0","0","17","14.78","96","83.48","99","86.09","94","81.74","97","84.35","0","0","87","75.65","102","88.7",,,,,"
,  
(37.9075506, -122.5239276)","37.9075506","-122.5239276","6024418","6024418_2013-2014"
"2015-2016","ELIZABETH CHAPONOT","SAUSALITO","PRIVATE",,"31","Y","0","0","0","0",,,"0","0","0","0","12","38.71","22","70.97","27","87.1","20","64.52","28","90.32","0","0","19","61.29","30","96.77","0","0",,,"
,  
(37.8691099, -122.5058385)","37.8691099","-122.5058385","7037427","7037427_2015-2016"
"2018-2019","GATE ACADEMY","SAN RAFAEL","PRIVATE",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.0349962, -122.5284576)","38.0349962","-122.5284576","6906465","6906465_2018-2019"
"2017-2018","GATE ACADEMY","SAN RAFAEL","PRIVATE",,"8","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.0349962, -122.5284576)","38.0349962","-122.5284576","6906465","6906465_2017-2018"
"2016-2017","GATE ACADEMY","SAN RAFAEL","PRIVATE",,"4","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.0349962, -122.5284576)","38.0349962","-122.5284576","6906465","6906465_2016-2017"
"2018-2019","GLENWOOD ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","67","Y",,,,,,,,,,,"1","1",,"98","65","97",,"98",,"98","1","1","65","97",,"98",,,,,"
,  
(37.983604, -122.4788013)","37.983604","-122.4788013","6024780","6024780_2018-2019"
"2017-2018","GLENWOOD ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","66","Y",,,,,,,,,,,"2","3",,"98",,"98",,"98",,"98","0","0","64","97",,"98",,,"0","0","
,  
(37.983604, -122.4788013)","37.983604","-122.4788013","6024780","6024780_2017-2018"
"2016-2017","GLENWOOD ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","67","Y","0","0",,,,,"0","0",,,"1","2","64","96","64","96","64","96","64","96","2","3","64","96","64","96","0","0","0","0","
,  
(37.983604, -122.4788013)","37.983604","-122.4788013","6024780","6024780_2016-2017"
"2015-2016","GLENWOOD ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","92","Y","2","2.18","0","0",,,"1","1.09","1","1.09","11","11.96","84","91.3","85","92.39","84","91.3","85","92.39","0","0","80","86.96","87","94.57","0","0",,,"
,  
(37.983604, -122.4788013)","37.983604","-122.4788013","6024780","6024780_2015-2016"
"2014-2015","GLENWOOD ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","84","Y","1","1.19","1","1.19","0","0","1","1.19","0","0","29","34.52","59","70.24","73","86.9","66","78.57","67","79.76","0","0","54","64.29","79","94.05",,,,,"
,  
(37.983604, -122.4788013)","37.983604","-122.4788013","6024780","6024780_2014-2015"
"2013-2014","GLENWOOD ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","80","Y","2","2.5","0","0","0","0","2","2.5","0","0","34","42.5","53","66.25","66","82.5","54","67.5","53","66.25","0","0","44","55","68","85",,,,,"
,  
(37.983604, -122.4788013)","37.983604","-122.4788013","6024780","6024780_2013-2014"
"2015-2016","GOOD SHEPHERD LUTHERAN","NOVATO","PRIVATE",,"23","Y","1","4.35","1","4.35",,,"1","4.35","0","0","0","0","22","95.65","22","95.65","22","95.65","22","95.65","0","0","22","95.65","22","95.65","0","0",,,"
,  
(38.0812448, -122.5572924)","38.0812448","-122.5572924","6911150","6911150_2015-2016"
"2014-2015","GOOD SHEPHERD LUTHERAN","NOVATO","PRIVATE",,"24","Y","1","4.17","1","4.17","0","0","1","4.17","0","0","0","0","23","95.83","23","95.83","23","95.83","23","95.83","0","0","23","95.83","23","95.83",,,,,"
,  
(38.0812448, -122.5572924)","38.0812448","-122.5572924","6911150","6911150_2014-2015"
"2018-2019","GOOD SHEPHERD LUTHERAN SCHOOL","NOVATO","PRIVATE",,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.0812089, -122.5572692)","38.0812089","-122.5572692","6911150","6911150_2018-2019"
"2017-2018","GOOD SHEPHERD LUTHERAN SCHOOL","NOVATO","PRIVATE",,"22","Y",,,,,,,,,,,,"5",,"95",,"95",,"95",,"95",,"5",,"95",,"95",,,,"5","
,  
(38.0812448, -122.5572924)","38.0812448","-122.5572924","6911150","6911150_2017-2018"
"2016-2017","GOOD SHEPHERD LUTHERAN SCHOOL","NOVATO","PRIVATE",,"19","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.0812448, -122.5572924)","38.0812448","-122.5572924","6911150","6911150_2016-2017"
"2018-2019","GREENWOOD SCHOOL","MILL VALLEY","PRIVATE",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.9071576, -122.5458772)","37.9071576","-122.5458772","7083660","7083660_2018-2019"
"2017-2018","GREENWOOD SCHOOL","MILL VALLEY","PRIVATE",,"16","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.9071576, -122.5458772)","37.9071576","-122.5458772","7083660","7083660_2017-2018"
"2016-2017","GREENWOOD SCHOOL","MILL VALLEY","PRIVATE",,"22","Y","4","18",,,,,"4","18",,,"5","23","14","64","13","59","15","68","14","64","2","9","11","50","17","77","0","0","0","0","
,  
(37.9071576, -122.5458772)","37.9071576","-122.5458772","7083660","7083660_2016-2017"
"2015-2016","GREENWOOD SCHOOL","MILL VALLEY","PRIVATE",,"21","Y","0","0",,,,,,,,,,,,,,,,,,,,,,,"12","57.14",,,,,"
,  
(37.9071576, -122.5458772)","37.9071576","-122.5458772","7083660","7083660_2015-2016"
"2014-2015","GREENWOOD SCHOOL","MILL VALLEY","PRIVATE",,"18","Y","11","61.11","11","61.11","0","0","11","61.11","0","0","0","0","7","38.89","7","38.89","7","38.89","7","38.89","0","0","7","38.89","7","38.89",,,,,"
,  
(37.9071576, -122.5458772)","37.9071576","-122.5458772","7083660","7083660_2014-2015"
"2018-2019","HAMILTON MEADOW PARK","NOVATO","PUBLIC","NOVATO UNIFIED","73","Y",,,,,,,,,,,,"2",,"98",,"98",,"98",,"98",,"2",,"98",,"98",,,,,"
,  
(38.0543156, -122.5295788)","38.0543156","-122.5295788","6024491","6024491_2018-2019"
"2017-2018","HAMILTON MEADOW PARK","NOVATO","PUBLIC","NOVATO UNIFIED","90","Y",,,,,,,,,,,"3","3","87","97",,"98",,"98",,"98","1","1","86","96",,"98",,,"0","0","
,  
(38.0543156, -122.5295788)","38.0543156","-122.5295788","6024491","6024491_2017-2018"
"2016-2017","HAMILTON MEADOW PARK","NOVATO","PUBLIC","NOVATO UNIFIED","75","Y","0","0",,,,,"0","0",,,"2","3","73","97","73","97","73","97","73","97","0","0","73","97","73","97","0","0","0","0","
,  
(38.0543156, -122.5295788)","38.0543156","-122.5295788","6024491","6024491_2016-2017"
"2015-2016","HAMILTON MEADOW PARK","NOVATO","PUBLIC","NOVATO UNIFIED","78","Y","2","2.56","2","2.56",,,"2","2.56","0","0","1","1.28","75","96.15","76","97.44","75","96.15","75","96.15","0","0","75","96.15","76","97.44","0","0",,,"
,  
(38.0543156, -122.5295788)","38.0543156","-122.5295788","6024491","6024491_2015-2016"
"2014-2015","HAMILTON MEADOW PARK","NOVATO","PUBLIC","NOVATO UNIFIED","64","Y","2","3.13","2","3.13","0","0","2","3.13","0","0","2","3.13","61","95.31","62","96.88","61","95.31","62","96.88","0","0","60","93.75","62","96.88",,,,,"
,  
(38.0543156, -122.5295788)","38.0543156","-122.5295788","6024491","6024491_2014-2015"
"2013-2014","HAMILTON MEADOW PARK","NOVATO","PUBLIC","NOVATO UNIFIED","99","Y","1","1.01","0","0","0","0","1","1.01","0","0","2","2.02","97","97.98","98","98.99","96","96.97","97","97.98","0","0","96","96.97","98","98.99",,,,,"
,  
(38.0543156, -122.5295788)","38.0543156","-122.5295788","6024491","6024491_2013-2014"
"2018-2019","HIDDEN VALLEY ELEMENTARY","SAN ANSELMO","PUBLIC","ROSS VALLEY ELEMENTARY","48","Y",,,,,,,,,,,,"5",,"95",,"95",,"95",,"95",,"5",,"95",,"95",,,,,"
,  
(38.005577, -122.573682)","38.005577","-122.573682","124578","0124578_2018-2019"
"2017-2018","HIDDEN VALLEY ELEMENTARY","SAN ANSELMO","PUBLIC","ROSS VALLEY ELEMENTARY","45","Y",,,,,,,,,,,,"5",,"95",,"95",,"95",,"95",,"5",,"95",,"95",,,,"5","
,  
(38.005577, -122.573682)","38.005577","-122.573682","124578","0124578_2017-2018"
"2016-2017","HIDDEN VALLEY ELEMENTARY","SAN ANSELMO","PUBLIC","ROSS VALLEY ELEMENTARY","48","Y","0","0",,,,,"0","0",,,"2","4",,,"45","94",,,,,"1","2","45","94",,,"0","0","0","0","
,  
(38.005577, -122.573682)","38.005577","-122.573682","124578","124578_2016-2017"
"2015-2016","HIDDEN VALLEY ELEMENTARY","SAN ANSELMO","PUBLIC","ROSS VALLEY ELEMENTARY","62","Y","1","1.61","1","1.61",,,"1","1.61","0","0","0","0","61","98.39","61","98.39","61","98.39","61","98.39","0","0","61","98.39","61","98.39","0","0",,,"
,  
(38.005577, -122.573682)","38.005577","-122.573682","124578","124578_2015-2016"
"2014-2015","HIDDEN VALLEY ELEMENTARY","SAN ANSELMO","PUBLIC","ROSS VALLEY ELEMENTARY","58","Y","4","6.9","4","6.9","0","0","4","6.9","0","0","0","0","54","93.1","54","93.1","54","93.1","54","93.1","0","0","54","93.1","54","93.1",,,,,"
,  
(38.005577, -122.573682)","38.005577","-122.573682","124578","124578_2014-2015"
"2013-2014","HIDDEN VALLEY ELEMENTARY","SAN ANSELMO","PUBLIC","ROSS VALLEY ELEMENTARY","54","Y","6","11.11","0","0","0","0","6","11.11","0","0","0","0","48","88.89","48","88.89","48","88.89","48","88.89","0","0","48","88.89","48","88.89",,,,,"
,  
(38.005577, -122.573682)","38.005577","-122.573682","124578","124578_2013-2014"
"2018-2019","INVERNESS ELEMENTARY","INVERNESS","PUBLIC","SHORELINE UNIFIED","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.0984719, -122.8558444)","38.0984719","-122.8558444","6024947","6024947_2018-2019"
"2017-2018","INVERNESS ELEMENTARY","INVERNESS","PUBLIC","SHORELINE UNIFIED","19","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.0984719, -122.8558444)","38.0984719","-122.8558444","6024947","6024947_2017-2018"
"2016-2017","INVERNESS ELEMENTARY","INVERNESS","PUBLIC","SHORELINE UNIFIED","21","Y","1","5",,,,,"1","5",,,"1","5",,,,,"19","91",,,"0","0","19","91",,,"0","0","0","0","
,  
(38.0984719, -122.8558444)","38.0984719","-122.8558444","6024947","6024947_2016-2017"
"2015-2016","INVERNESS ELEMENTARY","INVERNESS","PUBLIC","SHORELINE UNIFIED","21","Y","0","0","0","0",,,"0","0","0","0","5","23.81","20","95.24","18","85.71","19","90.48","19","90.48","0","0","16","76.19","21","100","0","0",,,"
,  
(38.0984719, -122.8558444)","38.0984719","-122.8558444","6024947","6024947_2015-2016"
"2014-2015","INVERNESS ELEMENTARY","INVERNESS","PUBLIC","SHORELINE UNIFIED","21","Y","1","4.76","1","4.76","0","0","1","4.76","0","0","4","19.05","18","85.71","17","80.95","16","76.19","17","80.95","0","0","16","76.19","17","80.95",,,,,"
,  
(38.0984719, -122.8558444)","38.0984719","-122.8558444","6024947","6024947_2014-2015"
"2013-2014","INVERNESS ELEMENTARY","INVERNESS","PUBLIC","SHORELINE UNIFIED","18","Y","2","11.11","0","0","0","0","2","11.11","0","0","4","22.22","13","72.22","14","77.78","14","77.78","14","77.78","0","0","12","66.67","14","77.78",,,,,"
,  
(38.0984719, -122.8558444)","38.0984719","-122.8558444","6024947","6024947_2013-2014"
"2017-2018","IRENE M. HUNT SCHOOL OF MARIN / SUNNY HILLS SERVICES","SAN ANSELMO","PRIVATE",,"1","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.9831097, -122.5606284)","37.9831097","-122.5606284","6910046","6910046_2017-2018"
"2016-2017","IRENE M. HUNT SCHOOL OF MARIN / SUNNY HILLS SERVICES","SAN ANSELMO","PRIVATE",,"1","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.9831097, -122.5606284)","37.9831097","-122.5606284","6910046","6910046_2016-2017"
"2018-2019","LAGUNA ELEMENTARY","PETALUMA","PUBLIC","LAGUNA JOINT ELEMENTARY","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.199459, -122.715551)","38.199459","-122.715551","6024327","6024327_2018-2019"
"2017-2018","LAGUNA ELEMENTARY","PETALUMA","PUBLIC","LAGUNA JOINT ELEMENTARY","1","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.199459, -122.715551)","38.199459","-122.715551","6024327","6024327_2017-2018"
"2016-2017","LAGUNA ELEMENTARY","PETALUMA","PUBLIC","LAGUNA JOINT ELEMENTARY","4","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.199459, -122.715551)","38.199459","-122.715551","6024327","6024327_2016-2017"
"2018-2019","LAGUNITAS ELEMENTARY","SAN GERONIMO","PUBLIC","LAGUNITAS ELEMENTARY","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.014568, -122.6609623)","38.014568","-122.6609623","6024335","6024335_2018-2019"
"2017-2018","LAGUNITAS ELEMENTARY","SAN GERONIMO","PUBLIC","LAGUNITAS ELEMENTARY","10","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.014568, -122.6609623)","38.014568","-122.6609623","6024335","6024335_2017-2018"
"2016-2017","LAGUNITAS ELEMENTARY","SAN GERONIMO","PUBLIC","LAGUNITAS ELEMENTARY","12","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.014568, -122.6609623)","38.014568","-122.6609623","6024335","6024335_2016-2017"
"2015-2016","LAGUNITAS ELEMENTARY","SAN GERONIMO","PUBLIC","LAGUNITAS ELEMENTARY","12","Y","1","8.33","1","8.33",,,"1","8.33","0","0","0","0","11","91.67","11","91.67","11","91.67","11","91.67","0","0","11","91.67","11","91.67","0","0",,,"
,  
(38.014568, -122.6609623)","38.014568","-122.6609623","6024335","6024335_2015-2016"
"2014-2015","LAGUNITAS ELEMENTARY","SAN GERONIMO","PUBLIC","LAGUNITAS ELEMENTARY","14","Y","1","7.14","1","7.14","0","0","1","7.14","0","0","0","0","13","92.86","13","92.86","13","92.86","13","92.86","0","0","13","92.86","13","92.86",,,,,"
,  
(38.014568, -122.6609623)","38.014568","-122.6609623","6024335","6024335_2014-2015"
"2013-2014","LAGUNITAS ELEMENTARY","SAN GERONIMO","PUBLIC","LAGUNITAS ELEMENTARY","10","Y","2","20","0","0","0","0","2","20","0","0","3","30","6","60","6","60","7","70","7","70","0","0","5","50","7","70",,,,,"
,  
(38.014568, -122.6609623)","38.014568","-122.6609623","6024335","6024335_2013-2014"
"2018-2019","LAUREL DELL ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","24","Y",,,,,,,,,,,"2","8","21","88","22","92","22","92","21","88","1","4","21","88",,"95",,,,,"
,  
(37.9639499, -122.526288)","37.9639499","-122.526288","6024814","6024814_2018-2019"
"2017-2018","LAUREL DELL ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","43","Y",,,,,,,,,,,"3","7",,"95",,"95",,"95",,"95","0","0","40","93",,"95",,,"0","0","
,  
(37.9639499, -122.526288)","37.9639499","-122.526288","6024814","6024814_2017-2018"
"2016-2017","LAUREL DELL ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","71","Y","0","0",,,,,"0","0",,,"6","9","64","90","67","94",,,"69","97","2","3","63","89",,,"0","0","0","0","
,  
(37.9639499, -122.526288)","37.9639499","-122.526288","6024814","6024814_2016-2017"
"2015-2016","LAUREL DELL ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","47","Y","0","0","0","0",,,"0","0","0","0","6","12.77","43","91.49","43","91.49","42","89.36","42","89.36","0","0","41","87.23","44","93.62","0","0",,,"
,  
(37.9639499, -122.526288)","37.9639499","-122.526288","6024814","6024814_2015-2016"
"2014-2015","LAUREL DELL ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","22","Y","0","0","0","0","0","0","0","0","0","0","4","18.18","19","86.36","19","86.36","18","81.82","19","86.36","0","0","18","81.82","21","95.45",,,,,"
,  
(37.9639499, -122.526288)","37.9639499","-122.526288","6024814","6024814_2014-2015"
"2013-2014","LAUREL DELL ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","45","Y","0","0","0","0","0","0","0","0","0","0","11","24.44","37","82.22","40","88.89","37","82.22","38","84.44","0","0","34","75.56","40","88.89",,,,,"
,  
(37.9639499, -122.526288)","37.9639499","-122.526288","6024814","6024814_2013-2014"
"2017-2018","LINCOLN ELEMENTARY","PETALUMA","PUBLIC","LINCOLN ELEMENTARY","2","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.131726, -122.762193)","38.131726","-122.762193","6024392","6024392_2017-2018"
"2016-2017","LINCOLN ELEMENTARY","PETALUMA","PUBLIC","LINCOLN ELEMENTARY","5","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.131726, -122.762193)","38.131726","-122.762193","6024392","6024392_2016-2017"
"2018-2019","LOMA VERDE ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","74","Y",,,,,,,,,,,,"2",,"98",,"98",,"98",,"98",,"2",,"98",,"98",,,,,"
,  
(38.0647802, -122.5464361)","38.0647802","-122.5464361","6024509","6024509_2018-2019"
"2017-2018","LOMA VERDE ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","85","Y",,,,,,,,,,,,"2",,"98",,"98",,"98",,"98",,"2",,"98",,"98",,,,"2","
,  
(38.0647802, -122.5464361)","38.0647802","-122.5464361","6024509","6024509_2017-2018"
"2016-2017","LOMA VERDE ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","91","Y","0","0",,,,,"0","0",,,"1","1",,,,,,,"88","97","2","2","88","97",,,"0","0","0","0","
,  
(38.0647802, -122.5464361)","38.0647802","-122.5464361","6024509","6024509_2016-2017"
"2015-2016","LOMA VERDE ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","77","Y","2","2.6","2","2.6",,,"2","2.6","0","0","0","0","75","97.4","75","97.4","75","97.4","75","97.4","0","0","75","97.4","75","97.4","0","0",,,"
,  
(38.0647802, -122.5464361)","38.0647802","-122.5464361","6024509","6024509_2015-2016"
"2014-2015","LOMA VERDE ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","82","Y","3","3.66","1","1.22","0","0","2","2.44","1","1.22","0","0","80","97.56","80","97.56","80","97.56","80","97.56","0","0","80","97.56","80","97.56",,,,,"
,  
(38.0647802, -122.5464361)","38.0647802","-122.5464361","6024509","6024509_2014-2015"
"2013-2014","LOMA VERDE ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","107","Y","2","1.87","0","0","0","0","2","1.87","0","0","0","0","105","98.13","105","98.13","105","98.13","105","98.13","0","0","105","98.13","105","98.13",,,,,"
,  
(38.0647802, -122.5464361)","38.0647802","-122.5464361","6024509","6024509_2013-2014"
"2018-2019","LU SUTTON ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","63","Y",,,,,,,,,,,,"2",,"98",,"98",,"98",,"98",,"2",,"98",,"98",,,,,"
,  
(38.105445, -122.5857389)","38.105445","-122.5857389","6024517","6024517_2018-2019"
"2017-2018","LU SUTTON ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","71","Y",,,,,,,,,,,"2","3",,"98",,"98",,"98",,"98","0","0","69","97",,"98",,,"0","0","
,  
(38.105445, -122.5857389)","38.105445","-122.5857389","6024517","6024517_2017-2018"
"2016-2017","LU SUTTON ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","78","Y","0","0",,,,,"0","0",,,"3","4",,,"75","96",,,"76","97","1","1","74","95",,,"0","0","0","0","
,  
(38.105445, -122.5857389)","38.105445","-122.5857389","6024517","6024517_2016-2017"
"2015-2016","LU SUTTON ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","81","Y","2","2.47","2","2.47",,,"2","2.47","0","0","0","0","78","96.3","78","96.3","78","96.3","78","96.3","1","1.23","78","96.3","78","96.3","0","0",,,"
,  
(38.105445, -122.5857389)","38.105445","-122.5857389","6024517","6024517_2015-2016"
"2014-2015","LU SUTTON ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","71","Y","2","2.82","2","2.82","0","0","2","2.82","0","0","0","0","67","94.37","67","94.37","67","94.37","67","94.37","2","2.82","67","94.37","67","94.37",,,,,"
,  
(38.105445, -122.5857389)","38.105445","-122.5857389","6024517","6024517_2014-2015"
"2013-2014","LU SUTTON ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","67","Y","3","4.48","0","0","0","0","3","4.48","0","0","1","1.49","63","94.03","64","95.52","63","94.03","63","94.03","0","0","63","94.03","64","95.52",,,,,"
,  
(38.105445, -122.5857389)","38.105445","-122.5857389","6024517","6024517_2013-2014"
"2018-2019","LYCEE FRANCAIS DE SAN FRANCISCO","SAUSALITO","PRIVATE",,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.8691099, -122.5058385)","37.8691099","-122.5058385","7037427","7037427_2018-2019"
"2017-2018","LYCEE FRANCAIS DE SAN FRANCISCO","SAUSALITO","PRIVATE",,"27","Y",,,,,,,,,,,"6","22","21","78",,"95","21","78","22","81","0","0","21","78",,"95",,,"0","0","
,  
(37.8691099, -122.5058385)","37.8691099","-122.5058385","7037427","7037427_2017-2018"
"2016-2017","LYCEE FRANCAIS DE SAN FRANCISCO","SAUSALITO","PRIVATE",,"29","Y","0","0",,,,,"0","0",,,"4","14","25","86","26","90","24","83","26","90","1","3","24","83","27","93","0","0","0","0","
,  
(37.8691099, -122.5058385)","37.8691099","-122.5058385","7037427","7037427_2016-2017"
"2014-2015","LYCEE FRANCAIS DE SAN FRANCISCO","SAUSALITO","PRIVATE",,"29","Y","4","13.8","0","0","2","6.9","2","6.9","0","0","5","17.24","23","79.31","25","86.21","23","79.31","25","86.21","1","3.45","21","72.41","26","89.66",,,,,"
,  
(37.8691099, -122.5058385)","37.8691099","-122.5058385","7037427","7037427_2014-2015"
"2013-2014","LYCEE FRANCAIS DE SAN FRANCISCO","SAUSALITO","PRIVATE",,"35","Y","3","8.57","0","0","0","0","3","8.57","0","0","10","28.57","24","68.57","30","85.71","23","65.71","25","71.43","0","0","22","62.86","31","88.57",,,,,"
,  
(37.8691099, -122.5058385)","37.8691099","-122.5058385","7037427","7037427_2013-2014"
"2018-2019","LYNWOOD ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","67","Y",,,,,,,,,,,"0","0","65","97","62","93","65","97","62","93","2","3","62","93","65","97","3","4",,,"
,  
(38.0866497, -122.5618435)","38.0866497","-122.5618435","6024525","6024525_2018-2019"
"2017-2018","LYNWOOD ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","58","Y",,,,,,,,,,,,"2",,"98",,"98",,"98",,"98",,"2",,"98",,"98",,,,"2","
,  
(38.0866497, -122.5618435)","38.0866497","-122.5618435","6024525","6024525_2017-2018"
"2016-2017","LYNWOOD ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","66","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.0866497, -122.5618435)","38.0866497","-122.5618435","6024525","6024525_2016-2017"
"2015-2016","LYNWOOD ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","58","Y","0","0","0","0",,,"0","0","0","0","0","0","58","100","58","100","58","100","58","100","0","0","58","100","58","100","0","0",,,"
,  
(38.0866497, -122.5618435)","38.0866497","-122.5618435","6024525","6024525_2015-2016"
"2014-2015","LYNWOOD ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","55","Y","0","0","0","0","0","0","0","0","0","0","1","1.82","55","100","54","98.18","55","100","55","100","0","0","54","98.18","55","100",,,,,"
,  
(38.0866497, -122.5618435)","38.0866497","-122.5618435","6024525","6024525_2014-2015"
"2013-2014","LYNWOOD ELEMENTARY","NOVATO","PUBLIC","NOVATO UNIFIED","54","Y","0","0","0","0","0","0","0","0","0","0","4","7.41","51","94.44","52","96.3","51","94.44","52","96.3","0","0","50","92.59","53","98.15",,,,,"
,  
(38.0866497, -122.5618435)","38.0866497","-122.5618435","6024525","6024525_2013-2014"
"2018-2019","MANOR ELEMENTARY","FAIRFAX","PUBLIC","ROSS VALLEY ELEMENTARY","46","Y",,,,,,,,,,,,"5",,"95",,"95",,"95",,"95",,"5",,"95",,"95",,,,,"
,  
(37.996867, -122.593591)","37.996867","-122.593591","6024277","6024277_2018-2019"
"2017-2018","MANOR ELEMENTARY","FAIRFAX","PUBLIC","ROSS VALLEY ELEMENTARY","38","Y",,,,,,,,,,,"1","3","35","92",,"95","35","92","34","89","3","8","34","89",,"95",,,"0","0","
,  
(37.996867, -122.593591)","37.996867","-122.593591","6024277","6024277_2017-2018"
"2016-2017","MANOR ELEMENTARY","FAIRFAX","PUBLIC","ROSS VALLEY ELEMENTARY","41","Y","0","0",,,,,"0","0",,,"2","5","37","90","36","88","37","90","37","90","3","7","36","88","37","90","0","0","0","0","
,  
(37.996867, -122.593591)","37.996867","-122.593591","6024277","6024277_2016-2017"
"2015-2016","MANOR ELEMENTARY","FAIRFAX","PUBLIC","ROSS VALLEY ELEMENTARY","65","Y","9","13.85","9","13.85",,,"9","13.85","0","0","0","0","56","86.15","56","86.15","56","86.15","56","86.15","0","0","56","86.15","56","86.15","0","0",,,"
,  
(37.996867, -122.593591)","37.996867","-122.593591","6024277","6024277_2015-2016"
