"school_year","school_name","city","public_private","public_school_district","enrollment","reported","calculated_all_pbe_count","calculated_all_pbe_percent","hc_practitioner_counseled_pbe_count","hc_practitioner_counseled_pbe_percent","pre_jan_pbe_count","pre_jan_pbe_percent","personal_beliefs_exemption_count","personal_beliefs_exemption_percent","religious_pbe_count","religious_pbe_percent","conditional_count","conditional_percent","dtp_count","dtp_percent","hepb_count","hepb_percent","mmr_count","mmr_percent","polio_count","polio_percent","permanent_medical_exemption_count","permanent_medical_exemption_percent","up_to_date_count","up_to_date_percent","vari_count","vari_percent","overdue_count","overdue_percent","others_count","others_percent","location","latitude","longitude","school_code","unique_id"
"2017-2018","BAHIA VISTA ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","94","Y",,,,,,,,,,,,"2",,"98",,"98",,"98",,"98",,"2",,"98",,"98",,,,"2","
,  
(37.9659181, -122.4982085)","37.9659181","-122.4982085","6024756","6024756_2017-2018"
"2016-2017","BAHIA VISTA ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","96","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.9659181, -122.4982085)","37.9659181","-122.4982085","6024756","6024756_2016-2017"
"2015-2016","BAHIA VISTA ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","96","Y","0","0","0","0",,,"0","0","0","0","8","8.33","92","95.83","92","95.83","92","95.83","95","98.96","0","0","88","91.67","95","98.96","0","0",,,"
,  
(37.9659181, -122.4982085)","37.9659181","-122.4982085","6024756","6024756_2015-2016"
"2014-2015","BAHIA VISTA ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","94","Y","0","0","0","0","0","0","0","0","0","0","11","11.7","91","96.81","94","100","85","90.43","91","96.81","0","0","83","88.3","94","100",,,,,"
,  
(37.9659181, -122.4982085)","37.9659181","-122.4982085","6024756","6024756_2014-2015"
"2013-2014","BAHIA VISTA ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","96","Y","0","0","0","0","0","0","0","0","0","0","6","6.25","90","93.75","96","100","93","96.88","92","95.83","0","0","90","93.75","96","100",,,,,"
,  
(37.9659181, -122.4982085)","37.9659181","-122.4982085","6024756","6024756_2013-2014"
"2013-2014","BAYSIDE","SAUSALITO","PUBLIC","SAUSALITO MARIN CITY","27","Y","0","0","0","0","0","0","0","0","0","0","11","40.74","23","85.19","26","96.3","21","77.78","22","81.48","0","0","16","59.26","24","88.89",,,,,"
,  
(37.8725675, -122.5138054)","37.8725675","-122.5138054","6024889","6024889_2013-2014"
"2018-2019","BAYSIDE MARTIN LUTHER KING JR. ACADEMY","SAUSALITO","PUBLIC","SAUSALITO MARIN CITY","22","Y",,,,,,,,,,,,"5",,"95",,"95",,"95",,"95",,"5",,"95",,"95",,,,,"
,  
(37.8675151, -122.498911)","37.8675151","-122.498911","6024889","6024889_2018-2019"
"2017-2018","BAYSIDE MARTIN LUTHER KING JR. ACADEMY","SAUSALITO","PUBLIC","SAUSALITO MARIN CITY","26","Y",,,,,,,,,,,,"5",,"95",,"95",,"95",,"95",,"5",,"95",,"95",,,,"5","
,  
(37.8675151, -122.498911)","37.8675151","-122.498911","6024889","6024889_2017-2018"
"2016-2017","BAYSIDE MARTIN LUTHER KING JR. ACADEMY","SAUSALITO","PUBLIC","SAUSALITO MARIN CITY","31","Y","0","0",,,,,"0","0",,,"0","0",,,"29","94",,,"29","94","0","0","29","94",,,"2","7","0","0","
,  
(37.8725675, -122.5138054)","37.8725675","-122.5138054","6024889","6024889_2016-2017"
"2015-2016","BAYSIDE MARTIN LUTHER KING JR. ACADEMY","SAUSALITO","PUBLIC","SAUSALITO MARIN CITY","19","Y","0","0","0","0",,,"0","0","0","0","1","5.26","19","100","19","100","18","94.74","19","100","0","0","18","94.74","19","100","0","0",,,"
,  
(37.8675151, -122.498911)","37.8675151","-122.498911","6024889","6024889_2015-2016"
