"year","month","is_annual_value","age_group","patient_count_opioids","population","patient_count_as_percent_of_population","unique_id"
"2017",,"1",">= 65 yrs","15520","258349","6.01","2017__>= 65 yrs"
"2017",,"1","45-64 yrs","15064","258349","5.83","2017__45-64 yrs"
"2017",,"1","25-44 yrs","7821","258349","3.03","2017__25-44 yrs"
"2017",,"1","15-24 yrs","3282","258349","1.27","2017__15-24 yrs"
"2017",,"1","=< 14 yrs","866","258349","0.34","2017__=< 14 yrs"
"2016",,"1",">= 65 yrs","11314","258349","4.38","2016__>= 65 yrs"
"2016",,"1","45-64 yrs","11653","258349","4.51","2016__45-64 yrs"
"2016",,"1","25-44 yrs","5742","258349","2.22","2016__25-44 yrs"
"2016",,"1","15-24 yrs","2414","258349","0.93","2016__15-24 yrs"
"2016",,"1","=< 14 yrs","596","258349","0.23","2016__=< 14 yrs"
"2015",,"1",">= 65 yrs","15779","258349","6.11","2015__>= 65 yrs"
"2015",,"1","45-64 yrs","17926","258349","6.94","2015__45-64 yrs"
"2015",,"1","25-44 yrs","9898","258349","3.83","2015__25-44 yrs"
"2015",,"1","15-24 yrs","3765","258349","1.46","2015__15-24 yrs"
"2015",,"1","=< 14 yrs","1063","258349","0.41","2015__=< 14 yrs"
"2019","1",,"15-24 yrs","241","251685","0.1","2019_1_15-24 yrs"
"2019","1",,"25-44 yrs","791","251685","0.31","2019_1_25-44 yrs"
"2019","1",,"45-64 yrs","2470","251685","0.98","2019_1_45-64 yrs"
"2019","1",,"=< 14 yrs","59","251685","0.02","2019_1_=< 14 yrs"
"2019","1",,">= 65 yrs","3164","251685","1.26","2019_1_>= 65 yrs"
"2019","2",,"15-24 yrs","200","251685","0.08","2019_2_15-24 yrs"
"2019","2",,"25-44 yrs","741","251685","0.29","2019_2_25-44 yrs"
"2019","2",,"45-64 yrs","2224","251685","0.88","2019_2_45-64 yrs"
"2019","2",,"=< 14 yrs","51","251685","0.02","2019_2_=< 14 yrs"
"2019","2",,">= 65 yrs","2952","251685","1.17","2019_2_>= 65 yrs"
"2019","3",,"15-24 yrs","208","251685","0.08","2019_3_15-24 yrs"
"2019","3",,"25-44 yrs","771","251685","0.31","2019_3_25-44 yrs"
"2019","3",,"45-64 yrs","2388","251685","0.95","2019_3_45-64 yrs"
"2019","3",,"=< 14 yrs","54","251685","0.02","2019_3_=< 14 yrs"
"2019","3",,">= 65 yrs","3029","251685","1.2","2019_3_>= 65 yrs"
"2019","4",,"15-24 yrs","201","251685","0.08","2019_4_15-24 yrs"
"2019","4",,"25-44 yrs","740","251685","0.29","2019_4_25-44 yrs"
"2019","4",,"45-64 yrs","2399","251685","0.95","2019_4_45-64 yrs"
"2019","4",,"=< 14 yrs","63","251685","0.03","2019_4_=< 14 yrs"
"2019","4",,">= 65 yrs","3124","251685","1.24","2019_4_>= 65 yrs"
"2019","5",,"15-24 yrs","227","251685","0.09","2019_5_15-24 yrs"
"2019","5",,"25-44 yrs","779","251685","0.31","2019_5_25-44 yrs"
"2019","5",,"45-64 yrs","2479","251685","0.98","2019_5_45-64 yrs"
"2019","5",,"=< 14 yrs","53","251685","0.02","2019_5_=< 14 yrs"
"2019","5",,">= 65 yrs","3130","251685","1.24","2019_5_>= 65 yrs"
"2018",,"1","15-24 yrs","2874","251685","1.14","2018__15-24 yrs"
"2018",,"1","25-44 yrs","6430","251685","2.55","2018__25-44 yrs"
"2018",,"1","45-64 yrs","13029","251685","5.18","2018__45-64 yrs"
"2018",,"1","=< 14 yrs","655","251685","0.26","2018__=< 14 yrs"
"2018",,"1",">= 65 yrs","14697","251685","5.84","2018__>= 65 yrs"
"2019","6",,"15-24 yrs","327","251685","0.13","2019_6_15-24 yrs"
"2019","6",,"25-44 yrs","725","251685","0.29","2019_6_25-44 yrs"
"2019","6",,"45-64 yrs","2306","251685","0.92","2019_6_45-64 yrs"
"2019","6",,"=< 14 yrs","62","251685","0.02","2019_6_=< 14 yrs"
"2019","6",,">= 65 yrs","2924","251685","1.16","2019_6_>= 65 yrs"
"2019","7",,"15-24 yrs","348","251685","0.14","2019_7_15-24 yrs"
"2019","7",,"25-44 yrs","769","251685","0.31","2019_7_25-44 yrs"
"2019","7",,"45-64 yrs","2367","251685","0.94","2019_7_45-64 yrs"
"2019","7",,"=< 14 yrs","58","251685","0.02","2019_7_=< 14 yrs"
"2019","7",,">= 65 yrs","3124","251685","1.24","2019_7_>= 65 yrs"
"2019","8",,"15-24 yrs","330","251685","0.13","2019_8_15-24 yrs"
"2019","8",,"25-44 yrs","708","251685","0.28","2019_8_25-44 yrs"
"2019","8",,"45-64 yrs","2310","251685","0.92","2019_8_45-64 yrs"
"2019","8",,"=< 14 yrs","64","251685","0.03","2019_8_=< 14 yrs"
"2019","8",,">= 65 yrs","3086","251685","1.23","2019_8_>= 65 yrs"
