Beach,Sample Week,Sample Day,Result,Latest Water Sample,Latitude,Longitude,Location,Unique ID,Zip Code
BOLINAS BEACH,08/22/2022,TUESDAY,OK,1,37.90515,-122.6829833,"(37.90515, -122.6829833)",BOLINASBEACH_8/22/2022,
BOLINAS BEACH,04/02/2022,TUESDAY,OK,1,37.90515,-122.6829833,"(37.90515, -122.6829833)",BOLINASBEACH_4/2/2022,
CHICKEN RANCH BEACH,08/22/2022,MONDAY,OK,1,38.109741,-122.864596,"(38.109741, -122.864596)",CHICKENRANCHBEACH_8/22/2022,
CHICKEN RANCH BEACH,04/02/2022,MONDAY,OK,1,38.109741,-122.864596,"(38.109741, -122.864596)",CHICKENRANCHBEACH_4/2/2022,
CHICKEN RANCH DITCH - CHANNEL B,08/22/2022,MONDAY,N/A,1,38.11,-122.8653,"(38.11, -122.8653)",CHICKENRANCHDITCH-CHANNELB_8/22/2022,1
CHICKEN RANCH DITCH - CHANNEL B,04/02/2022,MONDAY,AVOID,1,38.11,-122.8653,"(38.11, -122.8653)",CHICKENRANCHDITCH-CHANNELB_4/2/2022,1
CHINA CAMP,08/22/2022,TUESDAY,OK,1,38.00042,-122.4610167,"(38.00042, -122.4610167)",CHINACAMP_8/22/2022,7
CHINA CAMP,04/02/2022,TUESDAY,OK,1,38.00042,-122.4610167,"(38.00042, -122.4610167)",CHINACAMP_4/2/2022,7
DILLON BEACH,08/22/2022,MONDAY,OK,1,38.249,-122.968,"(38.249, -122.968)",DILLONBEACH_8/22/2022,
DILLON BEACH,04/02/2022,MONDAY,OK,1,38.249,-122.968,"(38.249, -122.968)",DILLONBEACH_4/2/2022,
DILLON BEACH POND,10/25/2021,MONDAY,N/A,1,38.252116,-122.965498,"(38.252116, -122.965498)",DILLONBEACHPOND_10/25/2021,3
DILLON BEACH POND,04/06/2020,MONDAY,N/A,1,38.252116,-122.965498,"(38.252116, -122.965498)",DILLONBEACHPOND_4/6/2020,3
DRAKES BEACH,08/22/2022,MONDAY,OK,1,38.0266965,-122.9651168,"(38.0266965, -122.9651168)",DRAKESBEACH_8/22/2022,1
DRAKES BEACH,04/02/2022,MONDAY,OK,1,38.0266965,-122.9651168,"(38.0266965, -122.9651168)",DRAKESBEACH_4/2/2022,1
