"defendant_identifier","number_text_notifications","court_date_time","crime_type","age_range","gender","ethnicity","message_type","defendant_appeared","unique_id"
"37115","2","2022-09-12T15:30:00.000","Felony","35 to 44","M","Black","Order To Appear","-","37115_09122215"
"114415","2","2022-09-12T15:30:00.000","Felony","35 to 44","M","White","Regular","-","114415_09122215"
"89037","2","2022-09-12T09:30:00.000","Misdemeanor","55 to 64","M","Black","Regular","-","89037_0912229"
"110626","2","2022-09-12T09:30:00.000","Misdemeanor","25 to 34","M","White","Regular","-","110626_0912229"
"112413","2","2022-09-12T09:30:00.000","Misdemeanor","55 to 64","F","Hispanic","Regular","-","112413_0912229"
"112121","2","2022-09-12T09:30:00.000","Misdemeanor","55 to 64","M","White","Regular","-","112121_0912229"
"115431","2","2022-09-12T09:30:00.000","Misdemeanor","25 to 34","M","Black","Regular","-","115431_0912229"
"113196","2","2022-09-12T09:30:00.000","Misdemeanor","45 to 54","F","White","Regular","-","113196_0912229"
"70284","2","2022-09-12T09:00:00.000","Felony","35 to 44","M","White","Order To Appear","-","70284_0912229"
"98313","1","2022-09-12T09:00:00.000","Misdemeanor","25 to 34","M","White","Order To Appear","-","98313_0912229"
"115227","2","2022-09-12T09:00:00.000","Felony","35 to 44","M","White","Order To Appear","-","115227_0912229"
"111034","2","2022-09-12T09:00:00.000","Felony","18 to 24","M","Hispanic","Order To Appear","-","111034_0912229"
"113197","2","2022-09-12T09:00:00.000","Misdemeanor","25 to 34","F","Black","Regular","-","113197_0912229"
"110243","2","2022-09-12T09:00:00.000","Felony","25 to 34","M","Hispanic","Regular","-","110243_0912229"
"14915","2","2022-09-12T09:00:00.000","Misdemeanor","45 to 54","M","White","Regular","-","14915_0912229"
"106687","1","2022-09-12T09:00:00.000","Misdemeanor","35 to 44","M","Hispanic","Order To Appear","-","106687_0912229"
"103469","2","2022-09-12T09:00:00.000","Misdemeanor","55 to 64","M","Hispanic","Regular","-","103469_0912229"
"107459","1","2022-09-12T09:00:00.000","Felony","25 to 34","M","Hispanic","Order To Appear","-","107459_0912229"
"51859","2","2022-09-12T09:00:00.000","Misdemeanor","45 to 54","M","White","Regular","-","51859_0912229"
"35952","1","2022-09-12T09:00:00.000","Misdemeanor","35 to 44","M","White","Dept 66 with Order","-","35952_0912229"
"114682","2","2022-09-12T09:00:00.000","Felony","45 to 54","U",,"Order To Appear","-","114682_0912229"
"106723","2","2022-09-12T09:00:00.000","Felony","25 to 34","M","Black","Order To Appear","-","106723_0912229"
"84833","2","2022-09-09T09:30:00.000","Misdemeanor","25 to 34","M","Hispanic","Regular","-","84833_0909229"
"101710","2","2022-09-09T09:30:00.000","Misdemeanor","18 to 24","M","Hispanic","Regular","-","101710_0909229"
"98313","2","2022-09-09T09:00:00.000","Misdemeanor","25 to 34","M","White","Order To Appear","-","98313_0909229"
"106687","1","2022-09-09T09:00:00.000","Felony","35 to 44","M","Hispanic","Order To Appear","-","106687_0909229"
"99834","1","2022-09-09T09:00:00.000","Felony","35 to 44","M","White","Order To Appear","-","99834_0909229"
"108631","2","2022-09-09T09:00:00.000","Misdemeanor","25 to 34","F","Hispanic","Dept 66 with Order","-","108631_0909229"
"68479","2","2022-09-09T09:00:00.000","Misdemeanor","25 to 34","M","Hispanic","Order To Appear","-","68479_0909229"
"4713","2","2022-09-08T13:30:00.000","Felony","35 to 44","M",,"Order To Appear","-","4713_09082213"
"116011","2","2022-09-08T13:30:00.000","Felony","18 to 24","M","Black","Order To Appear","-","116011_09082213"
"84900","2","2022-09-08T09:30:00.000","Misdemeanor","45 to 54","M",,"Order To Appear","-","84900_0908229"
"108407","2","2022-09-08T09:30:00.000","Misdemeanor","25 to 34","M","White","Regular","-","108407_0908229"
"11324","2","2022-09-08T09:00:00.000","Felony","55 to 64","M","White","Order To Appear","-","11324_0908229"
"92369","2","2022-09-08T09:00:00.000","Felony","35 to 44","M","White","Order To Appear","-","92369_0908229"
"112605","2","2022-09-08T09:00:00.000","Felony","25 to 34","M","White","Order To Appear","-","112605_0908229"
"68479","2","2022-09-07T14:30:00.000","Misdemeanor","25 to 34","M","Hispanic","Order To Appear","-","68479_09072214"
"98313","2","2022-09-07T14:30:00.000","Misdemeanor","25 to 34","M","White","Order To Appear","-","98313_09072214"
"78333","2","2022-09-07T09:30:00.000","Misdemeanor","25 to 34","M","White","Regular","-","78333_0907229"
"103469","2","2022-09-07T09:30:00.000","Misdemeanor","55 to 64","M","Hispanic","Order To Appear","-","103469_0907229"
"111089","2","2022-09-07T09:30:00.000","Misdemeanor","65 or older","M","White","Order To Appear","-","111089_0907229"
"7360","2","2022-09-07T09:30:00.000","Misdemeanor","45 to 54","M","White","Regular","-","7360_0907229"
"115110","2","2022-09-07T09:00:00.000","Felony","55 to 64","M","White","Order To Appear","-","115110_0907229"
"114210","2","2022-09-07T09:00:00.000","Felony","25 to 34","M","Black","Regular","-","114210_0907229"
"108358","2","2022-09-07T09:00:00.000","Felony","45 to 54","M","White","Order To Appear","-","108358_0907229"
"88268","2","2022-09-07T09:00:00.000","Misdemeanor","25 to 34","M","White","Order To Appear","-","88268_0907229"
"115209","2","2022-09-07T09:00:00.000","Felony","25 to 34","M","Hispanic","Order To Appear","-","115209_0907229"
"91534","2","2022-09-07T08:30:00.000","Misdemeanor","25 to 34","M","Black","Regular","-","91534_0907228"
"108041","2","2022-09-06T15:00:00.000","Misdemeanor","55 to 64","F","White","Order To Appear","-","108041_09062215"
"111075","2","2022-09-06T14:30:00.000","Felony","35 to 44","M","White","Order To Appear","-","111075_09062214"
"115759","2","2022-09-06T13:30:00.000","Felony","25 to 34","M","Hispanic","Order To Appear","-","115759_09062213"
"16053","2","2022-09-06T13:30:00.000","Felony","65 or older","M","White","Order To Appear","-","16053_09062213"
"114705","2","2022-09-06T13:30:00.000","Misdemeanor","25 to 34","M","Hispanic","Order To Appear","-","114705_09062213"
"42292","1","2022-09-06T13:30:00.000","Felony","35 to 44","M","White","Order To Appear","-","42292_09062213"
"113197","2","2022-09-06T13:30:00.000","Felony","25 to 34","F","Black","Order To Appear","-","113197_09062213"
"73706","2","2022-09-06T09:30:00.000","Misdemeanor","35 to 44","M","Hispanic","Order To Appear","-","73706_0906229"
"37115","2","2022-09-06T09:00:00.000","Felony","35 to 44","M","Black","Regular","-","37115_0906229"
"9010","2","2022-09-06T09:00:00.000","Felony","35 to 44","M","Black","Order To Appear","-","9010_0906229"
"68479","2","2022-09-06T09:00:00.000","Felony","25 to 34","M","Hispanic","Order To Appear","-","68479_0906229"
"115067","2","2022-09-06T09:00:00.000","Felony","45 to 54","M","Black","Order To Appear","-","115067_0906229"
"16691","2","2022-09-06T09:00:00.000","Felony","55 to 64","M","Black","Regular","-","16691_0906229"
"100416","2","2022-09-06T09:00:00.000","Felony","35 to 44","M","Unknown","Order To Appear","-","100416_0906229"
"113108","2","2022-09-06T09:00:00.000","Felony","45 to 54","M","Black","Order To Appear","-","113108_0906229"
"115871","2","2022-09-06T09:00:00.000","Felony","18 to 24","M","Black","Order To Appear","-","115871_0906229"
"114290","2","2022-09-06T09:00:00.000","Misdemeanor","25 to 34","M","Hispanic","Regular","-","114290_0906229"
"109173","2","2022-09-06T09:00:00.000","Felony","25 to 34","F","Hispanic","Order To Appear","-","109173_0906229"
"116010","2","2022-09-06T09:00:00.000","Felony","25 to 34","M","White","Order To Appear","-","116010_0906229"
"106687","2","2022-09-06T09:00:00.000","Felony","35 to 44","M","Hispanic","Order To Appear","-","106687_0906229"
"104349","2","2022-09-06T09:00:00.000","Misdemeanor","25 to 34","F","Hispanic","Regular","-","104349_0906229"
"93832","2","2022-09-06T09:00:00.000","Misdemeanor","65 or older","F","White","Regular","-","93832_0906229"
"73090","2","2022-09-06T09:00:00.000","Felony","25 to 34","M","Hispanic","Order To Appear","-","73090_0906229"
"97586","1","2022-09-02T09:30:00.000","Misdemeanor","45 to 54","F","Black","Regular","Appeared","97586_0902229"
"97028","2","2022-09-02T09:30:00.000","Misdemeanor","65 or older","M","Black","Regular","Appeared","97028_0902229"
"112298","1","2022-09-02T09:00:00.000","Misdemeanor","35 to 44","M","White","Order To Appear","Appeared","112298_0902229"
"113970","1","2022-09-02T09:00:00.000","Misdemeanor","25 to 34","F",,"Dept 66 with Order","Appeared","113970_0902229"
"106687","2","2022-09-02T09:00:00.000","Felony","35 to 44","M","Hispanic","Order To Appear","Appeared","106687_0902229"
"103838","2","2022-09-02T09:00:00.000","Felony","25 to 34","M","White","Regular","Appeared","103838_0902229"
"110616","1","2022-09-01T14:30:00.000","Misdemeanor","25 to 34","M","White","Regular","Appeared","110616_09012214"
"112646","1","2022-09-01T14:30:00.000","Misdemeanor","25 to 34","F","Black","Regular","Appeared","112646_09012214"
"109151","1","2022-09-01T14:30:00.000","Misdemeanor","25 to 34","M","Black","Regular","Appeared","109151_09012214"
"110269","1","2022-09-01T14:30:00.000","Misdemeanor","35 to 44","M","Hispanic","Regular","Appeared","110269_09012214"
