"period_start_date","zipcode","households_zipcode","alertmarin_registrations_zipcode","alertmarin_percent_of_households","alertmarin_adjusted_percent_of_households","unique_id","latitude","longitude","location"
"6/30/2020","94937","585","574","1","1","6_30_2020_94937","38.11649","-122.930351","POINT (-122.930351 38.11649)"
"6/30/2021","94901","16408","9808","0.6","0.6","6_30_2021_94901","37.978138","-122.497611","POINT (-122.497611 37.978138)"
"6/30/2020","94972","1","3","3","1","6_30_2020_94972","38.287346","-122.968556","POINT (-122.968556 38.287346)"
"6/30/2021","94945","7020","4347","0.6","0.6","6_30_2021_94945","38.134068","-122.52719","POINT (-122.52718999999999 38.134068)"
"6/30/2021","94972","28","2","0.1","0.1","6_30_2021_94972","38.287346","-122.968556","POINT (-122.968556 38.287346)"
"3/31/2020","94970","723","418","0.6","0.6","3_31_2020_94970","37.8985302","-122.6442405","POINT (-122.6442405 37.8985302)"
"3/31/2020","94940","123","69","0.6","0.6","3_31_2020_94940","38.17857","-122.88319","POINT (-122.88319000000001 38.17857)"
"6/30/2021","94970","818","699","0.9","0.9","6_30_2021_94970","37.8985302","-122.6442405","POINT (-122.6442405 37.8985302)"
"3/31/2020","94930","3012","3373","1.1","1","3_31_2020_94930","37.943963","-122.616418","POINT (-122.616418 37.943963)"
"6/30/2021","94963","259","436","1.7","1","6_30_2021_94963","38.013719","-122.67012","POINT (-122.67012 38.013719)"
"3/31/2020","94960","5913","5332","0.9","0.9","3_31_2020_94960","37.995864","-122.577814","POINT (-122.57781400000002 37.995864)"
"6/30/2021","94904","5759","4617","0.8","0.8","6_30_2021_94904","37.945512","-122.56012","POINT (-122.56012 37.945512)"
"6/30/2021","94920","5817","4185","0.7","0.7","6_30_2021_94920","37.885629","-122.46858","POINT (-122.46858 37.885629)"
"3/31/2020","94947","7229","3584","0.5","0.5","3_31_2020_94947","38.112166","-122.634384","POINT (-122.63438399999998 38.112166)"
"3/31/2020","94971","128","73","0.6","0.6","3_31_2020_94971","38.231547","-122.928226","POINT (-122.928226 38.231547)"
"6/30/2020","94950","27","46","1.7","1","6_30_2020_94950","38.024885","-122.759933","POINT (-122.75993300000002 38.024885)"
"6/30/2021","94946","351","501","1.4","1","6_30_2021_94946","38.082829","-122.671527","POINT (-122.67152700000001 38.082829)"
"6/30/2020","94964","31","35","1.1","1","6_30_2020_94964","37.943257","-122.492151","POINT (-122.49215100000002 37.943257)"
"6/30/2020","94903","9401","6718","0.7","0.7","6_30_2020_94903","38.022366","-122.555605","POINT (-122.55560500000001 38.022366)"
"6/30/2020","94973","601","698","1.2","1","6_30_2020_94973","38.012697","-122.639598","POINT (-122.63959800000002 38.012697)"
"6/30/2021","94925","4026","3347","0.8","0.8","6_30_2021_94925","37.931846","-122.507738","POINT (-122.507738 37.931846)"
"6/30/2020","94945","5673","3411","0.6","0.6","6_30_2020_94945","38.134068","-122.52719","POINT (-122.52718999999999 38.134068)"
"6/30/2021","94956","1064","1042","1","1","6_30_2021_94956","38.0921082","-122.8197227","POINT (-122.8197227 38.0921082)"
"6/30/2020","94901","13198","7551","0.6","0.6","6_30_2020_94901","37.978138","-122.497611","POINT (-122.497611 37.978138)"
"6/30/2020","94965","2795","2701","1","1","6_30_2020_94965","37.8431492","-122.4880717","POINT (-122.4880717 37.8431492)"
"6/30/2021","94924","995","1019","1","1","6_30_2021_94924","37.9044634","-122.7267552","POINT (-122.72675520000001 37.9044634)"
"3/31/2020","94933","318","396","1.2","1","3_31_2020_94933","38.012599","-122.687478","POINT (-122.687478 38.01259900000001)"
"6/30/2020","94938","308","389","1.3","1","6_30_2020_94938","38.0121491","-122.7023562","POINT (-122.7023562 38.0121491)"
"6/30/2021","94950","54","108","2","1","6_30_2021_94950","38.024885","-122.759933","POINT (-122.75993300000002 38.024885)"
"3/31/2020","94920","4336","3164","0.7","0.7","3_31_2020_94920","37.885629","-122.46858","POINT (-122.46858 37.885629)"
"6/30/2020","94925","3108","2678","0.9","0.9","6_30_2020_94925","37.931846","-122.507738","POINT (-122.507738 37.931846)"
"6/30/2021","94929","426","162","0.4","0.4","6_30_2021_94929","38.25242","-122.962717","POINT (-122.96271699999998 38.25242)"
"3/31/2020","94963","233","300","1.3","1","3_31_2020_94963","38.013719","-122.67012","POINT (-122.67012 38.013719)"
"6/30/2020","94949","4347","3661","0.8","0.8","6_30_2020_94949","38.060475","-122.508496","POINT (-122.508496 38.060475000000004)"
"6/30/2021","94941","14108","13426","1","1","6_30_2021_94941","37.897665","-122.563172","POINT (-122.56317200000001 37.897665)"
"3/31/2020","94939","1997","2081","1","1","3_31_2020_94939","37.937082","-122.532369","POINT (-122.53236900000002 37.937082)"
"6/30/2020","94941","9987","10472","1","1","6_30_2020_94941","37.897665","-122.563172","POINT (-122.56317200000001 37.897665)"
"6/30/2021","94938","417","548","1.3","1","6_30_2021_94938","38.0121491","-122.7023562","POINT (-122.7023562 38.0121491)"
"3/31/2020","94904","3830","3337","0.9","0.9","3_31_2020_94904","37.945512","-122.56012","POINT (-122.56012 37.945512)"
"3/31/2020","94924","645","465","0.7","0.7","3_31_2020_94924","37.9044634","-122.7267552","POINT (-122.72675520000001 37.9044634)"
"3/31/2020","94946","224","376","1.7","1","3_31_2020_94946","38.082829","-122.671527","POINT (-122.67152700000001 38.082829)"
"6/30/2020","94924","645","476","0.7","0.7","6_30_2020_94924","37.9044634","-122.7267552","POINT (-122.72675520000001 37.9044634)"
"6/30/2021","94971","181","119","0.7","0.7","6_30_2021_94971","38.231547","-122.928226","POINT (-122.928226 38.231547)"
"6/30/2021","94947","9772","5276","0.5","0.5","6_30_2021_94947","38.112166","-122.634384","POINT (-122.63438399999998 38.112166)"
"3/31/2020","94945","5673","2990","0.5","0.5","3_31_2020_94945","38.134068","-122.52719","POINT (-122.52718999999999 38.134068)"
"3/31/2020","94973","601","683","1.1","1","3_31_2020_94973","38.012697","-122.639598","POINT (-122.63959800000002 38.012697)"
"6/30/2021","94952","201","137","0.7","0.7","6_30_2021_94952","38.234553","-122.760385","POINT (-122.760385 38.234553)"
"6/30/2020","94939","1997","2205","1.1","1","6_30_2020_94939","37.937082","-122.532369","POINT (-122.53236900000002 37.937082)"
"6/30/2021","94937","762","1238","1.6","1","6_30_2021_94937","38.11649","-122.930351","POINT (-122.930351 38.11649)"
"3/31/2020","94964","31","31","1","1","3_31_2020_94964","37.943257","-122.492151","POINT (-122.49215100000002 37.943257)"
"3/31/2020","94952","201","73","0.4","0.4","3_31_2020_94952","38.234553","-122.760385","POINT (-122.760385 38.234553)"
"6/30/2020","94970","723","424","0.6","0.6","6_30_2020_94970","37.8985302","-122.6442405","POINT (-122.6442405 37.8985302)"
"6/30/2020","94957","690","901","1.3","1","6_30_2020_94957","37.963111","-122.563588","POINT (-122.563588 37.963111)"
"6/30/2020","94947","7229","4088","0.6","0.6","6_30_2020_94947","38.112166","-122.634384","POINT (-122.63438399999998 38.112166)"
"6/30/2021","94973","677","947","1.4","1","6_30_2021_94973","38.012697","-122.639598","POINT (-122.63959800000002 38.012697)"
