"test_date","grouping","new_confirmed_cases","cumulative_confirmed_cases","last_updated"
"2022-09-09T00:00:00.000","0-4","1","1570","2022-09-12T09:00:43.000"
"2022-09-09T00:00:00.000","12-18","1","3242","2022-09-12T09:00:43.000"
"2022-09-09T00:00:00.000","19-34","2","9529","2022-09-12T09:00:43.000"
"2022-09-09T00:00:00.000","35-49","4","9669","2022-09-12T09:00:43.000"
"2022-09-09T00:00:00.000","50-64","6","8266","2022-09-12T09:00:43.000"
"2022-09-09T00:00:00.000","5-11","0","2622","2022-09-12T09:00:43.000"
"2022-09-09T00:00:00.000","65-74","1","3305","2022-09-12T09:00:43.000"
"2022-09-09T00:00:00.000","75-89","3","2430","2022-09-12T09:00:43.000"
"2022-09-09T00:00:00.000","90+","0","539","2022-09-12T09:00:43.000"
"2022-09-09T00:00:00.000","Unknown","0","6","2022-09-12T09:00:43.000"
"2022-09-08T00:00:00.000","0-4","1","1569","2022-09-12T09:00:43.000"
"2022-09-08T00:00:00.000","12-18","0","3241","2022-09-12T09:00:43.000"
"2022-09-08T00:00:00.000","19-34","1","9527","2022-09-12T09:00:43.000"
"2022-09-08T00:00:00.000","35-49","2","9665","2022-09-12T09:00:43.000"
"2022-09-08T00:00:00.000","50-64","7","8260","2022-09-12T09:00:43.000"
"2022-09-08T00:00:00.000","5-11","0","2622","2022-09-12T09:00:43.000"
"2022-09-08T00:00:00.000","65-74","4","3304","2022-09-12T09:00:43.000"
"2022-09-08T00:00:00.000","75-89","3","2427","2022-09-12T09:00:43.000"
"2022-09-08T00:00:00.000","90+","2","539","2022-09-12T09:00:43.000"
"2022-09-08T00:00:00.000","Unknown","0","6","2022-09-12T09:00:43.000"
"2022-09-07T00:00:00.000","0-4","1","1568","2022-09-12T09:00:43.000"
"2022-09-07T00:00:00.000","12-18","1","3241","2022-09-12T09:00:43.000"
"2022-09-07T00:00:00.000","19-34","3","9526","2022-09-12T09:00:43.000"
"2022-09-07T00:00:00.000","35-49","6","9663","2022-09-12T09:00:43.000"
