"first_day_of_quarter","quarter_of_check","year_of_check","age_range_years","gender","patients_queried_with_overdose","medi_cal_beneficiaries_with","medi_cal_beneficiaries_with_1","unique_id"
"2021-01-01T00:00:00.000","Jan","2021","18-25","Female","3","0","0","1_1_202118_25_Female"
"2021-01-01T00:00:00.000","Jan","2021","18-25","Male","6","2","0","1_1_202118_25_Male"
"2021-01-01T00:00:00.000","Jan","2021","26-35","Female","4","1","1","1_1_202126_35_Female"
"2021-01-01T00:00:00.000","Jan","2021","26-35","Male","15","7","1","1_1_202126_35_Male"
"2021-01-01T00:00:00.000","Jan","2021","36-45","Female","1","0","0","1_1_202136_45_Female"
"2021-01-01T00:00:00.000","Jan","2021","36-45","Male","8","3","0","1_1_202136_45_Male"
"2021-01-01T00:00:00.000","Jan","2021","46-55","Female","3","1","1","1_1_202146_55_Female"
"2021-01-01T00:00:00.000","Jan","2021","46-55","Male","10","3","0","1_1_202146_55_Male"
"2021-01-01T00:00:00.000","Jan","2021","56-64","Female","2","0","0","1_1_202156_64_Female"
"2021-01-01T00:00:00.000","Jan","2021","56-64","Male","2","2","0","1_1_202156_64_Male"
"2021-01-01T00:00:00.000","Jan","2021","65+","Female","2","0","0","1_1_202165+_Female"
"2021-01-01T00:00:00.000","Jan","2021","65+","Male","3","2","0","1_1_202165+_Male"
"2021-04-01T00:00:00.000","Apr","2021","18-25","Female","2","0","0","4_1_202118_25_Female"
"2021-04-01T00:00:00.000","Apr","2021","18-25","Male","5","2","0","4_1_202118_25_Male"
"2021-04-01T00:00:00.000","Apr","2021","26-35","Female","5","3","0","4_1_202126_35_Female"
"2021-04-01T00:00:00.000","Apr","2021","26-35","Male","12","7","0","4_1_202126_35_Male"
"2021-04-01T00:00:00.000","Apr","2021","36-45","Female","2","1","0","4_1_202136_45_Female"
"2021-04-01T00:00:00.000","Apr","2021","36-45","Male","8","5","0","4_1_202136_45_Male"
"2021-04-01T00:00:00.000","Apr","2021","46-55","Female","3","1","0","4_1_202146_55_Female"
"2021-04-01T00:00:00.000","Apr","2021","46-55","Male","5","2","0","4_1_202146_55_Male"
"2021-04-01T00:00:00.000","Apr","2021","56-64","Female","1","0","0","4_1_202156_64_Female"
"2021-04-01T00:00:00.000","Apr","2021","56-64","Male","3","1","0","4_1_202156_64_Male"
"2021-04-01T00:00:00.000","Apr","2021","65+","Female","5","1","0","4_1_202165+_Female"
"2021-04-01T00:00:00.000","Apr","2021","65+","Male","3","1","0","4_1_202165+_Male"
"2021-07-01T00:00:00.000","Jul","2021","18-25","Female","3","0","0","7_1_202118_25_Female"
"2021-07-01T00:00:00.000","Jul","2021","18-25","Male","4","1","0","7_1_202118_25_Male"
"2021-07-01T00:00:00.000","Jul","2021","26-35","Female","3","2","0","7_1_202126_35_Female"
