"fiscal_year","type","amount"
"2017-12-31T00:00:00.000","Primary Operating Funds","-122400000"
"2018-12-31T00:00:00.000","Primary Operating Funds","-27500000"
"2019-12-31T00:00:00.000","Primary Operating Funds","145300000"
"2020-12-31T00:00:00.000","Primary Operating Funds","128100000"
