"gender","basline_province","exact_total_farm_area_in","coconut_growing","hectares_under_coconut_farming","whole_nut_kilos_harvested"
"Male","Davao_del_Sur","0.5","Main crop","0.5","1620"
"Male","Davao_del_Sur","3.1","Main crop","3.5","1300"
"Female","Davao_del_Sur","2","Main crop","2","10500"
"Female","Davao_del_Norte","0.75","Main crop","0.75","5000"
"Female","Davao_del_Sur","1","Main crop","1","4600"
"Female","Davao_del_Sur","5","Main crop","0.25","3000"
"Female","Davao_del_Sur","1","Main crop","1","4000"
"Female","Davao_del_Sur","2","Secondary crop","2","1700"
"Male","Davao_Oriental","3.1","Main crop","3.1","10000"
"Female","Davao_Oriental","2.5","Main crop","2.5","14000"
"Female","Davao_del_Norte","0.5","Main crop","0.5","1300"
"Male","Davao_del_Norte","1.2","Main crop","0.6","1800"
"Female","Davao_del_Sur","1.5","Main crop","1.5","12000"
"Male","Davao_del_Norte","0.25","Main crop","0.25","3600"
"Male","Davao_del_Sur","1.5","Main crop","1","8000"
"Male","Davao_del_Sur","3","Main crop","3","4100"
"Female","Davao_del_Norte","4","Main crop","3","3000"
"Female","Davao_del_Norte","1.5","Main crop","1.5","1000"
"Female","Davao_del_Sur","1","Main crop","1","2800"
"Female","Davao_del_Sur","5","Main crop","5","6500"
"Female","Davao_del_Sur","3","Main crop","2","4200"
"Female","Davao_del_Sur","3","Main crop","2.5","2478"
"Female","Davao_del_Sur","1","Main crop","0.25","800"
"Female","Davao_del_Sur","3","Main crop","3","45000"
"Female","Davao_del_Sur","1.8","Main crop","1.8","7200"
"Male","Davao_del_Sur","3","Secondary crop","0.5","1800"
"Female","Davao_del_Sur","1","Secondary crop","0.5","5000"
"Female","Davao_del_Norte","1","Main crop","1","6000"
"Male","Davao_del_Norte","2","Main crop","2","3600"
"Female","Davao_del_Norte","0.4","Main crop","0.4","1720"
"Female","Davao_del_Norte","2","Main crop","2","6000"
"Male","Davao_del_Norte","1.8","Secondary crop","1.8","600"
"Female","Davao_del_Norte","1.8","Main crop","1.8","1350"
"Male","Davao_del_Norte","3","Main crop","3","8000"
