"year","month","maize_yl","maize_wt","millet","sorghum","rice_imp","rice_local"
"2000","JAN","30.39","30.94","30.50","32.42","71.22","48.68"
"2000","FEB","30.57","31.13","30.68","32.62","79.80","49.10"
"2000","MAR","31.40","31.31","31.40","32.82","75.96","50.64"
"2000","APR","32.23","32.41","32.11","33.02","76.42","53.58"
"2000","MAY","33.06","33.51","32.83","33.22","75.96","51.14"
"2000","JUN","33.89","34.61","33.54","33.42","76.20","50.98"
"2000","JUL","34.72","35.71","34.26","33.63","80.01","55.71"
"2000","AUG","35.56","36.81","34.97","33.83","82.04","53.57"
"2000","SEP","32.74","37.90","35.69","34.04","83.26","55.71"
"2000","OCT","30.90","32.61","36.41","34.24","89.80","56.52"
"2000","NOV","31.09","32.80","33.52","34.45","80.81","56.85"
"2000","DEC","31.29","32.98","34.08","34.66","80.11","57.19"
"2001","JAN","31.48","33.17","34.64","33.01","80.58","52.67"
"2001","FEB","31.67","33.35","35.20","33.21","81.06","54.24"
"2001","MAR","31.86","33.54","35.75","33.41","79.80","54.56"
"2001","APR","32.05","33.72","36.31","33.61","80.28","51.06"
"2001","MAY","32.41","34.64","37.47","34.44","77.54","51.65"
"2001","JUN","32.77","35.55","38.64","35.26","74.81","52.25"
"2001","JUL","33.13","36.47","39.80","36.09","72.07","52.85"
"2001","AUG","33.50","37.38","40.97","36.91","69.34","53.45"
"2001","SEP","33.86","38.30","42.13","37.74","66.61","54.04"
"2001","OCT","33.19","32.46","39.65","38.56","82.44","55.71"
"2001","NOV","33.38","32.50","33.63","39.39","82.85","56.34"
"2001","DEC","33.58","32.54","34.30","40.21","83.25","56.68"
"2002","JAN","33.77","32.58","34.98","35.42","83.66","57.02"
"2002","FEB","33.96","32.62","35.66","35.96","84.15","57.35"
"2002","MAR","34.15","32.66","36.34","36.72","86.09","57.69"
"2002","APR","34.34","32.70","37.02","37.47","88.04","65.35"
"2002","MAY","34.53","33.42","37.70","38.23","89.98","66.85"
"2002","JUN","34.72","34.15","38.38","38.99","91.92","68.35"
"2002","JUL","34.91","34.88","39.05","40.72","93.87","69.85"
"2002","AUG","35.10","35.60","39.73","43.67","95.81","71.34"
"2002","SEP","30.39","32.89","37.37","45.58","97.76","72.84"
"2002","OCT","30.58","32.93","37.69","47.48","99.70","67.02"
"2002","NOV","30.77","32.97","38.00","49.39","101.64","67.44"
"2002","DEC","30.97","33.01","38.32","43.55","103.59","67.87"
"2003","JAN","31.16","33.29","38.63","44.31","87.64","68.30"
"2003","FEB","31.36","33.56","38.94","36.16","88.07","67.86"
"2003","MAR","31.56","33.83","39.26","37.07","88.50","68.11"
"2003","APR","31.76","34.10","39.57","37.98","88.93","68.37"
"2003","MAY","31.96","34.37","39.89","38.89","90.84","68.62"
"2003","JUN","32.16","34.64","40.20","41.63","92.75","65.68"
"2003","JUL","32.36","34.92","40.51","42.54","94.66","62.75"
"2003","AUG","32.55","35.19","40.83","43.45","96.57","59.81"
"2003","SEP","30.39","31.16","36.95","43.76","98.48","59.23"
"2003","OCT","30.56","31.52","37.47","45.60","100.39","52.18"
"2003","NOV","30.73","31.87","38.00","44.36","102.31","59.23"
"2003","DEC","30.39","32.23","38.53","45.27","104.22","55.71"
"2004","JAN","30.56","32.58","39.05","38.39","92.93","56.72"
"2004","FEB","30.73","32.94","39.58","38.62","93.39","57.15"
"2004","MAR","30.90","33.29","40.11","38.85","93.84","57.58"
"2004","APR","31.08","33.65","40.63","39.09","94.30","58.02"
"2004","MAY","31.16","34.00","41.16","39.32","94.76","58.74"
"2004","JUN","31.37","34.36","41.69","39.55","95.23","59.33"
"2004","JUL","31.60","34.71","42.21","41.56","97.23","61.78"
"2004","AUG","31.78","35.45","39.45","42.84","100.12","62.37"
"2004","SEP","31.08","32.41","39.71","44.13","102.95","58.74"
"2004","OCT","30.39","30.51","39.98","45.42","97.11","55.71"
"2004","NOV","31.29","31.40","40.24","46.70","97.59","56.72"
"2004","DEC","32.19","32.28","40.50","40.95","98.06","55.71"
"2005","JAN","33.09","33.17","40.77","35.82","98.54","56.13"
"2005","FEB","33.99","34.05","41.03","36.11","99.03","56.55"
"2005","MAR","34.89","34.94","41.29","36.39","99.51","56.98"
"2005","APR","37.06","35.82","41.56","37.47","100.00","58.74"
"2005","MAY","38.73","36.71","41.82","38.56","100.49","60.51"
"2005","JUN","37.60","37.59","42.08","39.64","100.98","62.27"
"2005","JUL","38.50","38.48","42.35","40.73","101.48","64.04"
"2005","AUG","39.40","39.36","42.61","41.81","101.97","65.80"
"2005","SEP","40.30","40.25","37.05","42.89","102.47","67.57"
"2005","OCT","41.20","33.51","37.48","43.98","102.98","61.78"
"2005","NOV","35.30","33.61","37.92","45.06","103.48","65.35"
"2005","DEC","34.44","33.70","38.36","46.14","103.99","65.55"
"2006","JAN","35.65","33.79","38.79","39.23","100.52","65.75"
"2006","FEB","35.85","33.88","39.23","36.41","102.30","66.25"
"2006","MAR","36.06","33.97","39.66","37.33","105.52","66.75"
"2006","APR","36.26","35.45","40.10","38.25","106.04","65.35"
"2006","MAY","36.46","36.93","41.53","39.50","106.56","65.55"
