"q908whatistherespondents","q907whatistheparticipants","q913consentformiamnowgo","q947imgoingtoreadyoual","q951imgoingtoreadyoual","q1183_1governmentcensusdata","q1183_2lineministrydata","q1183_3budgettransparencypo","q1183_4centralbankdata","q1183_5demographichealthsur","q1183_6worldbankworlddev","q1183_7aidtransparencyporta","q1183_8informationonaidact","q1183_9monitoringandevaluat","q1183_10peerreviewedacademi","q1183_11projectevaluationre","q1183_12developmentpolicypu","q1184_1governmentcensusdata","q1184_2lineministrydata","q1184_3budgettransparencypo","q1184_4centralbankdata","q1184_5demographichealthsur","q1184_6worldbankworlddev","q1184_7aidtransparencyporta","q1184_8informationonaidact","q1184_9monitoringandevaluat","q1184_10peerreviewedacademi","q1184_11projectevaluationre","q1184_12developmentpolicypu","q953whydoyouchoosethegov","q956whydoyouchoosethelin","q959whydoyouchoosethebud","q962whydoyouchoosethecen","q965whydoyouchoosethedem","q968whydoyouchoosethewor","q971whydoyouchoosetheaid","q1027howoftendoyouusethe","q1026howusefulistheatpfo","q980whydoyouchoosetheinf","q983whydoyouchoosemonitor","q986whydoyouchoosethepee","q989whydoyouchoosethepro","q992whydoyouchoosethedev","q995whydoyouchoosetheqi","q997whywouldyounotusethe","q998whywouldyounotusethe","q999whywouldyounotusethe","q1000whywouldyounotuseth","q1001whywouldyounotuseth","q1002whywouldyounotuseth","q1003whywouldyounotuseth","q1006whywouldyounotuse","q1007whywouldyounotuseth","q1010whywouldyounotuseth","q1011whywouldyounotuseth","q1012whywouldyounotuseth","q1014doyouuseinformationo","q1015ifyeshowoften","q1016imgoingtoreadyoua","q1017_1iati","q1017_2oecd","q1017_3aidtransparencyporta","q1017_4easttimoractionnetw","q1017_5belundatabase","q1017_6workinggroups","q1017_7inpersonconsultation","q1017_8directinformationreq","q1017_9askingacolleague","q1017_10wordofmouth","q1018howdoyouusethisinfo","q1019doyoufrequentlyusean","q1020_1rawdataonprojectfu","q1020_2rawdataonprojectlo","q1020_3rawdataonprojectlo","q1020_4qualitativeinformatio","q1020_5maps","q1020_6projectreportsandpu","q1020_7aggregatestatisticso","q1020_8aggregatestatisticso","q1020_9qid1019choicetextent","q1022haveyoupreviouslyrece","q1043doyouworkdirectlywit","q1044whendidyoulastworkw","q1045howoftendoyoutalkto","q1046whenwereyoulastina","q1052haveyoueverreceivedd","q1054whendidyoureceivethi","q1055howusefulwasthisdata","q1057haveyouevershareddat","q1058whatkindofdataorana","q1059whendidyousharethis","q1060haveyoueverprovidedf","q1062onascalefromveryli","q1065whatistherelationship","q1066doyoutalktothispers","q1067howoftendoyoutalkto","q2227doyouworkdirectlywit","q2228whendidyoulastworkw","q2229howoftendoyoutalkto","q2230whenwereyoulastina","q2231haveyoueverreceivedd","q2233whendidyoureceivethi","q2234howusefulwasthisdata","q2235haveyouevershareddat","q2237whendidyousharethis","q2238haveyoueverprovidedf","q2239onascalefromveryli","q2240whatistherelationship","q2241doyoutalktothispers","q2242howoftendoyoutalkto","q2245doyouworkdirectlywit","q2246whendidyoulastworkw","q2247howoftendoyoutalkto","q2248whenwereyoulastina","q2249haveyoueverreceivedd","q2251whendidyoureceivethi","q2252howusefulwasthisdata","q2253haveyouevershareddat","q2255whendidyousharethis","q2256haveyoueverprovidedf","q2257onascalefromveryli","q2258whatistherelationship","q2259doyoutalktothispers","q2260howoftendoyoutalkto","q2263doyouworkdirectlywit","q2264whendidyoulastworkw","q2265howoftendoyoutalkto","q2266whenwereyoulastina","q2267haveyoueverreceivedd","q2269whendidyoureceivethi","q2270howusefulwasthisdata","q2271haveyouevershareddat","q2273whendidyousharethis","q2274haveyoueverprovidedf","q2275onascalefromveryli","q2276whatistherelationship","q2277doyoutalktothispers","q2278howoftendoyoutalkto","q2281doyouworkdirectlywit","q2282whendidyoulastworkw","q2283howoftendoyoutalkto","q2284whenwereyoulastina","q2285haveyoueverreceivedd","q2287whendidyoureceivethi","q2288howusefulwasthisdata","q2289haveyouevershareddat","q2291whendidyousharethis","q2292haveyoueverprovidedf","q2293onascalefromveryli","q2294whatistherelationship","q2295doyoutalktothispers","q2296howoftendoyoutalkto","q2299doyouworkdirectlywit","q2300whendidyoulastworkw","q2301howoftendoyoutalkto","q2302whenwereyoulastina","q2303haveyoueverreceivedd","q2305whendidyoureceivethi","q2306howusefulwasthisdata","q2307haveyouevershareddat","q2309whendidyousharethis","q2310haveyoueverprovidedf","q2311onascalefromveryli","q2312whatistherelationship","q2313doyoutalktothispers","q2314howoftendoyoutalkto","q2317doyouworkdirectlywit","q2318whendidyoulastworkw","q2319howoftendoyoutalkto","q2320whenwereyoulastina","q2321haveyoueverreceivedd","q2323whendidyoureceivethi","q2324howusefulwasthisdata","q2325haveyouevershareddat","q2327whendidyousharethis","q2328haveyoueverprovidedf","q2329onascalefromveryli","q2330whatistherelationship","q2331doyoutalktothispers","q2332howoftendoyoutalkto","q2335doyouworkdirectlywit","q2336whendidyoulastworkw","q2337howoftendoyoutalkto","q2338whenwereyoulastina","q2339haveyoueverreceivedd","q2341whendidyoureceivethi","q2342howusefulwasthisdata","q2343haveyouevershareddat","q2345whendidyousharethis","q2346haveyoueverprovidedf","q2347onascalefromveryli","q2348whatistherelationship","q2349doyoutalktothispers","q2350howoftendoyoutalkto","q2353doyouworkdirectlywit","q2354whendidyoulastworkw","q2355howoftendoyoutalkto","q2356whenwereyoulastina","q2357haveyoueverreceivedd","q2359whendidyoureceivethi","q2360howusefulwasthisdata","q2361haveyouevershareddat","q2363whendidyousharethis","q2364haveyoueverprovidedf","q2365onascalefromveryli","q2366whatistherelationship","q2367doyoutalktothispers","q2368howoftendoyoutalkto","q2371doyouworkdirectlywit","q2372whendidyoulastworkw","q2373howoftendoyoutalkto","q2374whenwereyoulastina","q2375haveyoueverreceivedd","q2377whendidyoureceivethi","q2378howusefulwasthisdata","q2379haveyouevershareddat","q2381whendidyousharethis","q2382haveyoueverprovidedf","q2383onascalefromveryli","q2384whatistherelationship","q2385doyoutalktothispers","q2386howoftendoyoutalkto","q1032inyourworkinggroupq","q1033whatdatasourcesdoyou","q1034inyourworkinggroupq","q1035whatdatasourcesdoyou","q1036inyourworkinggroupq","q1037whatdatasourcesdoyou","q1038inyourworkinggroupq","q1039whatdatasourcesdoyou","q1603didyougivethecorrect","q1604wereanyotherlanguages","q1607inyourviewhowdidth","q1608didtherespondenttalk","q1320_1bobonaro","q1320_5liquica","q1320_6dili","q1320_7baucau","q1320_2mantuto","q1320_3lautem","q1320_4covalima","q1320_8ainaro","q1320_9manufahi","q1320_10viqueque","q1320_11ermera","q1320_12aileu","q1320_13oecussiambeno","q1320_14refusedtoanswer","q1322whatinformationsources","q1324whydidyouchooseatpd","q1325whydidyouchoosecensu","q1326whydidyouchoosecensu","q1327whydidyouchoosemulti","q1328whydidyouchoosedhsd","q1335ifyouweregoingtomak","q1337_1donorshavebeeneffec","q1337_2thegovernmentoftimo","q1337_3donorcoordinationhas","q1340_firstclickfirstclick","q1340_lastclicklastclick","q1340_pagesubmitpagesubmit","q1340_clickcountclickcount","q1342_firstclickfirstclick","q1342_lastclicklastclick","q1342_pagesubmitpagesubmit","q1342_clickcountclickcount","q1344_firstclickfirstclick","q1344_lastclicklastclick","q1344_pagesubmitpagesubmit","q1344_clickcountclickcount","q1346_firstclickfirstclick","q1346_lastclicklastclick","q1346_pagesubmitpagesubmit","q1346_clickcountclickcount","q1348_firstclickfirstclick","q1348_lastclicklastclick","q1348_pagesubmitpagesubmit","q1348_clickcountclickcount","q1312theministryofeducatio","q1313theministryofeducatio","language"
"4164111","1","1","12345678","111141526",,,,,,,,,,,,,,,,,,,,,,,,,"235678","11028",,,,"11029",,,,,"1278","1238","12378",,,,,"12","11","6",,"7","14","14",,,"14","1","4","10467",,,,,,,,,,,"145","123456","10","10","10","10","10","10",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","15162","2","1523","2","151623",,,"1","No","1","No","0","10","20","0","0","0","20","10","10","0","0","20","0","0","112",,"345","134578",,,"37","10","10","10","0","0","10.312","0","0","0","13.305","0","0","0","1.783","0","0","0","6.836","0","0","0","2.455","0",,,"2"
"1835101","1","1","123578","114153",,,,,,,,,,,,,,,,,,,,,,,,,"23",,"23",,,,,,,,,"123","123",,,,"1234",,"123","123","123","123","123","123",,,"123","1","3","105",,,,,,,,,,,"12","25",,"8 Not useful at all",,,"7 Not very useful",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1011","2","15","2","1115",,,"1","No","1","No","25","25","0","25","25","0","0","0","0","0","0","0","0","0","1",,,"9",,,"11327","7","5","6","0","0","4.632","0","0","0","9.082000000000001","0","0","0","2.212","0","0","0","2.924","0","0","0","3.369","0",,,"2"
"3295201","1","1","12359","110111415162567",,,,,,,,,,,,,,,,,,,,,,,,,"112345679","11245679",,,"101124569","101112245689","101123456789","2","1","1101112234679","110111223456789","1101123467","110111223456789","1101123456789",,,,"119","14",,,,,"468",,,,"1","2","1103567",,,,,,,,,,,"1234569","12345678","8","8","8","8","7","8","9","9",,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","11011121316235","2","1101112151626",,,,,"1","No","1","No","5","5","0","20","0","5","5","20","5","10","20","5","5","0","1121357","1234","3","34","5","2","1112789","8","8","9","4.663","4.663","13.275","1","0","0","3.258","0","0","0","2.199","0","0","0","2.117","0","0","0","2.987","0",,,"2"
"1434101","1","1","1234589","102",,,,,,,,,,,,,,,,,,,,,,,,,,"26",,,,,,,,"36",,,,,,"14",,"14","7","14","14","14",,"14","7","14","14","2",,,,,,,,,,,,,,"8",,,,,,,,"10",,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","No","1","No","0","50","0","0","0","50","0","0","0","0","0","0","0","0","12",,"4",,,,"5","10","10","10","0","0","3.731","0","0","0","2.054","0","0","0","2.283","0","0","0","2.714","0","0","0","2.414","0",,,"2"
"1135201","1","1","145","110111415162356",,,,,,,,,,,,,,,,,,,,,,,,,"123","111237","123",,"111238","123",,,,"123","123","123","123","123",,,,,"9",,,"9",,"9",,,,"1","4","1046789",,,,,,,,,,,"1234569","12345678","8","8","8","8","9","9","8","9",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","13152","3","1011125","3","121315","3","1112135","1","No","1","No","0","0","0","40","0","0","0","20","0","40","0","0","0","0","1125",,"78","78",,"78","1048","7","8","8","0","0","6.685","0","0","0","5.247","0","0","0","4.067","0","0","0","14.168","0","0","0","3.717","0",,,"2"
"3764201","1","1","8","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,,,,"14","14","14","14","14","14","14",,"14","14","14","14","2",,,,,,,,,,,,,,"16","10",,,,,"10",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","No","4","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,"0","0","3.56","0","0","0","4.736","0","0","0","3.506","0","0","0","3.172","0","0","0","2.733","0",,,"2"
"1434101","1","1","124","166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,"14",,"9","14","14","14",,,"1014",,"14",,"14",,"1","3","6",,,,,,,,,,,"17","1134",,,"8","8",,,,,"8","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","15166",,,,,,,"1","No","2","No","8","10","10","5","5","10","10","10","10","10","5","5",,"0","12",,"3",,,,,"10","10","10","0","0","3.339","0","0","0","3.021","0","0","0","2.18","0","0","0","2.768","0","0","0","3.026","0",,,"2"
"1985201","2","1","15","157",,,,,,,,,,,,,,,,,,,,,,,,,"23",,,,"26",,"123","2","1",,,,,,,,"9","9","9",,"9",,"9","9","9","9","9","1","3","1037",,,,,,,,,,,"1369","34568",,,"6","6","6","6",,"6",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","No","1","No","0",,"0","50","0","0","0","50","0","0","0","0","0","0","57","14",,,,"134","348","5","5","5","0","0","9.279999999999999","0","7.524","7.524","27.932","1","0","0","5.422","0","0","0","3.775","0","0","0","2.966","0",,,"2"
"923211","1","1","3","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,"13","3","13","9","7","9","11","7","7","14","14","11","2",,,,,,,,,,,,,,"6",,,,,,"5",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","101115","1","1315","3","19",,"15","1","No","2","No",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","3.843","0","0","0","2.557","0","0","0","1.857","0","0","0","2.202","0","265.014","271.861","279.892","3",,,"2"
"1293111","1","1","23","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"119","12","13","5","9","9","3","8","9","13","9","9","10","1","5","7",,,,,,,,,,,"2","11",,,,,,,,,"10","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","No","2","No","50","0","0","0","0","0","0","50","0","0","0","0","0","0","18",,,,,,"18","10","10","5","0","0","5.339","0","0","0","2.822","0","0","0","2.285","0","0","0","2.529","0","0","0","3.932","0",,,"2"
