"id","householdid","sex","relationship","age","maritalstatus","occupation","monthsinhouse","member","participate","read","write","school","grade","diploma","inschool","notinschool","notinschoolspec","daysmissedschool","reasonmissedschool","tuition","uniform","textbooks","schoolsupplies","schoolcosts","vaccination","wormmed","iron","diarrhea","ors","sugarsaltdrink","d_treatoutside","d_whynotreat","d_wheretreat","d_dayslost","fever","cough","breatheprobs","reas_breathe_probs","f_treatoutside","f_whynotreat","f_wheretreat","f_wheretreatspec","f_medicine","f_dayslost"
"23","1872","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","1","2","2","1",,"3","7","2","2",,,,,,,,
"23","3840","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","2","2",,,,,,,"1","2",,,"1",,"1",,"1","2"
"23","1640","1","Other","1-2.","NA","NA","11","1",,,,,"NA",,,,,,,,,,,,"1","1","2","2",,,,,,,"2","2",,,,,,,,
"26","6473","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","2",,,,,,,"2","2",,,,,,,,
"26","3705","2","Child/Adopted child","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","2","2",,,,,,,"2","1","2",,"1",,"4",,"1","0"
"26","4870","1","Child/Adopted child","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","2",,,,,,,"1","1","2",,"1",,"2",,"1","1"
"26","2122","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","2","2",,,,,,,"2","1","2",,"2","2",,,"1","0"
"26","1891","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","2","2",,,,,,,"2","2",,,,,,,,
"11","2476","2","Child/Adopted child","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","1","1","1","2","1",,"4","3","2","2",,,,,,,,
"11","6238","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","2",,,,,,,"2","1","1","2","1",,"2",,"1","2"
"11","4077","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","2","1","2","2","2","2",,"2","2","2",,,,,,,,
"11","5036","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","2","1","2","2","1",,"5","3","2","2",,,,,,,,
"11","486","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","2",,,,,,,"2","2",,,,,,,,
"11","5130","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","1","1","2","1",,"2","3","2","1","2",,"1",,"2",,"1","3"
"11","5761","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","2","2",,,,,,,"1","2",,,"1",,"1",,"1","0"
"11","4857","1","Child/Adopted child","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","1","1","2","1",,"3","4","2","2",,,,,,,,
"11","1649","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","2","2",,,,,,,"1","1","1","1","1",,"2",,"1","2"
"11","1187","1","Other","1-2.","NA","NA","11","1",,,,,"NA",,,,,,,,,,,,"1","1","1","1","1","2","1",,"2","0","2","1","2",,"1",,"2",,"1","0"
"11","2779","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","2","2",,,,,,,"2","1","1","2","1",,"2",,"1","1"
"11","476","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","2","2",,,,,,,"2","2",,,,,,,,
"11","4870","2","Child/Adopted child","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","2",,,,,,,"1","1","1","2","1",,"2",,"1","2"
"11","1612","1","Child/Adopted child","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","2",,,,,,,"2","2",,,,,,,,
"11","7748","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","1","2",,,,,,,"2","1","2",,"1",,"5",,"1","1"
"11","4103","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","1","2",,,,,,,"2","2",,,,,,,,
"11","7330","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","1","2",,,,,,,"2","2",,,,,,,,
"11","6399","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","1","2","2","1",,"2","2","1","1","2",,"1",,"2",,"1","3"
"11","6294","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","2","2",,,,,,,"1","2",,,"2",,,,"2","1"
"5","1474","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","2","2",,,,,,,"2","1","2",,"1",,"4",,"1","0"
"5","5865","2","Child/Adopted child","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","2","1","2","1","1",,"5","0","2","2",,,,,,,,
"5","8283","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","2",,,,,,,"1","2",,,"1",,"2",,"1","1"
"5","5218","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","1","2","2","1",,"2","0","1","1","2",,"1",,"2",,"1","2"
"5","574","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","2","2",,,,,,,"2","2",,,,,,,,
"5","662","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","1","1","1","1",,"7","9","1","1","2",,"1",,"7","Nurse in the community","1","9"
"5","7090","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","2","2",,,,,,,"2","2",,,,,,,,
"5","2353","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","2","2",,,,,,,"2","1","2",,"1",,"2",,"1","1"
"5","6707","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","2","2",,,,,,,"2","2",,,,,,,,
"5","7656","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","2","1","2","2","1",,"5","7","1","1","1","2","1",,"2",,"1","6"
"5","1177","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","1","1","2","1",,"2","13","1","1","2",,"1",,"2",,"1","13"
"5","778","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","1","2",,,,,,,"2","2",,,,,,,,
"5","5971","1","Grandchild","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","2","1","2","2","1",,"6","1","2","2",,,,,,,,
"5","6778","1","Grandchild","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","2",,,,,,,"2","2",,,,,,,,
"5","4277","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","2","1","1","2","1",,"2","2","2","2",,,,,,,,
"5","2763","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","2","2",,,,,,,"2","1","1","2","2",,"7","Herbs","1","0"
"5","58","1","Grandchild","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","1","1","1","2","1",,"2","4","1","2",,,"2","1",,,"1","0"
"5","2917","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","2","2",,,,,,,"2","2",,,,,,,,
"5","2079","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1",,"2","2",,,,,,,"2","1","1","3","2","6",,,"1","0"
"5","701","2","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","2",,,,,,,"1","2",,,"1",,"3",,"1","7"
"25","4325","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","2","1","1","2","1",,"2","2","2","2",,,,,,,,
"25","426","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","1","1","2","1",,"2","14","1","1","1","2","1",,"2",,"1","10"
"25","4688","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","2",,,,,,,"2","1","2",,"1",,"2",,"1","0"
"25","4015","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","2",,,,,,,"1","2",,,"1",,"2",,"1","2"
"25","8283","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","1","1","2",,,,,,,"1","2",,,"1",,"2",,"1","0"
"25","4512","1","Other","1-2.","NA","NA","12","1",,,,,"NA",,,,,,,,,,,,"1","2","1","1","1","2","1",,"5","4","2","2",,,,,,,,
