"questionnaire","village","district","sex","age","education","physc_pca","physc_score","weath_score","sespca","agri_score","agric_pca","hum_capitalpca","hum_score","gov_score","governance_pca","healthpca","health_score","infrast_score","infrastr_pca"
"1287","TORONGOLE","AMURIA","Female","33","Other","Lowest quantile","-2.753471851","-1.50204432","Lowest quantile","-2.536838293","1st quantile","Atleast Sec  education","0.851217806","0.798443437","Average",,,"-1.55817616","Lowest quantile"
"1549","akunyuko","AMURIA","Male","36","Primary","Highest quantile","1.844421864","0.672212243","4th Lowest","0.606992841","4th quantile","None-Primary","-0.253881603","1.943272233","Highest",,,"-0.392986298","3rd lowest"
"1658","AMUSUS","AMURIA","Female","38","Primary","3rd lowest","0.14823544","0.44927305","3rd lowest","1.232369065","4th quantile","None-Primary","-0.253881603","-1.847134471","Lowest","Lowest quantile","-3.054897547","-0.578354478","3rd lowest"
"1484","ODIMAI","AMURIA","Female","23","Primary","3rd lowest","-0.345397145","-3.619386435","Lowest quantile","0.403940201","3rd quantile","None-Primary","-0.253881603","1.943272233","Highest","3rd lowest","-0.159120977","-0.392986298","3rd lowest"
"1472","asuksuk","AMURIA","Male","28","Primary","4th lowest","0.583716214","-0.448442817","3rd lowest","0.481167376","3rd quantile","None-Primary","-0.253881603","1.943272233","Highest","4th lowest","1.306404829","-1.55817616","Lowest quantile"
"1522","ODUKUL","AMURIA","Female","30","Primary","3rd lowest","0.374780267","0.720075488","4th Lowest",,,"None-Primary","-0.253881603","0.798443437","Average","2nd lowest","-0.507707715","-0.025538282","3rd lowest"
"1775","asukusuk","AMURIA","Female","54","No schooling","2nd lowest","-0.886541486","-1.402720928","2nd lowest","-0.244804665","2nd quantile","None-Primary","-1.358981013","-0.347146302","Average","2nd lowest","-1.351342559","-0.759549558","2nd lowest"
"1352","MAMBASA","AMURIA","Female","29","Primary","3rd lowest","-0.12998955","-0.448442817","3rd lowest","0.106396146","3rd quantile","None-Primary","-0.253881603","-0.394746125","Average","Lowest quantile","-2.383618355","-1.55817616","Lowest quantile"
"1476","asuksuk","AMURIA","Female","53","No schooling","2nd lowest","-1.251486182","-2.541558266","Lowest quantile","-0.708261907","2nd quantile","None-Primary","-1.358981013","1.943272233","Highest","Highest quantile","2.07447958","-1.55817616","Lowest quantile"
"1347","ACOMAT","AMURIA","Male","40","Primary","Highest quantile","2.042069197","-0.448442817","3rd lowest",,,"None-Primary","-0.253881603","0.750082731","Average","2nd lowest","-1.672572255","-0.392986298","3rd lowest"
"1740","okoona","AMURIA","Female","50","No schooling","3rd lowest","0.548063278","-3.083778143","Lowest quantile","-0.221436039","2nd quantile","None-Primary","-1.358981013","1.943272233","Highest","Highest quantile","2.210170031","-1.55817616","Lowest quantile"
"1593","TAKARAMIEM VILLAGE","AMURIA","Female","59","Primary","Lowest quantile","-2.413771391","-0.041116744","3rd lowest","-0.221436039","2nd quantile","None-Primary","-0.253881603","-0.347146302","Average","4th lowest","1.306404829","-1.55817616","Lowest quantile"
"1566","akimenga","AMURIA","Female","23","Other","3rd lowest","0.548046887","0.129992455","3rd lowest","0.042939801","3rd quantile","Atleast Sec  education","0.851217806","1.943272233","Highest",,,"-1.55817616","Lowest quantile"
"1719","abwoloit","AMURIA","Male","70","Tertiary","2nd lowest","-0.616520882","0.129992455","3rd lowest","0.606992841","4th quantile","Atleast Sec  education","3.061416626","-0.347146302","Average","Lowest quantile","-1.959471583","0.759318352","4th lowest"
"1624","AKULAR","AMURIA","Male","26","Primary","3rd lowest","-0.416694105","-0.618394852","2nd lowest","1.232369065","4th quantile","None-Primary","-0.253881603","-0.347146302","Average","Lowest quantile","-1.899101973","-0.759549558","2nd lowest"
"1756","ASUKSUK","AMURIA","Male","46","Primary","4th lowest","1.08671999","-3.083778143","Lowest quantile","-1.347408891","1st quantile","None-Primary","-0.253881603","1.58811295","Highest","Lowest quantile","-3.341797113","-1.55817616","Lowest quantile"
