"pais","idnum","estratopri","estratosec","upm","prov","municipio","pardistrito","cluster","ur","tamano","idiomaq","fecha","wt","q1","q2y","q2","ls3","a4","soct2","idio2","np1","np2","sgl1","cp4a","cp5","cp6","cp7","cp8","cp13","cp20","it1","l1","prot3","jc10","jc13","jc15a","vic1ext","vic1exta","vic2","vic2aa","vic1hogar","pole2n","aoj11","pese1","pese2","aoj17","aoj12","aoj22","b1","b2","b3","b4","b6","b10a","b12","b13","b18","b20","b20a","b21","b21a","b32","b47a","epp1","epp3","n9","n11","n15","b3milx","mil3","mil4","pr3a","pr3b","pr3c","pr4","pr5","m1","sd2new2","sd3new2","sd6new2","infrax","coer1","ros1","ros4","ing4","eff1","eff2","mil7","env1","pn4","w14a","e5","e15","e3","e16","d1","d2","d3","d4","d5","d6","per4","per9","dem2","dem11","exc2","exc6","exc20","exc11","exc13","exc14","exc15","exc16","exc18","exc19","parex19a","parh150","exc7","vicbar1","vicbar1f","vicbar3","vicbar3f","vicbar4","vicbar7","fear10","vic44","fear6e","fear6f","vb1","inf1","vb2","vb3n","vb4new","vb101","vb10","vb11","pol1","vb20","clien1n","clien1na","parclien","for1n","for4","for5","for6","for7","for6b","for7b","mil10a","mil10c","mil10e","dvw1","wf1","cct1b","ed","ed2","q3c","q5b","ocup4a","ocup1a","q10new","q10g","q10a","q14","q10d","q10e","q11n","q12c","q12bn","q12","etid","leng1","leng4","www1","gi0","gi1","gix4","gi4","gi7","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r18","r1","r16","r26","formatq","colorr","sexi","colori","ti","uniq_id","sex"
"12","000c3124-2d10-4420-96aa-9b742c547b8b-f2d2a4cb3f1ebd5240321247","1202","3","12111616","1211","121116","12111616","12111616219","2","5","1","05feb2014","1","2","1982","32","1","1","3","2","2","2","4","2","2","4","2","4","4","4","1","10","1","1","1","2","2","999999","999999","999999","2","2","1","3","2","4","1","2","7","7","4","4","5","4","4","4","4","7","4","3","2","3","4","4","3","2","3","2","3","5","6","3","5","5","3","2","4","3","2","2","888888","1","7","7","5","2","3","6","2","3","1","9","9","8","7","8","7","7","6","6","5","4","5","2","1","0","0","0","999999","0","999999","0","999999","1","1","1","2","1","2","999999","2","999999","2","2","0","0","1","4","1","1","1","1201","999999","999999","2","999999","3","3","2","2","999999","1","4","4","1","2","3","2","2","3","2","3","2","2","15","2","1","1","1","1","888888","13","2","2","2","1","2","4","2","2","1","1202","2","2","1","888888","888888","1","888888","1","0","1","0","0","1","1","0","1","1","1","1","0","0","2","4","2","8","28.965999999999998","PAR14_0001","2"
"12","000c3124-2d10-4420-96aa-9b742c547b8b-f2d2a4cb3f1ebd5240321249","1202","3","12111616","1211","121116","12111616","12111616219","2","5","1","05feb2014","1","2","1990","24","1","1","3","1","2","2","2","2","4","2","2","4","3","4","4","10","2","1","1","1","2","999999","999999","999999","1","3","3","3","2","1","3","2","3","5","7","1","4","1","1","1","1","7","1","1","1","2","1","2","2","2","2","2","3","1","4","5","6","7","2","2","2","2","2","1","6","4","1","7","1","1","1","7","2","3","1","1","1","1","5","5","5","5","1","7","2","7","4","1","2","0","0","0","999999","0","999999","999999","0","0","2","1","2","1","2","999999","1","1","2","2","0","0","1","4","1","1","1","1202","999999","999999","2","999999","3","4","2","2","999999","1","1","1","3","2","3","2","888888","888888","888888","3","2","2","11","3","1","1","1","2","6","1","2","2","2","1","3","4","2","2","2","1202","2","5","1","888888","888888","1","17","0","0","1","0","0","0","1","0","1","0","0","1","0","0","2","4","2","8","28.383000000000003","PAR14_0002","2"
"12","00fca417-c7a1-4c5d-9802-a368d02bd41c-dbec051edfaab50640325675","1206","3","12101010","1210","121010","12101010","12101010156","2","5","1","01feb2014","1","1","1958","56","1","4","3","1","2","2","4","2","2","1","2","3","1","999999","1","9","2","1","1","2","2","999999","999999","999999","2","2","2","2","2","4","2","2","3","3","4","3","2","1","5","2","3","4","7","1","1","1","1","4","3","2","2","2","6","5","6","7","6","5","7","2","4","3","2","2","2","2","2","6","4","2","3","6","1","3","2","4","9","1","1","8","7","9","2","2","1","4","6","1","1","0","0","0","0","0","0","0","0","0","2","5","2","2","1","3","2","999999","2","2","0","0","2","2","1","1","1","1202","999999","999999","2","999999","3","3","2","2","999999","5","4","6","1","2","1","4","2","2","4","3","2","2","11","1","5","1","1","4","3","3","2","2","3","1","5","3","0","0","1","1202","3","5","1","1","2","1","80","1","0","1","1","1","0","1","0","1","0","0","1","0","0","2","3","1","5","34.55","PAR14_0003","1"
"12","01622539-587c-417f-ae9c-5726444fd240-96f095331909127140322192","1204","2","12040101","1204","120401","12040101","12040101060","2","3","1","27jan2014","1","2","1993","21","1","3","3","2","2","2","4","2","4","1","4","4","4","4","1","5","2","888888","888888","2","2","999999","999999","999999","2","3","2","3","3","4","4","2","888888","2","3","4","3","5","5","2","2","7","2","2","5","3","1","6","2","3","2","1","3","4","6","5","2","6","4","2","3","2","2","4","3","4","6","6","888888","2","2","6","1","3","888888","10","10","2","8","3","8","5","4","2","1","3","5","2","1","0","0","0","999999","999999","999999","999999","999999","1","1","1","2","1","2","999999","2","999999","2","2","0","0","1","999999","1","1","1","888888","999999","999999","2","999999","4","888888","2","2","999999","888888","888888","10","2","2","888888","999999","888888","888888","2","3","2","1","12","888888","1","1","4","999999","888888","999999","2","1","2","2","1","3","0","0","1","1202","3","5","2","888888","888888","2","888888","1","0","1","1","1","1","1","1","0","0","0","1","0","0","2","2","2","4","27.883000000000003","PAR14_0004","2"
"12","01a6754d-ca84-4b63-a877-36ef9c8f7f56-9309d2089fe7060240323348","1205","2","12070101","1207","120701","12070101","12070101106","1","3","1","25jan2014","1","1","1962","52","1","3","888888","2","2","2","2","2","4","1","4","4","4","999999","2","888888","2","2","888888","2","2","999999","999999","999999","999999","2","888888","2","3","4","2","2","2","888888","2","4","2","6","888888","2","6","2","6","1","5","5","2","4","1","6","5","6","2","6","3","6","6","5","5","2","2","3","999999","999999","1","1","7","3","4","6","1","7","3","888888","888888","6","10","8","9","6","8","1","2","1","1","7","6","3","1","0","0","0","0","0","999999","999999","999999","0","2","5","2","4","2","999999","2","999999","1","2","1","1","1","3","1","1","1","988888","999999","999999","2","999999","4","988888","2","2","999999","12","12","13","1","3","1","2","4","888888","888888","2","2","2","5","888888","5","2","1","3","988888","988888","2","2","988888","2","1","1","0","0","1","1205","5","5","2","888888","888888","888888","888888","1","1","1","3","1","0","1","1","1","1","0","1","0","0","2","2","2","5","33.1","PAR14_0005","1"
"12","01a6754d-ca84-4b63-a877-36ef9c8f7f56-9309d2089fe7060240323350","1205","2","12070101","1207","120701","12070101","12070101106","1","3","1","25jan2014","1","1","1973","41","1","3","2","2","2","2","3","2","4","1","2","4","2","999999","2","988888","2","1","1","1","1","6","2","3","2","3","3","3","3","1","3","3","3","4","2","2","3","1","5","1","2","2","5","4","1","3","3","2","2","1","1","1","5","4","7","1","1","1","1","1","5","2","3","3","5","4","1","5","3","1","6","7","3","3","1","10","10","10","7","8","10","10","10","1","1","5","5","3","1","1","0","0","0","0","999999","999999","0","0","2","5","2","1","1","1","2","999999","2","2","1","0","1","1","1","1","1","1201","999999","999999","1","1201","1","3","2","2","999999","5","5","2","1","2","1","4","2","4","4","3","2","2","18","4","1","1","1","1","10","7","2","2","2","2","2","6","4","4","2","1202","2","1","1","1","2","1","888888","1","0","1","1","1","0","0","1","1","0","0","1","0","1","2","4","2","5","27.25","PAR14_0006","1"
"12","026f3ff9-5f58-4857-8567-586b7a8f1609-3fd29b488622688140316336","1204","3","12030202","1203","120302","12030202","12030202056","2","5","1202","25jan2014","1","1","1988","26","1","3","2","2","1","2","888888","1","4","1","4","4","4","999999","2","5","2","1","1","1","2","999999","999999","999999","2","3","2","3","2","3","888888","2","3","5","888888","1","1","2","5","1","1","7","1","1","1","5","1","1","1","3","6","2","3","7","5","4","1","1","6","2","3","3","888888","2","4","1","5","7","4","1","5","6","3","3","2","7","10","6","4","8","7","4","6","3","1","5","6","2","1","1","1","0","0","0","999999","999999","999999","0","2","3","2","1","1","3","1","1","2","2","0","0","1","1","1","1","1","1202","999999","999999","1","1202","4","4","2","2","999999","4","5","12","3","2","1","2","3","1","1","3","2","2","12","888888","1","1","1","4","888888","4","2","1","2","1","3","4","0","0","2","1202","2","5","1","1","888888","1","888888","1","0","1","0","1","1","1","1","1","0","0","1","0","0","2","7","2","3","28.816","PAR14_0007","1"
"12","026f3ff9-5f58-4857-8567-586b7a8f1609-3fd29b488622688140316430","1205","3","12121111","1212","121211","12121111","12121111232","2","5","1","23jan2014","1","1","1979","35","1","3","2","2","1","1","2","1","2","2","2","2","2","999999","4","10","1","2","2","1","2","999999","999999","999999","2","2","1","888888","2","4","4","3","1","6","1","1","7","1","7","1","2","7","1","3","6","7","6","2","1","1","7","1","7","7","7","1","7","7","7","2","2","3","2","2","3","2","7","7","1","1","7","7","3","1","2","10","10","10","10","10","10","10","888888","1","1","7","7","3","2","0","0","0","1","0","0","0","1","0","1","1","2","1","2","999999","2","999999","2","2","1","0","2","1","1","1","1","1201","999999","999999","2","999999","1","2","2","2","2","1","1","1","1","1","1","1","1","4","4","2","2","2","18","2","1","1","3","999999","4","999999","2","2","4","3","2","3","1","1","2","1202","3","2","1","1","2","1","80","1","1","1","0","1","0","1","1","0","0","0","1","0","0","2","5","2","5","28.766","PAR14_0008","1"
"12","026f3ff9-5f58-4857-8567-586b7a8f1609-3fd29b488622688140316432","1205","3","12121111","1212","121211","12121111","12121111232","2","5","1202","23jan2014","1","1","1992","22","2","3","2","3","2","2","2","2","4","2","4","4","4","999999","2","10","2","1","1","2","2","999999","999999","999999","2","2","1","3","2","4","2","1","4","7","4","5","6","5","6","3","4","7","1","3","4","7","5","5","4","3","3","4","5","5","5","7","7","7","5","2","3","3","4","4","1","4","7","7","5","2","3","7","2","2","2","10","9","1","1","1","10","1","1","4","9","3","6","2","2","0","0","0","999999","0","999999","0","999999","0","2","2","2","2","2","999999","2","999999","2","2","0","0","4","3","1","1","2","999999","7","999999","1","1201","3","2","2","2","999999","4","4","10","888888","999999","888888","999999","3","4","2","3","2","2","6","0","1","1","1","4","1","1","2","1","3","3","3","3","1","1","1","1202","3","5","2","1","888888","1","888888","0","0","1","0","1","0","1","0","0","0","0","1","0","0","2","2","2","3","29.25","PAR14_0009","1"
"12","027ac786-9b7b-4736-84df-77878df5c7c3-3fd29b488622688140351676","1206","2","12100505","1210","121005","12100505","12100505145","1","3","1","30jan2014","1","2","1979","35","1","70","2","2","2","2","888888","2","3","4","2","4","4","4","1","8","2","2","2","2","2","999999","999999","999999","2","1","1","1","1","3","888888","3","4","7","2","1","1","1","1","1","4","7","2","1","888888","3","1","1","888888","888888","888888","4","888888","888888","888888","5","888888","1","888888","888888","2","2","3","1","888888","4","888888","888888","7","888888","888888","7","3","2","2","10","5","8","1","10","888888","888888","1","10","10","1","7","2","2","0","0","0","999999","999999","999999","999999","0","0","2","1","2","1","2","999999","888888","999999","888888","888888","0","888888","1","1","1","1","1","1201","999999","999999","1","1201","888888","888888","2","888888","999999","888888","888888","14","888888","999999","888888","999999","888888","888888","888888","3","2","2","888888","888888","1","1","5","999999","888888","999999","2","2","3","2","2","5","1","3","2","1201","1","3","2","1","1","1","888888","1","1","1","0","1","1","0","0","1","1","1","1","1","0","2","3","2","1","32.916","PAR14_0010","2"
